Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-03-27,120.0,127.6,120.0,127.0,-1,-1,0,0
2023-03-28,127.6,129.6,125.4,128.0,-1,-1,0,0
2023-03-29,129.0,130.0,127.4,129.8,-1,-1,0,0
2023-03-30,130.0,131.0,127.2,128.0,-1,-1,0,0
2023-03-31,130.0,130.0,128.0,129.0,-1,-1,0,0
2023-04-03,129.0,130.6,127.0,128.2,-1,-1,0,0
2023-04-04,128.2,129.4,127.2,128.0,-1,-1,0,0
2023-04-05,127.4,129.4,127.2,127.6,-1,-1,0,0
2023-04-06,127.4,129.2,127.4,128.4,-1,-1,0,0
2023-04-11,129.0,130.0,128.4,129.8,-1,-1,0,0
2023-04-12,130.6,132.0,130.2,132.0,-1,-1,0,0
2023-04-13,132.0,137.4,132.0,137.0,-1,-1,0,0
2023-04-14,136.8,143.6,136.0,141.6,-1,-1,0,0
2023-04-17,141.0,143.6,140.2,142.8,-1,-1,0,0
2023-04-18,143.0,143.2,140.4,142.0,-1,-1,0,0
2023-04-19,142.0,144.2,141.0,143.8,-1,-1,0,0
2023-04-20,143.8,143.8,141.0,141.4,-1,-1,0,0
2023-04-21,141.0,141.0,136.0,136.0,-1,-1,0,0
2023-04-24,133.2,138.4,128.6,137.8,-1,-1,0,0
2023-04-25,138.2,139.4,136.2,139.4,-1,-1,0,0
2023-04-26,137.2,140.0,135.6,135.8,-1,-1,0,0
2023-04-27,135.6,139.0,135.6,136.0,-1,-1,0,0
2023-04-28,136.8,137.0,135.0,136.0,-1,-1,0,0
2023-05-02,143.8,143.8,137.0,137.0,-1,-1,0,0
2023-05-04,138.8,139.0,135.8,136.6,-1,-1,0,0
2023-05-05,136.6,141.0,135.6,139.4,-1,-1,0,0
2023-05-08,139.4,144.8,139.4,141.4,-1,-1,0,0
2023-05-09,142.8,142.8,139.4,141.2,-1,-1,0,0
2023-05-10,139.4,140.8,138.8,140.0,-1,-1,0,0
2023-05-11,140.0,141.6,139.6,140.2,-1,-1,0,0
2023-05-12,140.2,143.0,140.0,142.0,-1,-1,0,0
2023-05-15,142.0,142.0,137.4,141.4,-1,-1,0,0
2023-05-16,141.0,141.0,138.0,138.4,-1,-1,0,0
2023-05-17,138.2,140.8,138.0,140.2,-1,-1,0,0
2023-05-18,139.8,143.8,135.8,143.0,-1,-1,0,0
2023-05-19,143.0,147.2,142.2,145.4,-1,-1,0,0
2023-05-22,145.0,145.0,140.6,143.0,-1,-1,0,0
2023-05-23,143.0,143.0,141.2,143.0,-1,-1,0,0
2023-05-24,141.6,142.4,139.0,142.4,-1,-1,0,0
2023-05-25,142.4,142.4,138.6,139.0,-1,-1,0,0
2023-05-26,137.0,142.8,136.4,142.4,-1,-1,0,0
2023-05-29,141.8,142.0,140.2,142.0,-1,-1,0,0
2023-05-30,141.6,141.6,138.8,138.8,-1,-1,0,0
2023-05-31,139.0,140.8,136.6,138.2,-1,-1,0,0
2023-06-01,138.0,141.0,137.6,138.0,-1,-1,0,0
2023-06-02,138.2,142.0,138.0,142.0,-1,-1,0,0
2023-06-05,141.8,142.6,140.2,141.8,-1,-1,0,0
2023-06-06,141.8,142.6,140.0,142.6,-1,-1,0,0
2023-06-07,142.8,142.8,140.6,142.4,-1,-1,0,0
2023-06-09,142.0,142.6,141.6,142.0,-1,-1,0,0
2023-06-12,141.6,142.0,141.0,142.0,-1,-1,0,0
2023-06-13,142.4,142.4,140.6,140.6,-1,-1,0,0
2023-06-14,140.6,142.0,140.6,141.0,-1,-1,0,0
2023-06-15,141.0,141.8,140.6,140.6,-1,-1,0,0
2023-06-16,141.8,142.0,141.0,142.0,-1,-1,0,0
2023-06-19,142.0,143.2,141.2,142.8,-1,-1,0,0
2023-06-20,142.8,142.8,141.6,142.6,-1,-1,0,0
2023-06-21,141.6,142.6,139.8,140.8,-1,-1,0,0
2023-06-22,140.6,143.0,140.2,143.0,-1,-1,0,0
2023-06-23,135.0,135.4,130.2,130.2,-1,-1,0,0
2023-06-26,131.0,131.0,128.0,128.0,-1,-1,0,0
2023-06-27,127.0,132.0,124.0,129.6,-1,-1,0,0
2023-06-28,134.0,134.4,131.0,134.2,-1,-1,0,0
2023-06-29,134.2,141.6,134.2,141.0,-1,-1,0,0
2023-06-30,141.0,141.0,136.0,138.8,-1,-1,0,0
2023-07-03,138.0,141.6,138.0,140.0,-1,-1,0,0
