Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-03-15,26.52,27.58,26.1,27.14,-1,-1,0,0
2022-03-16,27.6,27.7,27.16,27.7,-1,-1,0,0
2022-03-17,27.96,28.46,27.6,28.0,-1,-1,0,0
2022-03-18,27.8,29.06,27.46,27.8,-1,-1,0,0
2022-03-21,27.34,28.82,27.3,28.6,-1,-1,0,0
2022-03-22,28.5,28.68,28.22,28.6,-1,-1,0,0
2022-03-23,28.6,28.8,28.24,28.6,-1,-1,0,0
2022-03-24,28.86,28.86,28.12,28.16,-1,-1,0,0
2022-03-25,28.5,28.7,27.66,28.2,-1,-1,0,0
2022-03-28,28.3,28.54,27.78,27.8,-1,-1,0,0
2022-03-29,28.36,28.52,27.64,28.14,-1,-1,0,0
2022-03-30,28.42,28.66,27.98,28.62,-1,-1,0,0
2022-03-31,28.5,28.52,27.76,27.76,-1,-1,0,0
2022-04-01,27.92,28.18,27.66,28.18,-1,-1,0,0
2022-04-04,28.6,28.6,27.82,28.0,-1,-1,0,0
2022-04-05,28.34,28.34,27.82,28.0,-1,-1,0,0
2022-04-06,28.28,28.28,27.7,28.0,-1,-1,0,0
2022-04-07,28.38,28.38,27.26,27.26,-1,-1,0,0
2022-04-08,27.8,28.08,27.62,28.06,-1,-1,0,0
2022-04-11,28.2,28.62,28.02,28.44,-1,-1,0,0
2022-04-12,28.12,28.38,27.6,27.6,-1,-1,0,0
2022-04-13,28.1,28.1,27.58,28.0,-1,-1,0,0
2022-04-14,28.16,28.16,27.26,27.32,-1,-1,0,0
2022-04-19,27.48,27.52,26.3,26.5,-1,-1,0,0
2022-04-20,26.94,27.2,26.46,26.58,-1,-1,0,0
2022-04-21,26.78,26.88,26.04,26.04,-1,-1,0,0
2022-04-22,26.26,26.26,25.8,25.82,-1,-1,0,0
2022-04-25,25.8,26.82,25.6,25.8,-1,-1,0,0
2022-04-26,25.82,26.04,25.5,25.8,-1,-1,0,0
2022-04-27,25.68,25.78,25.0,25.26,-1,-1,0,0
2022-04-28,25.26,25.56,25.18,25.56,-1,-1,0,0
2022-04-29,25.5,25.52,24.16,24.22,-1,-1,0,0
2022-05-02,24.7,24.76,23.66,24.2,-1,-1,0,0
2022-05-04,24.0,24.56,23.8,24.34,-1,-1,0,0
2022-05-05,24.8,24.82,23.66,23.66,-1,-1,0,0
2022-05-06,23.54,23.56,22.9,23.44,-1,-1,0,0
2022-05-09,23.42,23.44,22.88,22.88,-1,-1,0,0
2022-05-10,23.0,23.98,22.94,23.44,-1,-1,0,0
2022-05-11,23.68,23.84,22.98,22.98,-1,-1,0,0
2022-05-12,22.8,22.86,21.72,22.2,-1,-1,0,0
2022-05-13,22.62,22.64,21.88,22.28,-1,-1,0,0
2022-05-16,22.36,23.06,22.18,22.38,-1,-1,0,0
2022-05-17,22.56,23.22,22.26,22.7,-1,-1,0,0
2022-05-18,22.98,22.98,22.34,22.72,-1,-1,0,0
2022-05-19,22.28,22.58,21.64,21.7,-1,-1,0,0
2022-05-20,22.14,22.24,21.12,21.82,-1,-1,0,0
2022-05-23,22.02,22.34,21.92,22.2,-1,-1,0,0
2022-05-24,21.9,22.46,21.82,22.02,-1,-1,0,0
2022-05-25,22.32,22.32,21.9,22.04,-1,-1,0,0
2022-05-26,22.22,22.24,21.92,22.06,-1,-1,0,0
2022-05-27,22.1,22.22,21.74,21.8,-1,-1,0,0
2022-05-30,22.0,22.12,21.7,22.06,-1,-1,0,0
2022-05-31,22.06,22.98,21.94,22.44,-1,-1,0,0
2022-06-01,22.8,23.16,22.22,22.46,-1,-1,0,0
2022-06-02,23.14,23.14,21.9,21.9,-1,-1,0,0
2022-06-03,22.02,22.12,21.14,21.26,-1,-1,0,0
2022-06-06,21.42,21.5,20.82,20.84,-1,-1,0,0
2022-06-07,20.76,21.04,20.4,20.46,-1,-1,0,0
2022-06-08,20.52,20.58,20.0,20.14,-1,-1,0,0
2022-06-09,20.18,20.2,19.42,19.42,-1,-1,0,0
2022-06-10,19.1,19.38,18.93,19.16,-1,-1,0,0
2022-06-13,18.89,18.96,18.4,18.76,-1,-1,0,0
2022-06-14,19.05,19.3,18.61,18.71,-1,-1,0,0
2022-06-15,18.71,18.87,18.06,18.18,-1,-1,0,0
2022-06-17,18.01,18.68,17.86,18.16,-1,-1,0,0
2022-06-20,18.5,19.58,18.27,19.58,-1,-1,0,0
2022-06-21,19.78,20.56,19.31,20.2,-1,-1,0,0
2022-06-22,20.0,20.28,19.47,19.81,-1,-1,0,0
2022-06-23,19.76,19.98,19.51,19.72,-1,-1,0,0
2022-06-24,19.98,20.44,19.77,20.22,-1,-1,0,0
2022-06-27,20.5,21.76,20.48,21.6,-1,-1,0,0
2022-06-28,21.8,22.06,21.3,22.0,-1,-1,0,0
2022-06-29,21.84,21.84,21.38,21.58,-1,-1,0,0
2022-06-30,21.8,21.8,21.12,21.22,-1,-1,0,0
2022-07-01,21.2,21.88,21.18,21.7,-1,-1,0,0
2022-07-04,21.92,22.26,21.82,22.0,-1,-1,0,0
2022-07-05,22.28,22.28,20.82,21.04,-1,-1,0,0
2022-07-06,21.2,21.9,20.96,21.62,-1,-1,0,0
2022-07-07,21.94,21.94,21.32,21.62,-1,-1,0,0
2022-07-08,21.62,22.06,21.48,21.92,-1,-1,0,0
2022-07-11,22.04,22.26,21.54,21.54,-1,-1,0,0
2022-07-12,21.22,21.4,20.92,21.02,-1,-1,0,0
2022-07-13,21.06,21.28,20.94,21.02,-1,-1,0,0
2022-07-14,20.94,20.94,19.97,20.5,-1,-1,0,0
2022-07-15,20.52,20.64,19.82,19.97,-1,-1,0,0
2022-07-18,20.28,20.3,19.93,19.95,-1,-1,0,0
2022-07-19,19.95,20.18,19.6,20.1,-1,-1,0,0
2022-07-20,20.32,21.36,20.02,20.74,-1,-1,0,0
2022-07-21,21.24,21.24,20.2,20.44,-1,-1,0,0
2022-07-22,20.84,21.16,20.6,20.7,-1,-1,0,0
2022-07-25,20.7,20.7,19.96,19.96,-1,-1,0,0
2022-07-26,19.9,19.95,19.04,19.29,-1,-1,0,0
2022-07-27,19.27,19.98,19.27,19.98,-1,-1,0,0
2022-07-28,20.26,20.34,19.66,19.84,-1,-1,0,0
2022-07-29,20.1,20.1,19.61,19.98,-1,-1,0,0
2022-08-01,20.08,20.48,19.96,20.44,-1,-1,0,0
2022-08-02,20.44,20.82,20.18,20.46,-1,-1,0,0
2022-08-03,20.22,20.4,19.68,19.82,-1,-1,0,0
2022-08-04,20.08,20.08,19.71,19.9,-1,-1,0,0
2022-08-05,19.73,19.89,19.29,19.3,-1,-1,0,0
2022-08-08,19.68,20.18,19.43,20.14,-1,-1,0,0
2022-08-09,20.2,20.32,19.59,19.62,-1,-1,0,0
2022-08-10,19.52,19.83,19.35,19.64,-1,-1,0,0
2022-08-11,19.94,20.24,19.64,20.24,-1,-1,0,0
2022-08-12,20.2,20.86,20.1,20.86,-1,-1,0,0
2022-08-16,20.98,21.42,20.6,20.88,-1,-1,0,0
2022-08-17,20.8,20.96,20.38,20.9,-1,-1,0,0
2022-08-18,20.98,20.98,20.26,20.3,-1,-1,0,0
2022-08-19,20.4,20.52,20.0,20.3,-1,-1,0,0
2022-08-22,20.4,20.68,19.92,20.5,-1,-1,0,0
2022-08-23,20.4,20.94,20.26,20.62,-1,-1,0,0
2022-08-24,21.0,21.0,19.86,19.94,-1,-1,0,0
2022-08-25,20.08,20.28,20.0,20.14,-1,-1,0,0
2022-08-26,20.16,20.38,20.0,20.16,-1,-1,0,0
2022-08-29,19.94,19.98,19.54,19.77,-1,-1,0,0
2022-08-30,19.99,19.99,19.62,19.89,-1,-1,0,0
2022-08-31,20.0,20.0,19.4,19.4,-1,-1,0,0
2022-09-01,19.5,19.6,18.76,18.81,-1,-1,0,0
2022-09-02,19.48,19.58,18.82,19.5,-1,-1,0,0
2022-09-05,19.07,19.54,19.0,19.3,-1,-1,0,0
2022-09-06,19.23,19.46,18.37,18.37,-1,-1,0,0
2022-09-07,18.3,18.57,18.0,18.26,-1,-1,0,0
2022-09-08,18.49,19.32,18.44,18.85,-1,-1,0,0
2022-09-09,18.9,19.46,18.76,19.25,-1,-1,0,0
2022-09-12,19.25,19.48,18.82,19.41,-1,-1,0,0
2022-09-13,19.4,19.4,18.39,18.39,-1,-1,0,0
2022-09-14,18.49,19.44,18.45,19.36,-1,-1,0,0
2022-09-15,19.17,19.71,19.02,19.49,-1,-1,0,0
2022-09-16,19.2,19.48,18.71,18.77,-1,-1,0,0
2022-09-19,17.73,17.93,16.98,17.18,-1,-1,0,0
2022-09-20,17.28,17.76,17.19,17.4,-1,-1,0,0
2022-09-21,17.52,17.6,17.08,17.6,-1,-1,0,0
2022-09-22,17.37,18.06,17.19,17.9,-1,-1,0,0
2022-09-23,17.9,17.98,17.43,17.52,-1,-1,0,0
2022-09-26,17.35,17.73,16.64,16.64,-1,-1,0,0
2022-09-27,17.16,17.31,16.76,16.77,-1,-1,0,0
2022-09-28,16.82,17.03,16.42,16.6,-1,-1,0,0
2022-09-29,16.94,16.94,15.9,16.06,-1,-1,0,0
2022-09-30,16.4,16.4,15.74,16.05,-1,-1,0,0
2022-10-03,16.2,17.07,15.61,16.95,-1,-1,0,0
2022-10-04,17.0,17.84,16.81,17.84,-1,-1,0,0
2022-10-05,17.65,17.79,17.35,17.54,-1,-1,0,0
2022-10-06,17.28,17.63,16.6,16.71,-1,-1,0,0
2022-10-07,16.81,16.81,16.34,16.61,-1,-1,0,0
2022-10-10,16.9,16.91,16.51,16.52,-1,-1,0,0
2022-10-11,16.65,16.75,16.2,16.63,-1,-1,0,0
2022-10-12,16.94,16.94,16.09,16.23,-1,-1,0,0
2022-10-13,16.23,16.41,15.7,15.9,-1,-1,0,0
2022-10-14,16.22,16.58,16.16,16.49,-1,-1,0,0
2022-10-17,16.38,16.68,16.25,16.6,-1,-1,0,0
2022-10-18,16.76,16.88,16.41,16.8,-1,-1,0,0
2022-10-19,16.79,16.85,16.47,16.6,-1,-1,0,0
2022-10-20,16.65,17.44,16.37,17.16,-1,-1,0,0
2022-10-21,17.0,17.15,16.32,16.4,-1,-1,0,0
2022-10-24,16.4,17.16,16.26,16.97,-1,-1,0,0
2022-10-25,17.18,17.37,16.61,16.88,-1,-1,0,0
2022-10-26,17.1,17.17,16.61,16.8,-1,-1,0,0
2022-10-27,16.9,17.01,16.62,16.96,-1,-1,0,0
2022-10-28,17.0,17.13,16.7,17.08,-1,-1,0,0
2022-10-31,17.2,17.96,17.12,17.9,-1,-1,0,0
2022-11-02,18.0,18.53,18.0,18.49,-1,-1,0,0
2022-11-03,18.39,18.51,18.05,18.36,-1,-1,0,0
2022-11-04,18.27,18.8,18.2,18.57,-1,-1,0,0
2022-11-07,18.79,18.99,18.34,18.76,-1,-1,0,0
2022-11-08,18.76,18.88,18.33,18.53,-1,-1,0,0
2022-11-09,18.6,18.85,18.37,18.45,-1,-1,0,0
2022-11-10,18.4,18.86,18.0,18.71,-1,-1,0,0
2022-11-14,18.79,19.14,18.27,18.46,-1,-1,0,0
2022-11-15,19.0,19.1,18.3,18.84,-1,-1,0,0
2022-11-16,18.69,18.9,18.09,18.28,-1,-1,0,0
2022-11-17,18.3,18.37,17.66,17.75,-1,-1,0,0
2022-11-18,17.87,18.1,17.52,17.82,-1,-1,0,0
2022-11-21,17.97,18.07,17.55,17.97,-1,-1,0,0
2022-11-22,17.9,18.24,17.6,18.01,-1,-1,0,0
2022-11-23,18.2,18.32,18.03,18.25,-1,-1,0,0
2022-11-24,18.39,18.75,18.17,18.7,-1,-1,0,0
2022-11-25,18.76,19.08,18.49,19.01,-1,-1,0,0
2022-11-28,19.02,19.02,18.63,18.7,-1,-1,0,0
2022-11-29,18.7,18.84,18.4,18.68,-1,-1,0,0
2022-11-30,18.8,19.21,18.56,18.59,-1,-1,0,0
2022-12-01,18.88,18.97,18.34,18.59,-1,-1,0,0
2022-12-02,18.65,18.65,18.1,18.1,-1,-1,0,0
2022-12-05,18.3,18.42,18.14,18.16,-1,-1,0,0
2022-12-06,18.25,18.38,18.05,18.18,-1,-1,0,0
2022-12-07,18.19,18.35,18.0,18.13,-1,-1,0,0
2022-12-08,18.2,18.2,18.06,18.12,-1,-1,0,0
2022-12-09,18.2,18.2,17.93,18.16,-1,-1,0,0
2022-12-12,18.28,18.44,18.0,18.31,-1,-1,0,0
2022-12-13,18.38,18.9,18.18,18.58,-1,-1,0,0
2022-12-14,18.6,18.6,17.95,17.95,-1,-1,0,0
2022-12-15,17.98,18.09,17.55,17.6,-1,-1,0,0
2022-12-16,17.6,17.6,17.03,17.2,-1,-1,0,0
2022-12-19,17.2,17.23,16.83,16.89,-1,-1,0,0
2022-12-20,16.88,17.15,16.7,17.1,-1,-1,0,0
2022-12-21,17.2,17.29,17.03,17.22,-1,-1,0,0
2022-12-22,17.3,17.4,17.09,17.32,-1,-1,0,0
2022-12-23,17.38,17.54,17.17,17.53,-1,-1,0,0
2022-12-27,17.6,17.6,17.35,17.48,-1,-1,0,0
2022-12-28,17.45,17.45,17.15,17.16,-1,-1,0,0
2022-12-29,17.27,17.64,17.1,17.64,-1,-1,0,0
2022-12-30,17.55,17.69,17.4,17.61,-1,-1,0,0
2023-01-02,17.61,17.9,17.5,17.8,-1,-1,0,0
2023-01-03,17.9,18.05,17.7,17.7,-1,-1,0,0
2023-01-04,17.97,18.28,17.84,18.04,-1,-1,0,0
2023-01-05,18.3,18.84,18.17,18.54,-1,-1,0,0
2023-01-09,18.82,19.12,18.6,19.09,-1,-1,0,0
2023-01-10,19.09,19.27,18.73,19.07,-1,-1,0,0
2023-01-11,19.02,19.51,19.02,19.24,-1,-1,0,0
