Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-12-02,542,560,533,560,-1,-1,0,0
2022-12-05,559,563,543,543,-1,-1,0,0
2022-12-06,543,546,532,540,-1,-1,0,0
2022-12-07,540,545,536,543,-1,-1,0,0
2022-12-08,540,543,535,540,-1,-1,0,0
2022-12-09,540,543,531,531,-1,-1,0,0
2022-12-12,538,563,534,550,-1,-1,0,0
2022-12-13,550,565,543,560,-1,-1,0,0
2022-12-14,565,565,547,553,-1,-1,0,0
2022-12-15,557,561,539,540,-1,-1,0,0
2022-12-16,539,557,535,557,-1,-1,0,0
2022-12-19,557,568,552,564,-1,-1,0,0
2022-12-20,558,580,557,577,-1,-1,0,0
2022-12-21,577,582,569,576,-1,-1,0,0
2022-12-22,577,581,566,581,-1,-1,0,0
2022-12-23,574,579,573,575,-1,-1,0,0
2022-12-27,576,583,570,576,-1,-1,0,0
2022-12-28,579,579,568,578,-1,-1,0,0
2022-12-29,575,590,575,590,-1,-1,0,0
2022-12-30,590,596,578,590,-1,-1,0,0
2023-01-02,580,590,580,590,-1,-1,0,0
2023-01-03,581,612,580,604,-1,-1,0,0
2023-01-04,605,627,600,623,-1,-1,0,0
2023-01-05,616,632,597,608,-1,-1,0,0
2023-01-09,605,609,595,609,-1,-1,0,0
2023-01-10,610,618,606,616,-1,-1,0,0
2023-01-11,616,620,592,598,-1,-1,0,0
2023-01-12,600,600,569,578,-1,-1,0,0
2023-01-13,579,580,567,570,-1,-1,0,0
2023-01-16,576,583,563,583,-1,-1,0,0
2023-01-17,582,582,572,575,-1,-1,0,0
2023-01-18,575,580,563,565,-1,-1,0,0
2023-01-19,563,573,560,570,-1,-1,0,0
2023-01-20,570,579,566,569,-1,-1,0,0
2023-01-23,570,578,567,578,-1,-1,0,0
2023-01-24,578,580,573,576,-1,-1,0,0
2023-01-25,579,580,571,578,-1,-1,0,0
2023-01-26,580,590,574,589,-1,-1,0,0
2023-01-27,587,593,580,583,-1,-1,0,0
2023-01-30,580,586,572,572,-1,-1,0,0
2023-01-31,581,585,573,585,-1,-1,0,0
2023-02-01,583,583,571,576,-1,-1,0,0
2023-02-02,573,581,571,581,-1,-1,0,0
2023-02-03,581,599,581,593,-1,-1,0,0
2023-02-06,593,593,578,580,-1,-1,0,0
2023-02-07,575,596,575,596,-1,-1,0,0
2023-02-08,597,609,596,609,-1,-1,0,0
2023-02-09,608,614,602,614,-1,-1,0,0
2023-02-10,610,613,586,586,-1,-1,0,0
2023-02-13,589,589,572,575,-1,-1,0,0
2023-02-14,580,599,578,599,-1,-1,0,0
2023-02-15,599,606,586,606,-1,-1,0,0
2023-02-16,595,604,591,600,-1,-1,0,0
2023-02-17,595,599,592,592,-1,-1,0,0
2023-02-20,590,606,586,606,-1,-1,0,0
2023-02-21,606,612,597,607,-1,-1,0,0
2023-02-22,601,630,600,625,-1,-1,0,0
2023-02-23,624,628,613,628,-1,-1,0,0
2023-02-24,625,640,613,640,-1,-1,0,0
2023-02-27,639,642,627,628,-1,-1,0,0
2023-02-28,634,666,631,647,-1,-1,0,0
2023-03-01,653,660,639,647,-1,-1,0,0
2023-03-02,645,652,639,644,-1,-1,0,0
2023-03-03,645,655,640,655,-1,-1,0,0
2023-03-06,650,664,650,661,-1,-1,0,0
2023-03-07,664,664,637,644,-1,-1,0,0
2023-03-08,650,674,645,669,-1,-1,0,0
2023-03-09,667,684,664,672,-1,-1,0,0
2023-03-10,675,678,664,664,-1,-1,0,0
2023-03-13,668,672,649,665,-1,-1,0,0
2023-03-14,669,677,665,668,-1,-1,0,0
2023-03-15,677,678,659,662,-1,-1,0,0
2023-03-16,665,675,663,673,-1,-1,0,0
2023-03-17,675,675,664,665,-1,-1,0,0
2023-03-20,665,674,654,672,-1,-1,0,0
2023-03-21,675,677,667,670,-1,-1,0,0
2023-03-22,670,680,669,675,-1,-1,0,0
2023-03-23,670,675,666,666,-1,-1,0,0
2023-03-24,660,677,660,666,-1,-1,0,0
2023-03-27,664,673,664,673,-1,-1,0,0
2023-03-28,673,673,663,667,-1,-1,0,0
2023-03-29,665,680,663,677,-1,-1,0,0
2023-03-30,676,676,658,660,-1,-1,0,0
2023-03-31,654,675,652,665,-1,-1,0,0
