Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-09-16,6.2,6.2,6.14,6.2,-1,-1,0,0
2022-09-19,6.18,6.32,6.16,6.3,-1,-1,0,0
2022-09-20,6.24,6.4,6.2,6.3,-1,-1,0,0
2022-09-21,6.28,6.3,6.18,6.26,-1,-1,0,0
2022-09-22,6.18,6.26,6.18,6.26,-1,-1,0,0
2022-09-23,6.28,6.3,6.18,6.26,-1,-1,0,0
2022-09-26,6.18,6.24,5.9,6.1,-1,-1,0,0
2022-09-27,6.18,6.2,6.04,6.16,-1,-1,0,0
2022-09-28,6.14,6.44,6.02,6.44,-1,-1,0,0
2022-09-29,6.34,6.54,6.3,6.54,-1,-1,0,0
2022-09-30,6.54,6.64,6.4,6.64,-1,-1,0,0
2022-10-03,6.6,6.68,6.46,6.64,-1,-1,0,0
2022-10-04,6.68,6.68,6.44,6.58,-1,-1,0,0
2022-10-05,6.6,6.7,6.56,6.64,-1,-1,0,0
2022-10-06,6.64,6.68,6.56,6.64,-1,-1,0,0
2022-10-07,6.68,6.68,6.56,6.66,-1,-1,0,0
2022-10-10,6.66,6.66,6.4,6.5,-1,-1,0,0
2022-10-11,6.5,6.5,6.36,6.38,-1,-1,0,0
2022-10-12,6.4,6.5,6.32,6.42,-1,-1,0,0
2022-10-13,6.42,6.48,6.34,6.4,-1,-1,0,0
2022-10-14,6.48,6.5,6.38,6.38,-1,-1,0,0
2022-10-17,6.5,6.5,6.34,6.36,-1,-1,0,0
2022-10-18,6.38,6.42,6.28,6.4,-1,-1,0,0
2022-10-19,6.4,6.4,6.24,6.36,-1,-1,0,0
2022-10-20,6.34,6.34,6.2,6.2,-1,-1,0,0
2022-10-21,6.38,6.38,6.04,6.08,-1,-1,0,0
2022-10-24,6.1,6.2,6.06,6.18,-1,-1,0,0
2022-10-25,6.18,6.38,6.12,6.2,-1,-1,0,0
2022-10-26,6.16,6.38,6.1,6.2,-1,-1,0,0
2022-10-27,6.18,6.2,6.12,6.2,-1,-1,0,0
2022-10-28,6.2,6.4,6.14,6.4,-1,-1,0,0
2022-10-31,6.4,6.44,6.3,6.38,-1,-1,0,0
2022-11-02,6.38,6.38,6.26,6.38,-1,-1,0,0
2022-11-03,6.38,6.48,6.28,6.4,-1,-1,0,0
2022-11-04,6.32,6.4,6.28,6.4,-1,-1,0,0
2022-11-07,6.36,6.58,6.34,6.5,-1,-1,0,0
2022-11-08,6.4,6.5,6.34,6.42,-1,-1,0,0
2022-11-09,6.44,6.44,6.32,6.36,-1,-1,0,0
2022-11-10,6.4,6.44,6.2,6.32,-1,-1,0,0
2022-11-14,6.4,6.42,6.28,6.38,-1,-1,0,0
2022-11-15,6.38,6.42,6.28,6.4,-1,-1,0,0
2022-11-16,6.32,6.58,6.32,6.4,-1,-1,0,0
2022-11-17,6.44,6.5,6.36,6.5,-1,-1,0,0
2022-11-18,6.42,6.6,6.4,6.48,-1,-1,0,0
2022-11-21,6.38,6.54,6.34,6.34,-1,-1,0,0
2022-11-22,6.36,6.44,6.32,6.42,-1,-1,0,0
2022-11-23,6.4,6.44,6.34,6.4,-1,-1,0,0
2022-11-24,6.36,6.5,6.36,6.5,-1,-1,0,0
2022-11-25,6.5,6.52,6.4,6.52,-1,-1,0,0
2022-11-28,6.5,6.5,6.42,6.44,-1,-1,0,0
2022-11-29,6.52,6.6,6.44,6.6,-1,-1,0,0
2022-11-30,6.6,7.0,6.56,7.0,-1,-1,0,0
2022-12-01,7.02,7.12,7.0,7.12,-1,-1,0,0
2022-12-02,7.02,7.16,6.92,7.08,-1,-1,0,0
2022-12-05,7.02,7.08,6.94,7.0,-1,-1,0,0
2022-12-06,7.0,7.0,6.94,6.94,-1,-1,0,0
2022-12-07,6.92,7.0,6.92,6.96,-1,-1,0,0
2022-12-08,6.98,6.98,6.9,6.92,-1,-1,0,0
2022-12-09,6.92,6.92,6.82,6.88,-1,-1,0,0
2022-12-12,6.82,6.96,6.8,6.94,-1,-1,0,0
2022-12-13,6.96,6.96,6.82,6.88,-1,-1,0,0
2022-12-14,6.94,6.94,6.84,6.84,-1,-1,0,0
2022-12-15,6.9,6.92,6.84,6.88,-1,-1,0,0
2022-12-16,6.9,6.9,6.82,6.82,-1,-1,0,0
2022-12-19,6.84,6.9,6.82,6.84,-1,-1,0,0
2022-12-20,6.84,6.94,6.8,6.94,-1,-1,0,0
2022-12-21,6.94,6.94,6.82,6.9,-1,-1,0,0
2022-12-22,6.86,6.9,6.84,6.9,-1,-1,0,0
2022-12-23,6.9,6.9,6.82,6.88,-1,-1,0,0
