Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-03-13,21.7,21.8,20.9,21.8,-1,-1,0,0
2023-03-14,21.5,21.9,21.5,21.5,-1,-1,0,0
2023-03-15,21.5,22.0,21.4,22.0,-1,-1,0,0
2023-03-16,22.0,22.9,21.4,22.4,-1,-1,0,0
2023-03-17,22.3,22.7,22.3,22.6,-1,-1,0,0
2023-03-20,22.65,22.7,21.9,22.6,-1,-1,0,0
2023-03-21,22.6,22.85,22.05,22.85,-1,-1,0,0
2023-03-22,22.85,23.4,22.8,23.15,-1,-1,0,0
2023-03-23,23.2,23.9,22.8,23.65,-1,-1,0,0
2023-03-24,23.65,23.7,23.1,23.3,-1,-1,0,0
2023-03-27,23.4,23.5,23.0,23.4,-1,-1,0,0
2023-03-28,23.4,23.95,23.3,23.9,-1,-1,0,0
2023-03-29,23.9,24.0,23.2,23.55,-1,-1,0,0
2023-03-30,23.65,24.0,23.6,23.65,-1,-1,0,0
2023-03-31,23.8,24.1,23.5,23.8,-1,-1,0,0
2023-04-03,23.8,23.8,22.75,23.5,-1,-1,0,0
2023-04-04,23.5,23.5,22.9,23.3,-1,-1,0,0
2023-04-05,23.1,23.4,22.4,23.1,-1,-1,0,0
2023-04-06,22.7,23.1,22.65,22.75,-1,-1,0,0
2023-04-11,22.75,23.9,22.75,23.85,-1,-1,0,0
2023-04-12,23.8,24.45,23.3,24.4,-1,-1,0,0
2023-04-13,24.45,24.8,24.0,24.7,-1,-1,0,0
2023-04-14,24.7,24.8,23.9,23.9,-1,-1,0,0
2023-04-17,23.9,24.15,23.4,24.15,-1,-1,0,0
2023-04-18,23.8,24.2,23.4,24.0,-1,-1,0,0
2023-04-19,23.95,23.95,23.2,23.4,-1,-1,0,0
2023-04-20,23.4,24.5,23.4,24.0,-1,-1,0,0
2023-04-21,23.9,24.0,23.6,23.8,-1,-1,0,0
2023-04-24,23.8,24.2,23.4,23.6,-1,-1,0,0
2023-04-25,23.6,24.1,23.5,24.0,-1,-1,0,0
2023-04-26,23.5,24.5,23.5,24.5,-1,-1,0,0
2023-04-27,24.5,24.7,23.7,24.7,-1,-1,0,0
2023-04-28,24.7,24.7,23.7,24.2,-1,-1,0,0
2023-05-02,24.3,24.3,24.0,24.3,-1,-1,0,0
2023-05-04,24.3,24.3,23.7,23.7,-1,-1,0,0
