Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-03-23,30.15,30.265,29.645,30.11,-1,-1,0,0
2023-03-24,29.985,29.985,29.31,29.5,-1,-1,0,0
2023-03-27,29.95,29.955,29.5,29.85,-1,-1,0,0
2023-03-28,30.125,30.305,29.85,29.98,-1,-1,0,0
2023-03-29,30.0,30.255,29.8,30.1,-1,-1,0,0
2023-03-30,30.44,31.165,30.4,31.05,-1,-1,0,0
2023-03-31,31.32,31.32,30.93,31.05,-1,-1,0,0
2023-04-03,31.31,31.73,31.25,31.35,-1,-1,0,0
2023-04-04,31.49,31.72,31.3,31.3,-1,-1,0,0
2023-04-05,31.25,31.25,30.98,30.99,-1,-1,0,0
2023-04-06,31.15,31.15,30.9,30.97,-1,-1,0,0
2023-04-11,31.31,31.605,31.085,31.49,-1,-1,0,0
2023-04-12,31.555,32.12,31.33,32.07,-1,-1,0,0
2023-04-13,32.02,32.59,32.0,32.5,-1,-1,0,0
2023-04-14,32.705,32.9,32.515,32.785,-1,-1,0,0
2023-04-17,32.9,33.005,32.765,32.95,-1,-1,0,0
2023-04-18,32.815,33.67,32.815,33.4,-1,-1,0,0
2023-04-19,33.375,33.56,33.0,33.47,-1,-1,0,0
2023-04-20,33.48,33.99,33.48,33.645,-1,-1,0,0
2023-04-21,33.48,33.6,33.195,33.54,-1,-1,0,0
2023-04-24,33.455,33.885,33.235,33.81,-1,-1,0,0
2023-04-25,33.52,33.7,33.29,33.36,-1,-1,0,0
2023-04-26,33.24,33.575,32.96,33.32,-1,-1,0,0
2023-04-27,33.41,34.455,33.385,34.38,-1,-1,0,0
2023-04-28,34.355,34.38,33.83,33.955,-1,-1,0,0
2023-05-01,33.955,33.955,33.955,33.955,-1,-1,0,0
2023-05-02,34.125,34.445,33.835,33.92,-1,-1,0,0
2023-05-03,33.92,33.92,33.92,33.92,-1,-1,0,0
2023-05-04,33.92,34.0,33.21,33.245,-1,-1,0,0
2023-05-05,33.315,33.77,33.285,33.685,-1,-1,0,0
2023-05-08,33.71,34.15,33.71,33.9,-1,-1,0,0
2023-05-09,33.825,33.88,33.575,33.84,-1,-1,0,0
2023-05-10,33.885,34.5,33.74,34.08,-1,-1,0,0
2023-05-11,34.135,34.33,33.79,33.79,-1,-1,0,0
2023-05-12,33.795,34.405,33.79,34.285,-1,-1,0,0
2023-05-15,34.58,34.58,34.085,34.245,-1,-1,0,0
2023-05-16,34.225,34.6,34.15,34.37,-1,-1,0,0
2023-05-17,34.11,34.345,34.045,34.155,-1,-1,0,0
2023-05-18,34.28,34.48,34.1,34.265,-1,-1,0,0
2023-05-19,34.435,35.11,34.415,35.1,-1,-1,0,0
2023-05-22,35.1,35.47,34.945,35.4,-1,-1,0,0
2023-05-23,35.4,35.75,35.325,35.5,-1,-1,0,0
2023-05-24,35.03,35.18,34.51,34.6,-1,-1,0,0
2023-05-25,34.875,34.875,34.185,34.185,-1,-1,0,0
2023-05-26,34.4,34.98,34.25,34.98,-1,-1,0,0
2023-05-29,35.035,35.165,34.85,34.98,-1,-1,0,0
2023-05-30,34.745,34.745,34.32,34.335,-1,-1,0,0
2023-05-31,33.93,33.93,33.3,33.35,-1,-1,0,0
2023-06-01,33.665,34.405,33.6,34.405,-1,-1,0,0
2023-06-02,34.67,35.58,34.595,35.58,-1,-1,0,0
2023-06-05,35.545,36.19,35.425,35.62,-1,-1,0,0
2023-06-06,35.62,36.28,35.5,36.28,-1,-1,0,0
2023-06-07,36.155,36.3,35.73,35.8,-1,-1,0,0
2023-06-08,35.8,35.8,35.8,35.8,-1,-1,0,0
2023-06-09,36.075,36.325,36.0,36.16,-1,-1,0,0
2023-06-12,36.1,36.48,36.0,36.04,-1,-1,0,0
2023-06-13,36.245,36.265,35.63,35.63,-1,-1,0,0
2023-06-14,35.965,36.65,35.965,36.59,-1,-1,0,0
2023-06-15,36.485,36.995,36.2,36.98,-1,-1,0,0
2023-06-16,37.0,37.57,36.99,37.1,-1,-1,0,0
2023-06-19,37.1,37.395,36.765,36.77,-1,-1,0,0
2023-06-20,36.71,36.87,36.4,36.4,-1,-1,0,0
2023-06-21,36.45,36.835,36.45,36.77,-1,-1,0,0
2023-06-22,36.52,36.85,36.39,36.655,-1,-1,0,0
2023-06-23,36.53,36.53,35.835,35.9,-1,-1,0,0
2023-06-26,36.03,36.62,35.75,36.475,-1,-1,0,0
2023-06-27,36.575,36.65,35.7,35.98,-1,-1,0,0
2023-06-28,36.35,36.5,35.845,36.08,-1,-1,0,0
2023-06-29,36.18,36.43,36.18,36.38,-1,-1,0,0
