Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-12-09,16.42,16.42,16.0,16.24,-1,-1,0,0
2022-12-12,16.24,16.24,15.54,15.8,-1,-1,0,0
2022-12-13,15.98,15.98,15.5,15.98,-1,-1,0,0
2022-12-14,15.88,15.88,15.1,15.54,-1,-1,0,0
2022-12-15,15.54,15.68,15.2,15.64,-1,-1,0,0
2022-12-16,15.32,15.34,15.0,15.34,-1,-1,0,0
2022-12-19,15.42,15.42,15.3,15.3,-1,-1,0,0
2022-12-20,15.34,15.38,15.04,15.38,-1,-1,0,0
2022-12-21,15.38,15.38,15.1,15.1,-1,-1,0,0
2022-12-22,15.3,15.3,15.0,15.22,-1,-1,0,0
2022-12-23,15.1,15.12,14.98,15.1,-1,-1,0,0
2022-12-27,15.0,15.12,14.7,15.0,-1,-1,0,0
2022-12-28,14.74,15.2,14.74,14.98,-1,-1,0,0
2022-12-29,15.12,15.12,15.04,15.12,-1,-1,0,0
2022-12-30,15.1,15.14,14.7,14.94,-1,-1,0,0
2023-01-02,14.94,15.14,14.74,15.14,-1,-1,0,0
2023-01-03,15.14,15.18,15.0,15.16,-1,-1,0,0
2023-01-04,15.18,15.18,14.86,15.16,-1,-1,0,0
2023-01-05,15.1,15.18,14.78,15.0,-1,-1,0,0
2023-01-09,15.0,15.16,14.82,15.14,-1,-1,0,0
2023-01-10,15.14,15.3,14.98,15.3,-1,-1,0,0
2023-01-11,15.68,16.6,15.68,16.26,-1,-1,0,0
2023-01-12,16.26,16.26,15.6,16.24,-1,-1,0,0
2023-01-13,16.2,16.58,15.82,16.52,-1,-1,0,0
2023-01-16,16.22,16.4,16.2,16.38,-1,-1,0,0
2023-01-17,16.38,16.38,16.0,16.32,-1,-1,0,0
2023-01-18,16.3,16.32,16.0,16.3,-1,-1,0,0
2023-01-19,16.34,16.34,16.06,16.16,-1,-1,0,0
2023-01-20,16.2,16.78,16.2,16.76,-1,-1,0,0
2023-01-23,16.78,16.8,15.82,16.44,-1,-1,0,0
2023-01-24,16.2,16.6,15.98,16.6,-1,-1,0,0
2023-01-25,16.72,16.86,15.86,16.38,-1,-1,0,0
2023-01-26,16.38,16.4,15.7,16.4,-1,-1,0,0
2023-01-27,16.5,16.5,16.36,16.4,-1,-1,0,0
2023-01-30,16.4,16.4,16.06,16.1,-1,-1,0,0
2023-01-31,16.1,16.3,16.06,16.3,-1,-1,0,0
2023-02-01,16.3,16.9,16.14,16.76,-1,-1,0,0
2023-02-02,16.74,16.74,16.3,16.66,-1,-1,0,0
2023-02-03,16.6,16.7,16.0,16.28,-1,-1,0,0
2023-02-06,16.7,16.8,16.44,16.8,-1,-1,0,0
2023-02-07,16.8,16.84,16.46,16.84,-1,-1,0,0
2023-02-08,16.84,16.88,16.4,16.8,-1,-1,0,0
2023-02-09,16.8,17.0,16.5,16.9,-1,-1,0,0
2023-02-10,16.9,16.9,16.54,16.76,-1,-1,0,0
2023-02-13,16.9,16.9,16.32,16.76,-1,-1,0,0
2023-02-14,16.76,17.0,16.1,16.88,-1,-1,0,0
2023-02-15,16.88,16.88,16.34,16.8,-1,-1,0,0
2023-02-16,16.8,16.8,16.54,16.8,-1,-1,0,0
2023-02-17,16.8,16.8,16.4,16.58,-1,-1,0,0
2023-02-20,16.76,16.76,16.42,16.6,-1,-1,0,0
2023-02-21,16.8,16.8,16.42,16.6,-1,-1,0,0
2023-02-22,16.58,16.58,16.2,16.44,-1,-1,0,0
2023-02-23,16.44,16.44,16.02,16.16,-1,-1,0,0
2023-02-24,16.44,16.44,16.16,16.36,-1,-1,0,0
2023-02-27,16.36,16.36,16.1,16.3,-1,-1,0,0
2023-02-28,16.42,16.42,16.28,16.34,-1,-1,0,0
2023-03-01,16.34,16.34,16.02,16.28,-1,-1,0,0
2023-03-02,16.26,16.28,15.88,16.28,-1,-1,0,0
2023-03-03,16.3,16.66,16.06,16.4,-1,-1,0,0
2023-03-06,16.16,16.36,16.0,16.34,-1,-1,0,0
2023-03-07,16.04,16.32,15.82,16.04,-1,-1,0,0
2023-03-08,16.32,16.32,16.16,16.16,-1,-1,0,0
2023-03-09,16.28,16.28,15.9,16.0,-1,-1,0,0
2023-03-10,16.24,16.24,15.6,16.04,-1,-1,0,0
2023-03-13,16.02,16.02,15.78,15.96,-1,-1,0,0
2023-03-14,16.02,16.02,15.5,15.7,-1,-1,0,0
2023-03-15,15.72,15.84,15.2,15.68,-1,-1,0,0
2023-03-16,15.58,15.58,15.22,15.3,-1,-1,0,0
2023-03-17,15.3,15.58,15.22,15.3,-1,-1,0,0
2023-03-20,15.22,16.4,15.22,16.4,-1,-1,0,0
2023-03-21,16.4,16.64,15.3,15.76,-1,-1,0,0
2023-03-22,15.44,15.96,15.44,15.92,-1,-1,0,0
2023-03-23,15.9,15.9,15.34,15.42,-1,-1,0,0
2023-03-24,15.44,15.5,14.92,15.28,-1,-1,0,0
2023-03-27,14.98,15.4,14.68,14.98,-1,-1,0,0
2023-03-28,15.0,15.46,14.9,15.24,-1,-1,0,0
2023-03-29,14.9,15.18,13.7,14.0,-1,-1,0,0
2023-03-30,13.8,14.28,13.74,14.0,-1,-1,0,0
2023-03-31,14.0,14.26,13.82,14.26,-1,-1,0,0
2023-04-03,14.26,14.46,14.14,14.14,-1,-1,0,0
2023-04-04,14.48,14.5,14.1,14.3,-1,-1,0,0
2023-04-05,14.5,14.5,13.82,14.3,-1,-1,0,0
2023-04-06,14.38,14.38,13.88,13.9,-1,-1,0,0
