Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-05-29,7.42,7.42,7.02,7.3,-1,-1,0,0
2023-05-30,7.3,7.3,7.3,7.3,-1,-1,0,0
2023-05-31,7.0,7.3,7.0,7.3,-1,-1,0,0
2023-06-01,7.28,7.3,7.28,7.3,-1,-1,0,0
2023-06-02,7.02,7.28,7.02,7.28,-1,-1,0,0
2023-06-05,7.26,7.3,7.26,7.28,-1,-1,0,0
2023-06-06,7.28,7.28,7.28,7.28,-1,-1,0,0
2023-06-07,7.02,7.02,7.02,7.02,-1,-1,0,0
2023-06-09,7.18,7.24,6.92,7.24,-1,-1,0,0
2023-06-12,7.26,7.28,7.0,7.26,-1,-1,0,0
2023-06-13,7.26,7.26,7.26,7.26,-1,-1,0,0
2023-06-14,7.0,7.0,6.92,7.0,-1,-1,0,0
2023-06-15,6.52,7.2,6.52,7.2,-1,-1,0,0
2023-06-16,7.18,7.18,6.58,7.0,-1,-1,0,0
2023-06-19,7.16,7.16,6.56,7.14,-1,-1,0,0
2023-06-20,7.12,7.12,7.12,7.12,-1,-1,0,0
2023-06-21,7.0,7.12,7.0,7.12,-1,-1,0,0
2023-06-22,7.12,7.12,7.12,7.12,-1,-1,0,0
2023-06-23,7.12,7.12,6.8,7.1,-1,-1,0,0
2023-06-26,7.04,7.1,6.66,7.08,-1,-1,0,0
2023-06-27,7.08,7.1,7.08,7.08,-1,-1,0,0
2023-06-28,7.08,7.08,7.08,7.08,-1,-1,0,0
2023-06-29,7.0,7.3,7.0,7.24,-1,-1,0,0
2023-06-30,7.82,8.6,7.6,7.6,-1,-1,0,0
2023-07-03,7.7,7.9,7.5,7.68,-1,-1,0,0
2023-07-04,7.88,7.88,7.16,7.16,-1,-1,0,0
2023-07-05,7.16,7.48,6.9,6.9,-1,-1,0,0
2023-07-06,6.9,7.98,6.9,7.3,-1,-1,0,0
2023-07-07,7.3,7.76,7.06,7.4,-1,-1,0,0
2023-07-10,7.4,7.66,6.94,7.24,-1,-1,0,0
2023-07-11,7.22,7.22,6.88,7.16,-1,-1,0,0
2023-07-12,7.08,7.38,7.08,7.38,-1,-1,0,0
2023-07-13,7.36,7.38,7.36,7.38,-1,-1,0,0
2023-07-14,7.36,7.36,7.06,7.36,-1,-1,0,0
2023-07-17,7.2,7.3,7.12,7.3,-1,-1,0,0
2023-07-18,7.36,7.4,7.14,7.14,-1,-1,0,0
2023-07-19,7.0,7.14,6.92,7.14,-1,-1,0,0
2023-07-20,7.14,7.14,6.9,7.12,-1,-1,0,0
2023-07-21,7.12,7.12,7.12,7.12,-1,-1,0,0
2023-07-24,7.12,7.14,6.9,7.1,-1,-1,0,0
2023-07-25,6.88,7.1,6.88,7.1,-1,-1,0,0
2023-07-26,7.1,7.4,7.1,7.24,-1,-1,0,0
2023-07-27,7.22,7.5,7.02,7.5,-1,-1,0,0
2023-07-28,7.48,7.48,7.18,7.46,-1,-1,0,0
2023-07-31,7.4,7.48,7.1,7.26,-1,-1,0,0
2023-08-01,7.2,7.22,7.04,7.22,-1,-1,0,0
2023-08-02,7.22,7.24,6.8,7.24,-1,-1,0,0
2023-08-03,7.2,7.2,7.2,7.2,-1,-1,0,0
2023-08-04,7.0,7.2,6.98,7.2,-1,-1,0,0
2023-08-07,6.96,7.18,6.96,7.18,-1,-1,0,0
2023-08-08,7.18,7.18,7.18,7.18,-1,-1,0,0
2023-08-09,7.1,7.1,7.0,7.0,-1,-1,0,0
2023-08-10,7.0,7.18,7.0,7.18,-1,-1,0,0
2023-08-11,6.86,7.2,6.86,7.2,-1,-1,0,0
2023-08-14,7.2,7.2,7.2,7.2,-1,-1,0,0
2023-08-16,7.18,7.18,6.78,7.16,-1,-1,0,0
2023-08-17,7.16,7.16,7.16,7.16,-1,-1,0,0
2023-08-18,6.88,7.2,6.88,7.2,-1,-1,0,0
2023-08-21,7.2,7.2,7.2,7.2,-1,-1,0,0
2023-08-22,6.88,7.14,6.88,7.14,-1,-1,0,0
2023-08-23,6.92,7.12,6.88,7.12,-1,-1,0,0
2023-08-24,7.12,7.14,7.12,7.14,-1,-1,0,0
2023-08-25,7.08,7.16,7.08,7.16,-1,-1,0,0
2023-08-28,7.14,7.14,7.14,7.14,-1,-1,0,0
2023-08-29,6.9,7.1,6.9,7.1,-1,-1,0,0
2023-08-30,6.9,7.1,6.78,7.06,-1,-1,0,0
2023-08-31,6.98,7.02,5.68,6.7,-1,-1,0,0
