Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-04-11,3.68,3.68,3.59,3.64,-1,-1,0,0
2023-04-12,3.6,3.61,3.55,3.59,-1,-1,0,0
2023-04-13,3.6,3.6,3.52,3.53,-1,-1,0,0
2023-04-14,3.52,3.55,3.52,3.55,-1,-1,0,0
2023-04-17,3.59,3.59,3.57,3.57,-1,-1,0,0
2023-04-18,3.55,3.55,3.5,3.5,-1,-1,0,0
2023-04-19,3.5,3.5,3.48,3.5,-1,-1,0,0
2023-04-20,3.5,3.5,3.45,3.45,-1,-1,0,0
2023-04-21,3.46,3.58,3.46,3.52,-1,-1,0,0
2023-04-24,3.6,3.62,3.54,3.54,-1,-1,0,0
2023-04-25,3.6,3.63,3.6,3.63,-1,-1,0,0
2023-04-26,3.54,3.54,3.54,3.54,-1,-1,0,0
2023-04-27,3.54,3.63,3.49,3.56,-1,-1,0,0
2023-04-28,3.62,3.62,3.56,3.56,-1,-1,0,0
2023-05-02,3.67,3.67,3.47,3.49,-1,-1,0,0
2023-05-04,3.6,3.69,3.53,3.53,-1,-1,0,0
2023-05-05,3.56,3.56,3.51,3.54,-1,-1,0,0
2023-05-08,3.58,3.6,3.5,3.5,-1,-1,0,0
2023-05-09,3.59,3.63,3.59,3.63,-1,-1,0,0
2023-05-10,3.63,3.73,3.55,3.69,-1,-1,0,0
2023-05-11,3.69,3.74,3.66,3.7,-1,-1,0,0
2023-05-12,3.7,3.72,3.67,3.72,-1,-1,0,0
2023-05-15,3.72,3.74,3.67,3.67,-1,-1,0,0
2023-05-16,3.69,3.69,3.67,3.69,-1,-1,0,0
2023-05-17,3.64,3.69,3.6,3.67,-1,-1,0,0
2023-05-18,3.64,3.7,3.63,3.7,-1,-1,0,0
2023-05-19,3.66,3.66,3.6,3.6,-1,-1,0,0
2023-05-22,3.67,3.68,3.61,3.61,-1,-1,0,0
2023-05-23,3.63,3.63,3.62,3.62,-1,-1,0,0
