Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-05-05,137.0,138.5,137.0,138.0,-1,-1,0,0
2023-05-08,138.0,139.5,137.0,138.0,-1,-1,0,0
2023-05-09,137.0,147.0,137.0,140.0,-1,-1,0,0
2023-05-10,142.5,144.5,140.0,140.0,-1,-1,0,0
2023-05-11,143.0,143.0,139.0,139.0,-1,-1,0,0
2023-05-12,139.0,142.5,128.5,141.0,-1,-1,0,0
2023-05-15,126.0,128.5,116.0,128.0,-1,-1,0,0
2023-05-16,128.0,132.0,122.5,132.0,-1,-1,0,0
2023-05-17,132.0,132.0,123.0,123.0,-1,-1,0,0
2023-05-18,121.5,121.5,119.0,121.0,-1,-1,0,0
2023-05-19,120.5,120.5,113.0,115.5,-1,-1,0,0
2023-05-22,114.5,115.5,109.5,111.5,-1,-1,0,0
2023-05-23,112.0,116.5,112.0,115.0,-1,-1,0,0
2023-05-24,114.0,114.0,108.5,110.0,-1,-1,0,0
2023-05-25,109.5,112.0,108.5,109.0,-1,-1,0,0
2023-05-26,109.0,128.0,109.0,122.0,-1,-1,0,0
2023-05-29,125.0,132.0,124.5,127.0,-1,-1,0,0
2023-05-30,129.5,129.5,124.0,127.0,-1,-1,0,0
2023-05-31,127.0,127.0,121.5,125.0,-1,-1,0,0
2023-06-01,121.0,137.0,121.0,130.0,-1,-1,0,0
2023-06-02,130.0,136.0,128.0,136.0,-1,-1,0,0
2023-06-05,139.0,161.0,139.0,152.5,-1,-1,0,0
2023-06-06,160.0,165.0,155.5,157.0,-1,-1,0,0
2023-06-07,156.5,158.5,141.5,143.5,-1,-1,0,0
2023-06-09,144.0,151.0,144.0,149.0,-1,-1,0,0
2023-06-12,150.0,151.5,143.5,145.0,-1,-1,0,0
2023-06-13,145.0,147.5,138.0,140.0,-1,-1,0,0
2023-06-14,140.0,151.0,135.0,140.0,-1,-1,0,0
2023-06-15,140.0,151.0,140.0,141.0,-1,-1,0,0
2023-06-16,143.0,147.5,141.0,141.0,-1,-1,0,0
2023-06-19,142.5,150.0,142.5,144.5,-1,-1,0,0
2023-06-20,148.5,149.0,143.5,144.0,-1,-1,0,0
2023-06-21,145.5,147.0,143.0,143.0,-1,-1,0,0
2023-06-22,144.0,150.0,144.0,149.0,-1,-1,0,0
2023-06-23,152.0,156.5,150.0,153.0,-1,-1,0,0
2023-06-26,155.0,155.0,147.5,149.0,-1,-1,0,0
2023-06-27,148.5,149.0,143.5,148.0,-1,-1,0,0
2023-06-28,148.0,150.0,146.0,150.0,-1,-1,0,0
2023-06-29,150.0,153.0,147.0,148.5,-1,-1,0,0
2023-06-30,149.0,150.0,147.5,149.5,-1,-1,0,0
2023-07-03,149.0,149.0,145.0,148.5,-1,-1,0,0
2023-07-04,148.5,149.0,145.5,147.5,-1,-1,0,0
2023-07-05,147.0,147.0,144.0,146.0,-1,-1,0,0
2023-07-06,144.0,146.0,143.0,145.5,-1,-1,0,0
2023-07-07,146.0,147.0,144.0,146.5,-1,-1,0,0
2023-07-10,145.0,146.5,144.0,146.5,-1,-1,0,0
2023-07-11,154.0,173.0,148.5,163.0,-1,-1,0,0
2023-07-12,163.5,166.5,160.5,164.0,-1,-1,0,0
2023-07-13,165.5,166.0,160.0,166.0,-1,-1,0,0
2023-07-14,175.0,195.0,168.0,185.0,-1,-1,0,0
2023-07-17,184.0,192.0,181.5,182.0,-1,-1,0,0
2023-07-18,183.0,185.0,179.0,183.5,-1,-1,0,0
2023-07-19,183.5,197.0,181.0,192.0,-1,-1,0,0
2023-07-20,188.0,189.0,179.0,186.0,-1,-1,0,0
2023-07-21,186.0,189.0,181.5,187.5,-1,-1,0,0
2023-07-24,185.0,188.5,175.5,178.0,-1,-1,0,0
2023-07-25,178.0,181.0,172.5,180.0,-1,-1,0,0
2023-07-26,180.0,180.0,172.5,173.5,-1,-1,0,0
2023-07-27,174.0,187.0,174.0,187.0,-1,-1,0,0
2023-07-28,186.0,187.0,179.0,184.0,-1,-1,0,0
2023-07-31,180.0,182.0,176.0,179.0,-1,-1,0,0
2023-08-01,176.0,180.0,175.0,176.0,-1,-1,0,0
2023-08-02,174.0,174.0,169.5,170.0,-1,-1,0,0
2023-08-03,169.0,169.5,166.0,167.0,-1,-1,0,0
2023-08-04,166.0,173.5,166.0,170.5,-1,-1,0,0
2023-08-07,170.5,172.0,164.5,166.5,-1,-1,0,0
2023-08-08,166.5,168.5,164.5,165.0,-1,-1,0,0
2023-08-09,164.5,166.5,161.5,164.5,-1,-1,0,0
2023-08-10,164.5,166.5,160.5,160.5,-1,-1,0,0
2023-08-11,160.5,165.0,160.5,162.0,-1,-1,0,0
2023-08-14,162.0,177.5,160.0,175.5,-1,-1,0,0
2023-08-16,177.0,177.0,165.5,168.5,-1,-1,0,0
2023-08-17,169.0,169.0,164.0,168.0,-1,-1,0,0
2023-08-18,168.0,168.0,162.0,165.0,-1,-1,0,0
2023-08-21,162.0,169.0,161.0,169.0,-1,-1,0,0
2023-08-22,168.0,173.0,165.5,172.0,-1,-1,0,0
2023-08-23,173.0,173.0,165.0,169.5,-1,-1,0,0
2023-08-24,161.0,170.0,159.0,160.0,-1,-1,0,0
2023-08-25,162.0,167.5,159.0,161.0,-1,-1,0,0
2023-08-28,161.0,166.5,161.0,161.0,-1,-1,0,0
2023-08-29,161.0,165.0,158.0,162.0,-1,-1,0,0
2023-08-30,163.0,171.0,163.0,165.0,-1,-1,0,0
2023-08-31,172.0,175.0,170.0,174.0,-1,-1,0,0
