Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-10-28,28.6,29.31,28.18,29.1,-1,-1,0,0
2022-10-31,29.2,29.46,28.4,29.4,-1,-1,0,0
2022-11-02,29.4,29.84,28.88,29.48,-1,-1,0,0
2022-11-03,29.0,29.78,28.42,29.1,-1,-1,0,0
2022-11-04,29.1,29.8,28.32,29.8,-1,-1,0,0
2022-11-07,29.6,32.56,29.5,32.18,-1,-1,0,0
2022-11-08,32.15,32.98,31.26,32.71,-1,-1,0,0
2022-11-09,32.71,33.91,32.39,33.6,-1,-1,0,0
2022-11-10,33.0,34.22,32.45,33.88,-1,-1,0,0
2022-11-14,34.19,35.2,34.0,34.4,-1,-1,0,0
2022-11-15,34.65,34.76,33.18,34.38,-1,-1,0,0
2022-11-16,33.79,34.02,33.0,33.69,-1,-1,0,0
2022-11-17,33.7,33.87,32.23,32.6,-1,-1,0,0
2022-11-18,32.72,33.7,31.64,33.06,-1,-1,0,0
2022-11-21,33.25,33.25,32.3,32.34,-1,-1,0,0
2022-11-22,32.29,32.9,31.8,32.72,-1,-1,0,0
2022-11-23,32.6,33.27,32.58,33.0,-1,-1,0,0
2022-11-24,33.0,33.98,33.0,33.84,-1,-1,0,0
2022-11-25,34.0,34.0,33.3,33.9,-1,-1,0,0
2022-11-28,33.9,34.84,33.31,34.83,-1,-1,0,0
2022-11-29,34.83,34.83,33.91,34.8,-1,-1,0,0
2022-11-30,34.8,36.62,34.3,36.06,-1,-1,0,0
2022-12-01,36.5,36.56,35.37,35.95,-1,-1,0,0
2022-12-02,35.8,35.8,35.1,35.62,-1,-1,0,0
2022-12-05,35.52,36.16,35.48,35.98,-1,-1,0,0
2022-12-06,35.96,35.96,34.26,34.26,-1,-1,0,0
2022-12-07,34.2,35.04,33.7,34.6,-1,-1,0,0
2022-12-08,34.6,34.84,33.85,34.16,-1,-1,0,0
2022-12-09,34.2,34.3,33.74,33.99,-1,-1,0,0
2022-12-12,33.8,34.29,33.34,34.2,-1,-1,0,0
2022-12-13,34.21,35.3,33.9,34.93,-1,-1,0,0
2022-12-14,35.0,35.44,34.6,34.94,-1,-1,0,0
2022-12-15,34.5,34.76,33.7,33.7,-1,-1,0,0
2022-12-16,33.86,33.86,33.26,33.31,-1,-1,0,0
2022-12-19,33.31,33.8,33.1,33.25,-1,-1,0,0
2022-12-20,33.1,33.7,32.78,33.57,-1,-1,0,0
2022-12-21,33.42,33.99,33.16,33.94,-1,-1,0,0
2022-12-22,34.1,34.78,33.61,33.67,-1,-1,0,0
2022-12-23,33.68,33.9,33.05,33.3,-1,-1,0,0
2022-12-27,33.65,33.79,32.42,33.0,-1,-1,0,0
2022-12-28,32.92,33.9,32.59,33.25,-1,-1,0,0
2022-12-29,33.2,34.27,33.04,34.15,-1,-1,0,0
2022-12-30,34.01,34.41,33.76,34.27,-1,-1,0,0
2023-01-02,34.27,34.94,34.01,34.7,-1,-1,0,0
2023-01-03,34.94,39.69,34.7,38.39,-1,-1,0,0
2023-01-04,38.39,41.21,38.3,41.05,-1,-1,0,0
2023-01-05,40.9,42.23,40.36,41.72,-1,-1,0,0
2023-01-09,42.1,43.4,42.1,42.95,-1,-1,0,0
2023-01-10,42.8,43.7,42.2,43.48,-1,-1,0,0
2023-01-11,43.58,44.22,41.69,41.71,-1,-1,0,0
2023-01-12,41.8,43.21,41.6,42.42,-1,-1,0,0
2023-01-13,42.3,42.84,42.0,42.09,-1,-1,0,0
2023-01-16,41.9,42.7,41.7,42.44,-1,-1,0,0
2023-01-17,42.6,42.7,41.5,42.0,-1,-1,0,0
2023-01-18,42.0,42.28,40.75,40.75,-1,-1,0,0
2023-01-19,40.2,40.6,38.8,39.76,-1,-1,0,0
2023-01-20,40.19,40.67,39.02,40.52,-1,-1,0,0
2023-01-23,40.72,40.98,39.77,40.54,-1,-1,0,0
2023-01-24,40.7,41.12,39.94,40.31,-1,-1,0,0
2023-01-25,39.8,39.8,37.7,38.49,-1,-1,0,0
2023-01-26,38.8,39.43,37.53,38.8,-1,-1,0,0
2023-01-27,39.2,39.2,38.5,38.8,-1,-1,0,0
2023-01-30,38.49,38.49,37.04,37.06,-1,-1,0,0
2023-01-31,37.2,39.27,37.2,39.19,-1,-1,0,0
2023-02-01,39.2,40.18,38.4,39.25,-1,-1,0,0
2023-02-02,40.0,40.98,39.49,39.81,-1,-1,0,0
2023-02-03,39.96,40.62,39.41,40.2,-1,-1,0,0
