Date,Open,High,Low,Close,Start Date,End Date,Pattern
2023-05-09,39.0,39.2,38.7,39.2,-1,-1,0
2023-05-10,39.2,39.9,39.0,39.7,-1,-1,0
2023-05-11,39.7,39.7,39.1,39.4,-1,-1,0
2023-05-12,39.5,39.5,39.1,39.5,-1,-1,0
2023-05-15,39.5,39.7,39.0,39.6,-1,-1,0
2023-05-16,39.6,39.7,39.1,39.7,-1,-1,0
2023-05-17,39.7,39.7,39.4,39.4,-1,-1,0
2023-05-18,39.7,39.8,39.4,39.5,-1,-1,0
2023-05-19,39.5,40.2,39.5,40.1,-1,-1,0
2023-05-22,40.1,40.2,39.7,40.0,-1,-1,0
2023-05-23,40.5,40.5,39.8,40.0,-1,-1,0
2023-05-24,40.0,40.4,39.5,40.4,-1,-1,0
2023-05-25,39.5,40.8,39.5,40.8,-1,-1,0
2023-05-26,40.8,40.8,40.1,40.5,-1,-1,0
2023-05-29,40.5,41.1,40.5,40.9,-1,-1,0
2023-05-30,41.3,41.8,41.1,41.1,-1,-1,0
2023-05-31,41.6,41.6,41.0,41.1,-1,-1,0
2023-06-01,41.1,41.7,40.5,41.6,-1,-1,0
2023-06-02,41.7,42.9,41.7,42.9,-1,-1,0
2023-06-05,42.9,43.4,41.7,42.8,-1,-1,0
2023-06-06,42.9,43.3,42.9,43.0,-1,-1,0
2023-06-07,41.4,41.4,40.7,40.7,-1,-1,0
2023-06-09,40.8,41.3,40.7,40.8,-1,-1,0
2023-06-12,40.8,41.2,40.1,40.8,-1,-1,0
2023-06-13,41.0,41.1,40.6,40.7,-1,-1,0
2023-06-14,40.7,41.4,40.7,40.8,-1,-1,0
2023-06-15,41.4,41.4,40.7,41.0,-1,-1,0
2023-06-16,41.4,41.4,40.0,40.0,-1,-1,0
2023-06-19,40.0,41.0,39.0,39.8,-1,-1,0
2023-06-20,39.9,40.9,39.2,39.2,-1,-1,0
2023-06-21,39.9,40.8,39.0,40.5,-1,-1,0
2023-06-22,40.0,40.8,39.2,39.7,-1,-1,0
2023-06-23,40.0,40.5,39.8,40.5,-1,-1,0
2023-06-26,39.2,40.4,39.0,39.9,-1,-1,0
2023-06-27,39.9,39.9,38.9,38.9,-1,-1,0
2023-06-28,39.7,39.7,38.9,38.9,-1,-1,0
2023-06-29,38.9,39.7,38.1,38.1,-1,-1,0
2023-06-30,38.9,39.5,37.5,39.4,-1,-1,0
2023-07-03,39.4,39.9,37.9,38.4,-1,-1,0
2023-07-04,39.7,39.7,37.8,38.7,-1,-1,0
2023-07-05,38.8,38.9,38.5,38.9,-1,-1,0
2023-07-06,38.9,39.0,38.3,38.6,-1,-1,0
2023-07-07,38.6,40.0,38.3,40.0,-1,-1,0
2023-07-10,40.0,40.0,39.3,40.0,-1,-1,0
2023-07-11,40.0,40.2,39.4,40.2,-1,-1,0
2023-07-12,40.0,40.3,39.6,40.1,-1,-1,0
2023-07-13,40.3,40.7,40.0,40.2,-1,-1,0
2023-07-14,40.2,40.9,40.0,40.9,-1,-1,0
2023-07-17,40.1,41.0,40.1,40.9,-1,-1,0
2023-07-18,40.9,40.9,40.5,40.5,-1,-1,0
2023-07-19,40.1,40.9,40.1,40.6,-1,-1,0
2023-07-20,40.9,40.9,40.2,40.8,-1,-1,0
2023-07-21,40.8,40.8,40.1,40.4,-1,-1,0
2023-07-24,40.7,40.7,40.1,40.5,-1,-1,0
2023-07-25,40.5,40.5,39.7,40.3,-1,-1,0
2023-07-26,40.2,40.2,40.0,40.2,-1,-1,0
2023-07-27,40.0,40.4,39.7,40.4,-1,-1,0
2023-07-28,39.6,40.5,39.5,40.5,-1,-1,0
2023-07-31,40.5,41.0,40.0,40.8,-1,-1,0
2023-08-01,40.6,40.8,40.5,40.5,-1,-1,0
2023-08-02,40.6,40.8,40.5,40.5,-1,-1,0
2023-08-03,40.5,40.6,40.1,40.1,-1,-1,0
2023-08-04,40.8,40.8,39.5,40.1,-1,-1,0
2023-08-07,40.4,40.4,39.6,40.1,-1,-1,0
2023-08-08,39.9,40.4,39.8,40.1,-1,-1,0
2023-08-09,40.1,40.4,40.1,40.1,-1,-1,0
2023-08-10,40.1,40.1,39.7,40.0,-1,-1,0
2023-08-11,39.7,40.1,39.7,40.0,-1,-1,0
2023-08-14,40.0,40.8,38.9,40.6,-1,-1,0
2023-08-16,39.1,40.6,39.0,39.9,-1,-1,0
2023-08-17,39.8,39.8,39.1,39.5,-1,-1,0
2023-08-18,39.5,40.8,38.7,39.7,-1,-1,0
2023-08-21,40.0,40.0,39.0,40.0,-1,-1,0
2023-08-22,39.1,40.2,39.1,39.2,-1,-1,0
2023-08-23,39.2,40.4,39.1,40.2,-1,-1,0
2023-08-24,40.8,40.8,38.6,38.6,-1,-1,0
2023-08-25,38.6,39.6,38.0,39.6,-1,-1,0
2023-08-28,39.6,39.9,38.4,39.0,-1,-1,0
2023-08-29,39.8,39.8,39.0,39.0,-1,-1,0
2023-08-30,39.8,39.9,39.0,39.6,-1,-1,0
2023-08-31,40.0,40.5,39.9,40.5,-1,-1,0
