Date,Open,High,Low,Close,Start Date,End Date,Pattern
2022-11-28,14.34,14.68,13.85,14.5,-1,-1,0
2022-11-29,14.49,14.7,14.11,14.6,-1,-1,0
2022-11-30,14.6,14.61,14.14,14.31,-1,-1,0
2022-12-01,14.55,14.89,14.2,14.24,-1,-1,0
2022-12-02,14.2,14.71,14.09,14.59,-1,-1,0
2022-12-05,14.75,15.5,14.72,15.5,-1,-1,0
2022-12-06,15.4,15.67,15.17,15.2,-1,-1,0
2022-12-07,15.19,15.46,15.0,15.46,-1,-1,0
2022-12-08,15.46,15.46,15.04,15.13,-1,-1,0
2022-12-09,15.12,15.5,15.0,15.48,-1,-1,0
2022-12-12,15.5,16.17,15.26,16.15,-1,-1,0
2022-12-13,16.15,16.67,16.03,16.44,-1,-1,0
2022-12-14,16.4,16.6,16.2,16.2,-1,-1,0
2022-12-15,16.09,16.18,15.47,15.47,-1,-1,0
2022-12-16,15.25,15.47,15.09,15.17,-1,-1,0
2022-12-19,15.07,15.44,14.42,14.42,-1,-1,0
2022-12-20,14.42,15.25,14.22,15.15,-1,-1,0
2022-12-21,15.13,15.38,14.3,14.51,-1,-1,0
2022-12-22,14.55,14.69,14.5,14.6,-1,-1,0
2022-12-23,14.68,14.68,14.4,14.6,-1,-1,0
2022-12-27,14.51,14.59,14.1,14.4,-1,-1,0
2022-12-28,14.4,14.58,14.0,14.34,-1,-1,0
2022-12-29,14.31,14.85,14.18,14.6,-1,-1,0
2022-12-30,14.74,14.74,14.36,14.5,-1,-1,0
2023-01-02,14.47,14.89,14.45,14.65,-1,-1,0
2023-01-03,14.72,15.2,14.66,15.0,-1,-1,0
2023-01-04,15.1,15.35,15.0,15.34,-1,-1,0
2023-01-05,15.36,15.43,15.0,15.0,-1,-1,0
2023-01-09,15.09,15.35,14.88,15.27,-1,-1,0
2023-01-10,15.19,15.25,15.05,15.11,-1,-1,0
2023-01-11,15.14,15.25,14.9,14.9,-1,-1,0
2023-01-12,14.9,15.35,14.8,15.26,-1,-1,0
2023-01-13,15.36,15.4,15.05,15.4,-1,-1,0
2023-01-16,15.44,15.44,15.09,15.12,-1,-1,0
2023-01-17,15.28,15.3,14.77,14.83,-1,-1,0
2023-01-18,14.8,14.99,14.5,14.61,-1,-1,0
2023-01-19,14.51,14.69,14.27,14.66,-1,-1,0
2023-01-20,14.66,14.74,14.48,14.56,-1,-1,0
2023-01-23,14.65,14.7,14.44,14.58,-1,-1,0
2023-01-24,14.6,15.2,14.52,14.78,-1,-1,0
2023-01-25,14.76,14.9,14.5,14.58,-1,-1,0
2023-01-26,14.59,15.0,14.59,14.83,-1,-1,0
2023-01-27,14.96,15.07,14.74,15.07,-1,-1,0
2023-01-30,15.09,15.09,14.8,14.8,-1,-1,0
2023-01-31,14.9,14.99,14.71,14.92,-1,-1,0
2023-02-01,14.85,15.0,14.42,14.48,-1,-1,0
2023-02-02,14.5,14.96,14.5,14.86,-1,-1,0
2023-02-03,14.84,15.05,14.71,14.84,-1,-1,0
2023-02-06,14.85,14.98,14.58,14.58,-1,-1,0
2023-02-07,14.61,14.88,14.41,14.5,-1,-1,0
2023-02-08,14.52,14.83,14.52,14.7,-1,-1,0
2023-02-09,14.7,14.87,14.58,14.65,-1,-1,0
2023-02-10,14.62,14.62,14.04,14.3,-1,-1,0
2023-02-13,14.27,14.46,14.26,14.36,-1,-1,0
2023-02-14,14.44,14.5,14.19,14.39,-1,-1,0
2023-02-15,14.32,14.7,14.21,14.68,-1,-1,0
2023-02-16,14.67,14.69,14.32,14.54,-1,-1,0
2023-02-17,14.5,14.58,14.35,14.54,-1,-1,0
2023-02-20,14.41,14.74,14.41,14.66,-1,-1,0
2023-02-21,14.62,15.96,14.38,15.82,-1,-1,0
2023-02-22,16.0,16.18,15.15,15.4,-1,-1,0
2023-02-23,15.59,15.6,14.86,14.88,-1,-1,0
2023-02-24,14.9,15.24,14.77,15.12,-1,-1,0
2023-02-27,15.18,15.45,15.07,15.2,-1,-1,0
2023-02-28,15.08,15.32,14.99,15.06,-1,-1,0
2023-03-01,15.16,15.28,15.06,15.2,-1,-1,0
2023-03-02,15.1,15.24,14.91,15.04,-1,-1,0
2023-03-03,15.04,15.24,15.04,15.22,-1,-1,0
2023-03-06,15.29,16.36,15.29,16.3,-1,-1,0
2023-03-07,16.28,17.0,16.04,17.0,-1,-1,0
2023-03-08,16.83,17.4,16.63,17.22,-1,-1,0
2023-03-09,17.06,17.28,16.85,16.87,-1,-1,0
2023-03-10,16.65,16.69,16.27,16.38,-1,-1,0
2023-03-13,16.4,16.65,15.19,15.42,-1,-1,0
2023-03-14,15.46,16.12,15.44,16.0,-1,-1,0
2023-03-15,16.14,16.14,15.12,15.23,-1,-1,0
2023-03-16,15.37,15.72,15.05,15.69,-1,-1,0
2023-03-17,15.89,15.92,15.26,15.69,-1,-1,0
2023-03-20,15.3,16.07,15.25,16.04,-1,-1,0
2023-03-21,16.0,16.25,15.88,16.18,-1,-1,0
2023-03-22,16.1,16.1,15.71,15.75,-1,-1,0
