Date,Open,High,Low,Close,Start Date,End Date,Pattern
2022-09-02,340.0,350.0,337.5,350.0,-1,-1,0
2022-09-05,353.5,355.0,347.0,355.0,-1,-1,0
2022-09-06,355.0,364.0,354.0,363.0,-1,-1,0
2022-09-07,362.0,366.0,353.0,362.0,-1,-1,0
2022-09-08,366.5,377.0,354.5,370.0,-1,-1,0
2022-09-09,373.0,397.5,371.0,393.0,-1,-1,0
2022-09-12,397.0,397.0,383.0,384.0,-1,-1,0
2022-09-13,383.5,389.0,377.0,377.0,-1,-1,0
2022-09-14,389.0,389.0,370.5,380.0,-1,-1,0
2022-09-15,380.0,380.0,376.0,380.0,-1,-1,0
2022-09-16,387.0,387.0,360.0,361.0,-1,-1,0
2022-09-19,366.0,366.0,354.0,356.0,-1,-1,0
2022-09-20,357.5,357.5,345.5,349.5,-1,-1,0
2022-09-21,350.0,350.0,346.0,350.0,-1,-1,0
2022-09-22,349.5,357.0,343.0,357.0,-1,-1,0
2022-09-23,368.0,368.0,343.0,352.5,-1,-1,0
2022-09-26,355.5,367.5,350.0,352.0,-1,-1,0
2022-09-27,357.0,370.0,350.0,360.5,-1,-1,0
2022-09-28,362.0,362.0,345.0,354.0,-1,-1,0
2022-09-29,352.0,357.0,346.0,346.5,-1,-1,0
2022-09-30,345.0,356.0,343.0,350.0,-1,-1,0
2022-10-03,346.0,366.5,342.0,366.5,-1,-1,0
2022-10-04,366.5,388.0,366.0,388.0,-1,-1,0
2022-10-05,389.0,389.0,375.0,378.0,-1,-1,0
2022-10-06,378.5,380.0,371.5,374.5,-1,-1,0
2022-10-07,367.0,371.5,367.0,368.5,-1,-1,0
2022-10-10,368.5,381.0,366.0,377.0,-1,-1,0
2022-10-11,380.0,385.0,372.0,380.0,-1,-1,0
2022-10-12,382.0,382.0,373.0,378.0,-1,-1,0
2022-10-13,377.0,377.0,362.5,370.0,-1,-1,0
2022-10-14,379.5,382.0,368.5,372.0,-1,-1,0
2022-10-17,380.0,380.0,370.0,375.0,-1,-1,0
2022-10-18,375.0,382.0,368.0,382.0,-1,-1,0
2022-10-19,382.0,382.0,371.5,375.0,-1,-1,0
2022-10-20,377.0,377.0,372.5,372.5,-1,-1,0
2022-10-21,377.0,377.0,355.0,361.5,-1,-1,0
2022-10-24,369.5,373.0,355.0,355.0,-1,-1,0
2022-10-25,359.5,365.0,355.0,358.0,-1,-1,0
2022-10-26,362.0,373.5,362.0,373.5,-1,-1,0
2022-10-27,380.0,382.0,359.0,361.0,-1,-1,0
2022-10-28,362.0,362.0,355.5,361.0,-1,-1,0
2022-10-31,363.0,363.0,357.0,360.0,-1,-1,0
2022-11-02,360.0,374.0,360.0,370.0,-1,-1,0
2022-11-03,369.5,370.0,364.0,364.0,-1,-1,0
2022-11-04,367.0,403.5,367.0,403.5,-1,-1,0
2022-11-07,406.0,408.0,395.0,407.5,-1,-1,0
2022-11-08,407.5,408.0,392.5,400.0,-1,-1,0
2022-11-09,405.0,405.0,397.5,400.0,-1,-1,0
2022-11-10,400.0,402.0,392.0,400.0,-1,-1,0
2022-11-14,404.5,411.0,397.0,411.0,-1,-1,0
2022-11-15,412.0,434.0,409.5,426.0,-1,-1,0
2022-11-16,425.5,430.0,415.5,430.0,-1,-1,0
2022-11-17,419.0,432.0,419.0,432.0,-1,-1,0
2022-11-18,432.0,444.0,430.0,444.0,-1,-1,0
2022-11-21,444.0,445.0,425.0,426.5,-1,-1,0
2022-11-22,426.5,457.0,426.5,457.0,-1,-1,0
2022-11-23,457.0,467.0,454.0,464.0,-1,-1,0
2022-11-24,460.0,465.0,441.5,445.5,-1,-1,0
2022-11-25,449.5,465.0,444.5,464.5,-1,-1,0
2022-11-28,466.5,466.5,451.0,454.5,-1,-1,0
2022-11-29,454.0,466.0,451.0,466.0,-1,-1,0
2022-11-30,466.0,470.0,455.0,458.5,-1,-1,0
2022-12-01,456.0,467.5,443.0,458.0,-1,-1,0
2022-12-02,458.0,465.0,452.5,464.0,-1,-1,0
2022-12-05,464.0,465.0,443.5,446.0,-1,-1,0
2022-12-06,447.0,447.0,433.0,439.5,-1,-1,0
2022-12-07,435.0,445.0,435.0,440.0,-1,-1,0
2022-12-08,440.0,450.0,440.0,450.0,-1,-1,0
2022-12-09,450.0,460.0,447.5,447.5,-1,-1,0
