Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-05-10,14.3,14.35,14.1,14.1,29,39,4,1
2023-05-11,14.15,14.15,13.9,13.9,29,39,4,1
2023-05-12,13.9,14.2,13.9,14.2,29,39,4,1
2023-05-15,14.2,14.5,14.15,14.45,29,39,4,1
2023-05-16,14.55,14.9,14.5,14.9,29,39,4,1
2023-05-17,14.8,14.85,14.25,14.85,29,39,4,1
2023-05-18,14.75,14.75,14.25,14.4,29,39,4,1
2023-05-19,14.2,14.65,14.2,14.65,29,39,4,1
2023-05-22,14.8,14.8,14.05,14.35,29,39,4,1
2023-05-23,14.25,14.55,14.2,14.55,29,39,4,1
2023-05-24,14.25,14.8,14.25,14.6,29,39,4,1
2023-05-25,14.6,14.65,14.3,14.65,29,39,4,1
2023-05-26,14.4,14.4,13.4,13.6,29,39,4,1
2023-05-29,13.6,13.6,13.2,13.45,29,39,4,1
2023-05-30,13.4,13.4,12.95,13.2,29,39,4,1
2023-05-31,13.3,13.55,13.2,13.5,29,39,4,1
2023-06-01,13.45,13.45,12.6,13.15,29,39,4,1
2023-06-02,13.15,13.15,12.7,12.95,29,39,4,1
2023-06-05,12.8,13.0,12.7,12.9,29,39,4,1
2023-06-06,12.8,13.0,12.6,13.0,29,39,4,1
2023-06-07,13.0,13.2,12.8,13.0,29,39,4,1
2023-06-09,13.0,13.0,12.8,12.9,29,39,4,1
2023-06-12,12.9,12.95,12.8,12.85,29,39,4,1
2023-06-13,12.95,13.15,12.75,13.0,29,39,4,1
2023-06-14,13.0,13.0,12.85,12.95,29,39,4,1
2023-06-15,12.95,12.95,12.55,12.9,29,39,4,1
2023-06-16,12.85,13.2,12.7,13.2,29,39,4,1
2023-06-19,13.5,13.5,13.2,13.45,29,39,4,1
2023-06-20,13.45,13.55,13.35,13.4,29,39,4,1
2023-06-21,13.65,13.7,13.3,13.3,29,39,4,1
2023-06-22,13.6,13.65,13.35,13.65,29,39,4,1
2023-06-23,13.65,13.7,13.55,13.7,29,39,4,1
2023-06-26,13.7,14.0,13.7,13.9,29,39,4,1
2023-06-27,12.9,13.25,12.9,13.25,29,39,4,1
2023-06-28,13.3,13.55,13.25,13.25,29,39,4,1
2023-06-29,13.0,13.1,13.0,13.0,29,39,4,1
2023-06-30,13.05,13.05,12.85,12.85,29,39,4,1
2023-07-03,12.9,13.2,12.9,12.95,29,39,4,1
2023-07-04,12.85,13.15,12.6,12.95,29,39,4,1
2023-07-05,12.95,13.0,12.7,12.9,29,39,4,1
2023-07-06,12.9,13.05,12.9,12.9,29,39,4,1
2023-07-07,12.9,12.9,12.0,12.9,29,39,4,1
2023-07-10,12.9,12.9,12.5,12.9,29,39,4,1
2023-07-11,12.9,12.9,12.5,12.5,29,39,4,1
2023-07-12,12.5,12.85,12.5,12.8,29,39,4,1
2023-07-13,12.75,12.8,12.65,12.65,29,39,4,1
2023-07-14,12.65,12.7,12.6,12.6,29,39,4,1
2023-07-17,12.6,12.7,12.25,12.7,29,39,4,1
2023-07-18,12.65,12.65,12.25,12.45,29,39,4,1
2023-07-19,12.4,12.5,11.9,12.0,29,39,4,1
2023-07-20,12.3,12.3,12.0,12.05,29,39,4,1
2023-07-21,12.2,12.5,12.2,12.2,29,39,4,1
2023-07-24,12.2,12.6,11.7,12.15,29,39,4,1
2023-07-25,12.25,12.25,12.2,12.25,29,39,4,1
2023-07-26,12.3,12.55,12.15,12.2,29,39,4,1
2023-07-27,12.25,12.25,12.0,12.2,29,39,4,1
2023-07-28,12.2,12.2,12.0,12.15,29,39,4,1
2023-07-31,12.2,12.2,11.85,12.05,29,39,4,1
2023-08-01,12.0,12.15,11.9,12.1,29,39,4,1
2023-08-02,11.95,12.1,11.75,12.0,29,39,4,1
2023-08-03,11.95,12.0,11.85,12.0,29,39,4,1
2023-08-04,11.95,11.95,11.8,11.95,29,39,4,1
2023-08-07,11.9,11.9,11.8,11.8,29,39,4,1
2023-08-08,11.85,11.9,11.75,11.75,29,39,4,1
2023-08-09,11.8,11.9,11.65,11.65,29,39,4,1
2023-08-10,11.85,11.85,11.65,11.85,29,39,4,1
2023-08-11,11.9,12.5,11.7,12.0,29,39,4,1
2023-08-14,12.1,12.2,11.95,11.95,29,39,4,1
2023-08-16,12.0,12.05,11.9,11.9,29,39,4,1
