Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-03-02,0.818,0.837,0.793,0.81,15,20,4,1
2023-03-03,0.81,0.82,0.791,0.799,15,20,4,1
2023-03-06,0.814,0.814,0.791,0.811,15,20,4,1
2023-03-07,0.811,0.82,0.79,0.79,15,20,4,1
2023-03-08,0.798,0.813,0.786,0.791,15,20,4,1
2023-03-09,0.805,0.805,0.782,0.785,15,20,4,1
2023-03-10,0.804,0.804,0.761,0.794,15,20,4,1
2023-03-13,0.796,0.796,0.742,0.758,15,20,4,1
2023-03-14,0.786,0.788,0.75,0.788,15,20,4,1
2023-03-15,0.794,0.794,0.741,0.76,15,20,4,1
2023-03-16,0.773,0.773,0.72,0.728,15,20,4,1
2023-03-17,0.752,0.752,0.729,0.75,15,20,4,1
2023-03-20,0.758,0.758,0.72,0.742,15,20,4,1
2023-03-21,0.73,0.742,0.695,0.71,15,20,4,1
2023-03-22,0.729,0.73,0.7,0.719,15,20,4,1
2023-03-23,0.731,0.738,0.7,0.731,15,20,4,1
2023-03-24,0.744,0.744,0.702,0.714,15,20,4,1
2023-03-27,0.742,0.742,0.71,0.715,15,20,4,1
2023-03-28,0.738,0.738,0.708,0.71,15,20,4,1
2023-03-29,0.703,0.736,0.69,0.734,15,20,4,1
2023-03-30,0.735,0.772,0.72,0.772,15,20,4,1
2023-03-31,0.772,0.773,0.73,0.745,15,20,4,1
2023-04-03,0.765,0.765,0.735,0.763,15,20,4,1
2023-04-04,0.764,0.788,0.757,0.776,15,20,4,1
2023-04-05,0.773,0.783,0.751,0.778,15,20,4,1
2023-04-06,0.778,0.778,0.751,0.778,15,20,4,1
2023-04-11,0.778,0.778,0.752,0.778,15,20,4,1
2023-04-12,0.754,0.765,0.737,0.752,15,20,4,1
2023-04-13,0.769,0.769,0.732,0.766,15,20,4,1
2023-04-14,0.766,0.783,0.72,0.78,15,20,4,1
2023-04-17,0.78,0.78,0.742,0.747,15,20,4,1
2023-04-18,0.769,0.776,0.747,0.749,15,20,4,1
2023-04-19,0.745,0.768,0.745,0.748,15,20,4,1
2023-04-20,0.774,0.774,0.74,0.761,15,20,4,1
