Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-12-22,22.8,23.4,22.55,23.05,49,66,4,1
2022-12-23,23.0,23.0,22.55,22.7,49,66,4,1
2022-12-27,22.45,22.8,21.6,22.7,49,66,4,1
2022-12-28,22.7,22.8,21.55,22.4,49,66,4,1
2022-12-29,22.4,22.8,22.0,22.75,49,66,4,1
2022-12-30,22.75,23.5,22.45,23.0,49,66,4,1
2023-01-02,23.1,24.95,23.1,24.85,49,66,4,1
2023-01-03,24.7,25.2,24.45,24.95,49,66,4,1
2023-01-04,25.0,26.4,24.95,26.35,49,66,4,1
2023-01-05,26.5,26.5,24.8,25.2,49,66,4,1
2023-01-09,25.5,26.1,23.3,23.85,49,66,4,1
2023-01-10,23.85,23.85,22.5,22.85,49,66,4,1
2023-01-11,23.25,23.6,22.8,23.0,49,66,4,1
2023-01-12,22.85,23.4,22.75,23.0,49,66,4,1
2023-01-13,23.35,23.4,22.7,22.75,49,66,4,1
2023-01-16,22.75,24.45,22.75,24.45,49,66,4,1
2023-01-17,24.4,25.5,24.4,25.0,49,66,4,1
2023-01-18,25.0,25.0,24.1,24.1,49,66,4,1
2023-01-19,24.4,24.4,23.5,23.6,49,66,4,1
2023-01-20,23.6,24.65,23.6,24.0,49,66,4,1
2023-01-23,25.3,25.9,24.25,24.7,49,66,4,1
2023-01-24,24.65,24.9,23.4,23.95,49,66,4,1
2023-01-25,23.7,24.0,23.1,23.9,49,66,4,1
2023-01-26,23.9,24.25,23.5,24.15,49,66,4,1
2023-01-27,22.7,23.0,22.2,22.5,49,66,4,1
2023-01-30,22.7,22.75,22.35,22.55,49,66,4,1
2023-01-31,22.35,22.4,21.8,22.1,49,66,4,1
2023-02-01,22.1,22.45,22.0,22.05,49,66,4,1
2023-02-02,22.45,22.5,22.05,22.35,49,66,4,1
2023-02-03,23.1,23.75,22.9,23.2,49,66,4,1
2023-02-06,23.4,23.9,22.65,23.4,49,66,4,1
2023-02-07,23.7,24.4,23.4,23.95,49,66,4,1
2023-02-08,24.0,24.7,23.8,24.1,49,66,4,1
2023-02-09,24.25,24.25,23.4,23.8,49,66,4,1
2023-02-10,23.8,23.9,23.0,23.15,49,66,4,1
2023-02-13,23.1,23.4,22.3,22.65,49,66,4,1
2023-02-14,22.6,22.8,22.15,22.4,49,66,4,1
2023-02-15,22.45,22.45,22.05,22.35,49,66,4,1
2023-02-16,22.4,23.6,22.15,23.3,49,66,4,1
2023-02-17,23.5,23.55,22.95,23.3,49,66,4,1
2023-02-20,19.5,20.0,19.3,19.48,49,66,4,1
2023-02-21,19.5,19.52,17.88,17.98,49,66,4,1
2023-02-22,17.9,17.96,16.44,17.4,49,66,4,1
2023-02-23,17.4,18.74,17.26,18.26,49,66,4,1
2023-02-24,18.14,18.44,17.56,18.24,49,66,4,1
2023-02-27,18.0,18.0,17.2,17.38,49,66,4,1
2023-02-28,17.22,17.38,16.8,16.84,49,66,4,1
2023-03-01,16.8,18.2,16.62,17.88,49,66,4,1
2023-03-02,17.84,17.84,17.08,17.6,49,66,4,1
2023-03-03,17.66,17.74,17.06,17.4,49,66,4,1
2023-03-06,17.06,17.44,17.02,17.18,49,66,4,1
2023-03-07,17.2,17.74,17.04,17.3,49,66,4,1
2023-03-08,17.28,17.28,16.8,17.22,49,66,4,1
2023-03-09,17.26,17.5,17.0,17.4,49,66,4,1
2023-03-10,17.98,18.36,17.2,17.48,49,66,4,1
2023-03-13,17.48,17.48,16.74,16.96,49,66,4,1
2023-03-14,16.96,17.16,16.72,17.14,49,66,4,1
2023-03-15,17.14,17.48,17.0,17.36,49,66,4,1
2023-03-16,17.38,17.8,17.38,17.76,49,66,4,1
2023-03-17,17.78,18.9,17.4,17.98,49,66,4,1
2023-03-20,18.22,18.46,17.72,18.28,49,66,4,1
2023-03-21,18.28,18.28,17.6,17.92,49,66,4,1
2023-03-22,17.94,17.96,17.56,17.58,49,66,4,1
2023-03-23,17.5,17.74,17.12,17.72,49,66,4,1
2023-03-24,17.72,17.72,17.0,17.36,49,66,4,1
2023-03-27,17.34,17.34,16.74,17.18,49,66,4,1
2023-03-28,17.3,17.38,17.0,17.3,49,66,4,1
2023-03-29,17.3,17.3,16.9,17.2,49,66,4,1
2023-03-30,17.2,17.3,16.9,17.28,49,66,4,1
2023-03-31,17.28,17.28,16.92,17.2,49,66,4,1
2023-04-03,17.16,18.26,16.92,17.5,49,66,4,1
2023-04-04,17.5,17.5,17.16,17.46,49,66,4,1
2023-04-05,17.46,18.36,17.1,18.0,49,66,4,1
2023-04-06,18.2,18.8,17.8,18.54,49,66,4,1
2023-04-11,18.6,18.82,18.24,18.48,49,66,4,1
2023-04-12,18.48,18.48,17.9,18.12,49,66,4,1
2023-04-13,18.1,18.4,17.92,17.94,49,66,4,1
2023-04-14,17.96,18.3,17.6,17.72,49,66,4,1
2023-04-17,17.8,18.2,17.54,18.06,49,66,4,1
2023-04-18,18.06,18.2,17.78,18.08,49,66,4,1
2023-04-19,18.08,18.08,17.62,17.94,49,66,4,1
2023-04-20,17.96,17.96,17.6,17.62,49,66,4,1
2023-04-21,17.98,18.46,17.8,17.96,49,66,4,1
2023-04-24,17.98,17.98,17.52,17.56,49,66,4,1
2023-04-25,17.76,17.76,17.5,17.7,49,66,4,1
2023-04-26,17.7,17.92,17.4,17.92,49,66,4,1
2023-04-27,17.88,17.88,17.36,17.6,49,66,4,1
2023-04-28,17.6,17.72,17.3,17.5,49,66,4,1
2023-05-02,17.5,17.5,16.9,17.1,49,66,4,1
2023-05-04,17.0,17.24,17.0,17.14,49,66,4,1
2023-05-05,17.2,17.4,17.06,17.36,49,66,4,1
2023-05-08,17.1,17.5,17.1,17.18,49,66,4,1
2023-05-09,17.2,17.58,17.12,17.5,49,66,4,1
2023-05-10,17.5,17.54,17.2,17.48,49,66,4,1
2023-05-11,17.18,17.48,17.08,17.36,49,66,4,1
2023-05-12,17.4,17.5,17.16,17.4,49,66,4,1
