Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-02-27,123.55,127.3,122.8,125.8,15,20,4,1
2023-02-28,125.8,128.0,124.25,127.4,15,20,4,1
2023-03-01,129.6,134.7,129.5,132.2,15,20,4,1
2023-03-02,131.0,131.0,126.75,128.05,15,20,4,1
2023-03-03,129.2,130.9,128.7,130.9,15,20,4,1
2023-03-06,132.0,132.5,128.05,130.0,15,20,4,1
2023-03-07,129.95,130.0,125.4,125.85,15,20,4,1
2023-03-08,125.8,126.65,123.6,126.0,15,20,4,1
2023-03-09,125.5,127.0,121.8,121.9,15,20,4,1
2023-03-10,119.9,121.6,118.2,121.45,15,20,4,1
2023-03-13,122.5,122.9,115.2,119.55,15,20,4,1
2023-03-14,118.5,121.65,118.25,120.5,15,20,4,1
2023-03-15,120.5,120.5,113.3,113.3,15,20,4,1
2023-03-16,114.5,116.0,110.3,114.9,15,20,4,1
2023-03-17,116.8,120.25,113.7,114.4,15,20,4,1
2023-03-20,113.8,117.8,112.2,117.35,15,20,4,1
2023-03-21,118.0,122.5,117.25,118.9,15,20,4,1
2023-03-22,118.95,119.55,117.4,118.65,15,20,4,1
2023-03-23,118.0,119.55,114.5,117.4,15,20,4,1
2023-03-24,117.7,118.0,113.5,114.95,15,20,4,1
2023-03-27,116.75,116.8,113.5,116.45,15,20,4,1
2023-03-28,117.3,118.55,116.5,117.0,15,20,4,1
2023-03-29,117.9,118.65,115.9,118.5,15,20,4,1
2023-03-30,119.0,123.65,118.8,123.25,15,20,4,1
2023-03-31,124.0,124.55,121.4,122.25,15,20,4,1
2023-04-03,121.95,123.1,120.25,120.65,15,20,4,1
2023-04-04,121.45,121.45,117.9,118.45,15,20,4,1
2023-04-05,117.9,118.2,115.75,116.35,15,20,4,1
2023-04-06,117.45,118.1,115.85,116.45,15,20,4,1
2023-04-11,118.2,121.2,117.1,119.95,15,20,4,1
2023-04-12,119.9,122.95,118.55,122.0,15,20,4,1
2023-04-13,121.8,124.4,120.65,123.85,15,20,4,1
2023-04-14,124.85,128.65,124.8,125.95,15,20,4,1
2023-04-17,127.05,127.6,121.35,122.15,15,20,4,1
