Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-04-24,82.75,84.5,81.2,82.0,61,82,4,1
2023-04-25,82.0,83.85,80.85,83.5,61,82,4,1
2023-04-26,83.85,85.4,83.1,83.6,61,82,4,1
2023-04-27,83.6,88.25,80.7,82.1,61,82,4,1
2023-04-28,82.85,83.45,81.15,81.95,61,82,4,1
2023-05-02,82.45,83.6,82.05,82.9,61,82,4,1
2023-05-04,82.95,83.15,81.2,82.8,61,82,4,1
2023-05-05,82.6,85.5,81.9,85.35,61,82,4,1
2023-05-08,85.55,87.4,85.0,86.0,61,82,4,1
2023-05-09,85.45,85.95,82.05,82.2,61,82,4,1
2023-05-10,83.0,84.7,82.05,83.1,61,82,4,1
2023-05-11,83.0,86.3,82.6,86.0,61,82,4,1
2023-05-12,86.75,86.75,83.75,83.75,61,82,4,1
2023-05-15,84.2,85.85,84.0,84.0,61,82,4,1
2023-05-16,84.0,85.1,81.6,81.65,61,82,4,1
2023-05-17,81.8,83.0,81.2,81.65,61,82,4,1
2023-05-18,82.9,83.2,81.45,81.75,61,82,4,1
2023-05-19,82.1,84.2,82.0,83.85,61,82,4,1
2023-05-22,84.0,84.05,82.25,82.5,61,82,4,1
2023-05-23,79.5,80.6,76.5,79.0,61,82,4,1
2023-05-24,79.5,83.1,79.0,82.0,61,82,4,1
2023-05-25,83.1,83.5,81.0,82.0,61,82,4,1
2023-05-26,83.0,83.5,82.5,82.85,61,82,4,1
2023-05-29,83.5,84.35,83.1,84.0,61,82,4,1
2023-05-30,84.0,84.1,82.15,82.15,61,82,4,1
2023-05-31,83.0,83.0,81.2,82.0,61,82,4,1
2023-06-01,81.9,82.65,81.5,81.9,61,82,4,1
2023-06-02,83.8,84.3,81.55,81.65,61,82,4,1
2023-06-05,82.0,82.95,80.6,81.6,61,82,4,1
2023-06-06,82.0,82.25,81.1,82.0,61,82,4,1
2023-06-07,82.0,82.7,80.3,80.5,61,82,4,1
2023-06-09,81.3,81.7,80.5,81.0,61,82,4,1
2023-06-12,81.9,83.3,81.05,82.0,61,82,4,1
2023-06-13,82.0,82.55,80.4,80.5,61,82,4,1
2023-06-14,81.0,85.0,80.85,84.95,61,82,4,1
2023-06-15,86.0,88.8,85.05,86.5,61,82,4,1
2023-06-16,87.0,93.7,86.55,91.75,61,82,4,1
2023-06-19,92.95,93.3,90.5,91.0,61,82,4,1
2023-06-20,84.8,87.85,83.8,87.3,61,82,4,1
2023-06-21,87.55,88.05,84.95,86.5,61,82,4,1
2023-06-22,86.0,86.0,83.7,84.5,61,82,4,1
2023-06-23,84.5,85.95,83.85,84.05,61,82,4,1
2023-06-26,85.0,85.0,80.75,81.95,61,82,4,1
2023-06-27,81.95,82.8,79.8,80.0,61,82,4,1
2023-06-28,80.5,82.95,80.5,81.6,61,82,4,1
2023-06-29,81.85,82.65,78.65,79.95,61,82,4,1
2023-06-30,80.45,80.45,78.45,78.75,61,82,4,1
2023-07-03,78.75,79.2,77.5,77.5,61,82,4,1
2023-07-04,77.75,80.25,77.6,79.35,61,82,4,1
2023-07-05,79.45,79.65,77.5,77.5,61,82,4,1
2023-07-06,77.6,78.55,74.05,74.25,61,82,4,1
2023-07-07,74.5,76.35,73.8,74.45,61,82,4,1
2023-07-10,74.6,77.55,74.2,77.45,61,82,4,1
2023-07-11,76.25,77.75,76.25,77.4,61,82,4,1
