Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-03-06,5.12,5.16,5.08,5.1,12,16,4,1
2023-03-07,5.08,5.1,5.0,5.06,12,16,4,1
2023-03-08,5.12,5.12,4.93,5.04,12,16,4,1
2023-03-09,5.04,5.04,4.9,5.0,12,16,4,1
2023-03-10,5.0,5.08,4.85,5.08,12,16,4,1
2023-03-13,4.98,5.06,4.86,4.95,12,16,4,1
2023-03-14,4.98,5.06,4.95,5.04,12,16,4,1
2023-03-15,5.06,5.06,4.84,4.9,12,16,4,1
2023-03-16,4.95,4.96,4.82,4.89,12,16,4,1
2023-03-17,4.92,4.94,4.9,4.91,12,16,4,1
2023-03-20,4.87,4.91,4.8,4.88,12,16,4,1
2023-03-21,4.9,4.96,4.84,4.96,12,16,4,1
2023-03-22,4.96,4.98,4.86,4.98,12,16,4,1
2023-03-23,4.99,5.0,4.92,4.99,12,16,4,1
2023-03-24,5.04,5.08,4.9,4.96,12,16,4,1
2023-03-27,4.87,4.96,4.87,4.95,12,16,4,1
2023-03-28,4.95,4.97,4.87,4.97,12,16,4,1
2023-03-29,4.97,4.97,4.97,4.97,12,16,4,1
2023-03-30,4.97,5.08,4.97,5.06,12,16,4,1
2023-03-31,5.1,5.1,5.0,5.02,12,16,4,1
2023-04-03,5.1,5.2,5.04,5.18,12,16,4,1
2023-04-04,5.2,5.2,5.04,5.14,12,16,4,1
2023-04-05,5.14,5.16,5.04,5.14,12,16,4,1
2023-04-06,5.12,5.18,5.06,5.18,12,16,4,1
2023-04-11,5.18,5.26,5.1,5.26,12,16,4,1
2023-04-12,5.26,5.28,5.22,5.28,12,16,4,1
2023-04-13,5.28,5.32,5.16,5.32,12,16,4,1
2023-04-14,5.32,5.34,5.2,5.34,12,16,4,1
