Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-01-09,11330,11770,11080,11730,29,38,4,1
2023-01-10,11600,12630,11320,12530,29,38,4,1
2023-01-11,12010,12460,11370,11440,29,38,4,1
2023-01-12,11390,11390,10700,10750,29,38,4,1
2023-01-13,10710,10800,10520,10540,29,38,4,1
2023-01-16,10540,10790,10540,10750,29,38,4,1
2023-01-17,10750,10750,10420,10550,29,38,4,1
2023-01-18,10630,10720,10350,10600,29,38,4,1
2023-01-19,10540,10550,10210,10440,29,38,4,1
2023-01-20,10440,10620,10400,10600,29,38,4,1
2023-01-23,10640,10660,10410,10610,29,38,4,1
2023-01-24,10550,10590,10430,10510,29,38,4,1
2023-01-25,10480,10550,10310,10380,29,38,4,1
2023-01-26,10330,10460,10320,10390,29,38,4,1
2023-01-27,10300,10400,10110,10400,29,38,4,1
2023-01-30,10400,10400,10170,10220,29,38,4,1
2023-01-31,10200,10210,10000,10120,29,38,4,1
2023-02-01,10070,10190,9905,10090,29,38,4,1
2023-02-02,10110,10430,10050,10280,29,38,4,1
2023-02-03,10230,10420,10160,10350,29,38,4,1
2023-02-06,10350,10350,10100,10120,29,38,4,1
2023-02-07,10120,10160,10050,10120,29,38,4,1
2023-02-08,10130,10210,10050,10100,29,38,4,1
2023-02-09,10030,10130,10030,10090,29,38,4,1
2023-02-10,10030,10030,9620,9655,29,38,4,1
2023-02-13,9630,9940,9510,9840,29,38,4,1
2023-02-14,9840,9965,9710,9795,29,38,4,1
2023-02-15,9790,10010,9725,9970,29,38,4,1
2023-02-16,9950,9950,9710,9850,29,38,4,1
2023-02-17,9730,10010,9620,9985,29,38,4,1
2023-02-20,10040,10040,9835,9905,29,38,4,1
2023-02-21,9820,10020,9630,9880,29,38,4,1
2023-02-22,9600,9895,9450,9600,29,38,4,1
2023-02-23,9560,9635,9470,9515,29,38,4,1
2023-02-24,9550,9550,9405,9435,29,38,4,1
2023-02-27,9435,9715,9310,9585,29,38,4,1
2023-02-28,9500,9555,9310,9420,29,38,4,1
2023-03-01,9400,9620,9270,9610,29,38,4,1
2023-03-02,9500,9740,9370,9440,29,38,4,1
2023-03-03,9410,9730,9410,9650,29,38,4,1
2023-03-06,9650,9940,9630,9810,29,38,4,1
2023-03-07,9750,9995,9655,9800,29,38,4,1
2023-03-08,9795,9850,9640,9815,29,38,4,1
2023-03-09,9890,9905,9535,9535,29,38,4,1
2023-03-10,9490,9505,9320,9430,29,38,4,1
2023-03-13,9400,9495,9100,9195,29,38,4,1
2023-03-14,9195,9590,9100,9300,29,38,4,1
2023-03-15,9300,9445,9060,9145,29,38,4,1
2023-03-16,9160,9340,9000,9270,29,38,4,1
2023-03-17,9405,9405,9135,9215,29,38,4,1
2023-03-20,9215,9320,9020,9290,29,38,4,1
2023-03-21,9290,9365,9165,9305,29,38,4,1
2023-03-22,9250,9300,9135,9285,29,38,4,1
2023-03-23,9250,9455,9145,9390,29,38,4,1
2023-03-24,9300,9470,9270,9340,29,38,4,1
2023-03-27,9410,9770,9300,9585,29,38,4,1
2023-03-28,9590,9685,9230,9345,29,38,4,1
2023-03-29,9460,9460,9260,9365,29,38,4,1
2023-03-30,9275,9605,9110,9600,29,38,4,1
2023-03-31,9650,9720,9525,9580,29,38,4,1
2023-04-03,9560,9715,9520,9700,29,38,4,1
2023-04-04,9640,9780,9580,9730,29,38,4,1
2023-04-05,9655,9795,9460,9520,29,38,4,1
2023-04-06,9465,9565,9255,9335,29,38,4,1
