Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-12-05,0.55,0.56,0.536,0.549,32,43,4,1
2022-12-06,0.535,0.555,0.534,0.553,32,43,4,1
2022-12-07,0.546,0.555,0.537,0.547,32,43,4,1
2022-12-08,0.542,0.554,0.538,0.551,32,43,4,1
2022-12-09,0.551,0.58,0.544,0.579,32,43,4,1
2022-12-12,0.566,0.579,0.547,0.557,32,43,4,1
2022-12-13,0.558,0.559,0.529,0.538,32,43,4,1
2022-12-14,0.539,0.543,0.527,0.537,32,43,4,1
2022-12-15,0.53,0.538,0.526,0.537,32,43,4,1
2022-12-16,0.536,0.537,0.51,0.524,32,43,4,1
2022-12-19,0.515,0.524,0.51,0.524,32,43,4,1
2022-12-20,0.523,0.534,0.517,0.53,32,43,4,1
2022-12-21,0.526,0.536,0.51,0.525,32,43,4,1
2022-12-22,0.524,0.534,0.513,0.534,32,43,4,1
2022-12-23,0.522,0.533,0.51,0.51,32,43,4,1
2022-12-27,0.51,0.534,0.503,0.512,32,43,4,1
2022-12-28,0.513,0.53,0.513,0.523,32,43,4,1
2022-12-29,0.517,0.53,0.517,0.529,32,43,4,1
2022-12-30,0.519,0.537,0.515,0.535,32,43,4,1
2023-01-02,0.533,0.535,0.52,0.527,32,43,4,1
2023-01-03,0.523,0.528,0.515,0.522,32,43,4,1
2023-01-04,0.521,0.526,0.51,0.519,32,43,4,1
2023-01-05,0.515,0.519,0.5,0.511,32,43,4,1
2023-01-09,0.502,0.516,0.502,0.513,32,43,4,1
2023-01-10,0.513,0.522,0.503,0.519,32,43,4,1
2023-01-11,0.517,0.52,0.51,0.517,32,43,4,1
2023-01-12,0.513,0.515,0.505,0.511,32,43,4,1
2023-01-13,0.509,0.518,0.499,0.518,32,43,4,1
2023-01-16,0.519,0.52,0.504,0.511,32,43,4,1
2023-01-17,0.51,0.538,0.507,0.538,32,43,4,1
2023-01-18,0.539,0.545,0.522,0.537,32,43,4,1
2023-01-19,0.528,0.536,0.517,0.525,32,43,4,1
2023-01-20,0.521,0.545,0.515,0.544,32,43,4,1
2023-01-23,0.539,0.544,0.527,0.532,32,43,4,1
2023-01-24,0.531,0.532,0.52,0.529,32,43,4,1
2023-01-25,0.527,0.531,0.5,0.524,32,43,4,1
2023-01-26,0.522,0.528,0.51,0.521,32,43,4,1
2023-01-27,0.517,0.521,0.51,0.519,32,43,4,1
2023-01-30,0.513,0.52,0.508,0.515,32,43,4,1
2023-01-31,0.513,0.528,0.513,0.527,32,43,4,1
2023-02-01,0.523,0.523,0.495,0.508,32,43,4,1
2023-02-02,0.506,0.509,0.498,0.506,32,43,4,1
2023-02-03,0.501,0.507,0.491,0.504,32,43,4,1
2023-02-06,0.502,0.504,0.4955,0.503,32,43,4,1
2023-02-07,0.503,0.506,0.4965,0.505,32,43,4,1
2023-02-08,0.505,0.542,0.5,0.513,32,43,4,1
2023-02-09,0.512,0.515,0.48,0.503,32,43,4,1
2023-02-10,0.5,0.506,0.491,0.503,32,43,4,1
2023-02-13,0.503,0.505,0.488,0.4975,32,43,4,1
2023-02-14,0.49,0.501,0.4895,0.5,32,43,4,1
2023-02-15,0.5,0.521,0.49,0.509,32,43,4,1
2023-02-16,0.501,0.508,0.498,0.503,32,43,4,1
2023-02-17,0.4995,0.542,0.4975,0.535,32,43,4,1
2023-02-20,0.538,0.543,0.521,0.532,32,43,4,1
2023-02-21,0.532,0.532,0.52,0.528,32,43,4,1
2023-02-22,0.526,0.533,0.504,0.526,32,43,4,1
2023-02-23,0.516,0.525,0.507,0.518,32,43,4,1
2023-02-24,0.511,0.517,0.498,0.509,32,43,4,1
2023-02-27,0.503,0.508,0.499,0.505,32,43,4,1
2023-02-28,0.5,0.51,0.499,0.506,32,43,4,1
2023-03-01,0.502,0.508,0.4905,0.505,32,43,4,1
2023-03-02,0.501,0.505,0.495,0.503,32,43,4,1
2023-03-03,0.496,0.509,0.49,0.506,32,43,4,1
2023-03-06,0.4995,0.506,0.491,0.499,32,43,4,1
2023-03-07,0.499,0.505,0.499,0.504,32,43,4,1
2023-03-08,0.5,0.504,0.4855,0.503,32,43,4,1
2023-03-09,0.4945,0.502,0.4875,0.4965,32,43,4,1
2023-03-10,0.4955,0.4955,0.478,0.485,32,43,4,1
2023-03-13,0.485,0.4875,0.437,0.478,32,43,4,1
2023-03-14,0.4565,0.478,0.4565,0.46,32,43,4,1
2023-03-15,0.4625,0.4935,0.449,0.4615,32,43,4,1
2023-03-16,0.452,0.471,0.443,0.47,32,43,4,1
2023-03-17,0.47,0.48,0.4605,0.478,32,43,4,1
2023-03-20,0.475,0.478,0.4435,0.4655,32,43,4,1
2023-03-21,0.4565,0.4655,0.45,0.465,32,43,4,1
2023-03-22,0.4635,0.465,0.449,0.458,32,43,4,1
2023-03-23,0.4505,0.52,0.4505,0.511,32,43,4,1
2023-03-24,0.514,0.528,0.4885,0.515,32,43,4,1
