Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-12-30,639,659,639,650,15,21,4,1
2023-01-02,668,669,654,654,15,21,4,1
2023-01-03,654,654,641,641,15,21,4,1
2023-01-04,645,659,643,653,15,21,4,1
2023-01-05,653,680,653,671,15,21,4,1
2023-01-09,679,680,672,676,15,21,4,1
2023-01-10,676,685,672,685,15,21,4,1
2023-01-11,686,695,670,670,15,21,4,1
2023-01-12,675,686,665,676,15,21,4,1
2023-01-13,671,678,646,647,15,21,4,1
2023-01-16,653,654,617,621,15,21,4,1
2023-01-17,622,625,600,609,15,21,4,1
2023-01-18,609,610,591,595,15,21,4,1
2023-01-19,595,595,574,584,15,21,4,1
2023-01-20,585,590,580,589,15,21,4,1
2023-01-23,595,598,590,595,15,21,4,1
2023-01-24,605,628,599,611,15,21,4,1
2023-01-25,611,614,605,605,15,21,4,1
2023-01-26,610,610,591,591,15,21,4,1
2023-01-27,596,601,586,598,15,21,4,1
2023-01-30,596,598,581,590,15,21,4,1
2023-01-31,592,624,590,624,15,21,4,1
2023-02-01,625,631,615,617,15,21,4,1
2023-02-02,627,631,605,612,15,21,4,1
2023-02-03,611,614,607,614,15,21,4,1
2023-02-06,614,615,601,601,15,21,4,1
2023-02-07,602,609,594,607,15,21,4,1
2023-02-08,600,604,595,600,15,21,4,1
2023-02-09,602,602,598,599,15,21,4,1
2023-02-10,599,600,581,588,15,21,4,1
2023-02-13,594,594,578,578,15,21,4,1
2023-02-14,580,592,575,580,15,21,4,1
2023-02-15,586,590,585,590,15,21,4,1
2023-02-16,590,599,589,589,15,21,4,1
2023-02-17,595,595,593,595,15,21,4,1
2023-02-20,595,595,585,592,15,21,4,1
2023-02-21,589,600,582,597,15,21,4,1
2023-02-22,589,594,582,592,15,21,4,1
2023-02-23,592,597,582,586,15,21,4,1
2023-02-24,590,590,580,587,15,21,4,1
