Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-03-14,66.5,71.0,66.5,69.7,13,18,4,1
2023-03-15,70.0,74.0,68.0,70.7,13,18,4,1
2023-03-16,71.51,75.3,71.51,73.7,13,18,4,1
2023-03-17,75.0,75.0,69.8,70.0,13,18,4,1
2023-03-20,70.5,70.5,68.0,68.8,13,18,4,1
2023-03-21,68.13,68.3,66.4,67.0,13,18,4,1
2023-03-22,67.0,69.6,65.28,68.59,13,18,4,1
2023-03-23,68.99,68.99,65.25,65.25,13,18,4,1
2023-03-24,65.1,67.0,62.3,65.43,13,18,4,1
2023-03-27,65.36,69.99,62.61,68.98,13,18,4,1
2023-03-28,68.85,70.0,65.67,66.8,13,18,4,1
2023-03-29,67.65,68.74,63.75,67.0,13,18,4,1
2023-03-30,60.7,60.7,55.0,57.99,13,18,4,1
2023-03-31,58.0,58.0,55.26,57.18,13,18,4,1
2023-04-03,57.18,61.0,57.0,59.6,13,18,4,1
2023-04-04,59.8,60.9,57.2,59.0,13,18,4,1
2023-04-05,58.2,59.0,56.49,56.49,13,18,4,1
2023-04-06,57.48,58.1,56.1,56.8,13,18,4,1
2023-04-11,57.4,58.79,57.11,58.79,13,18,4,1
2023-04-12,58.9,61.0,58.31,59.81,13,18,4,1
2023-04-13,59.7,60.55,58.66,60.0,13,18,4,1
2023-04-14,60.0,68.65,58.31,66.0,13,18,4,1
2023-04-17,66.25,74.2,66.25,73.9,13,18,4,1
2023-04-18,74.4,79.0,72.9,73.99,13,18,4,1
2023-04-19,75.5,75.5,71.0,74.0,13,18,4,1
2023-04-20,72.4,73.9,70.2,71.0,13,18,4,1
2023-04-21,71.0,71.0,64.2,65.0,13,18,4,1
2023-04-24,65.0,68.8,63.3,67.2,13,18,4,1
2023-04-25,67.8,71.4,67.4,68.0,13,18,4,1
