Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-05-09,11038.84,11127.59,10822.11,10930.73,19,25,4,1
2023-05-10,10963.46,11039.67,10869.24,10896.99,19,25,4,1
2023-05-11,10900.34,10974.58,10794.34,10860.06,19,25,4,1
2023-05-12,10972.04,11017.67,10766.93,10911.89,19,25,4,1
2023-05-15,10792.66,10904.82,10668.28,10756.06,19,25,4,1
2023-05-16,10622.83,10622.83,10466.22,10557.14,19,25,4,1
2023-05-17,10524.02,10524.02,10172.89,10183.4,19,25,4,1
2023-05-18,10264.25,10408.82,10151.05,10151.05,19,25,4,1
2023-05-19,10210.12,10266.85,10076.2,10076.2,19,25,4,1
2023-05-22,10163.96,10205.03,10016.2,10041.44,19,25,4,1
2023-05-23,10151.56,10165.32,9903.01,9932.73,19,25,4,1
2023-05-24,9886.07,9886.07,9647.4,9672.42,19,25,4,1
2023-05-25,9687.9,9856.97,9579.92,9735.61,19,25,4,1
2023-05-26,9852.03,9859.47,9730.19,9758.11,19,25,4,1
2023-05-29,9852.45,9983.09,9813.1,9888.5,19,25,4,1
2023-05-30,9895.02,9914.73,9661.72,9717.28,19,25,4,1
2023-05-31,9658.25,9704.46,9391.74,9485.35,19,25,4,1
2023-06-01,9564.45,9692.55,9509.03,9572.2,19,25,4,1
2023-06-02,9630.32,9802.45,9588.09,9735.03,19,25,4,1
2023-06-05,9804.11,9944.21,9804.11,9894.76,19,25,4,1
2023-06-06,9988.74,10212.62,9988.74,10192.18,19,25,4,1
2023-06-07,10183.25,10183.25,9935.14,9997.69,19,25,4,1
2023-06-09,10067.96,10079.87,9938.98,9965.55,19,25,4,1
2023-06-12,9989.53,9989.53,9689.98,9689.98,19,25,4,1
2023-06-13,9674.94,9733.78,9435.68,9526.69,19,25,4,1
2023-06-14,9598.02,9831.86,9548.13,9714.27,19,25,4,1
2023-06-15,9748.25,9873.5,9589.91,9806.72,19,25,4,1
2023-06-16,10172.48,10386.19,10109.52,10318.72,19,25,4,1
2023-06-19,10249.35,10278.65,10161.71,10231.95,19,25,4,1
2023-06-20,10224.39,10306.47,10084.54,10196.34,19,25,4,1
2023-06-21,10205.24,10326.15,10161.59,10283.63,19,25,4,1
2023-06-22,10305.93,10517.34,10269.77,10507.78,19,25,4,1
2023-06-23,10612.8,10890.53,10612.8,10688.33,19,25,4,1
2023-06-26,10825.83,10830.77,10585.79,10629.2,19,25,4,1
2023-06-27,10690.16,10715.38,10342.25,10469.02,19,25,4,1
2023-06-28,10491.66,10544.06,10375.52,10453.9,19,25,4,1
2023-06-29,10508.1,10692.12,10501.94,10656.59,19,25,4,1
2023-06-30,10743.56,10806.38,10503.31,10777.16,19,25,4,1
2023-07-03,10739.79,10852.91,10606.38,10798.93,19,25,4,1
2023-07-04,10812.95,10813.22,10705.56,10800.86,19,25,4,1
2023-07-05,10857.46,10867.17,10559.68,10579.4,19,25,4,1
2023-07-06,10578.39,10673.25,10487.14,10556.8,19,25,4,1
2023-07-07,10642.89,10721.62,10515.53,10579.74,19,25,4,1
2023-07-10,10694.49,10819.69,10634.51,10813.05,19,25,4,1
2023-07-11,10816.92,10929.7,10648.79,10671.8,19,25,4,1
