Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-08-31,6.4,6.75,6.2,6.75,94,128,4,1
2022-09-01,6.75,6.75,6.5,6.7,94,128,4,1
2022-09-02,6.35,6.4,5.75,5.95,94,128,4,1
2022-09-05,5.95,6.05,5.4,5.55,94,128,4,1
2022-09-06,5.3,5.45,4.88,4.96,94,128,4,1
2022-09-07,4.8,4.86,4.42,4.5,94,128,4,1
2022-09-08,4.28,4.94,4.16,4.86,94,128,4,1
2022-09-09,4.88,4.96,4.56,4.64,94,128,4,1
2022-09-12,4.64,4.8,4.44,4.5,94,128,4,1
2022-09-13,4.54,4.9,4.46,4.76,94,128,4,1
2022-09-14,4.68,4.74,4.56,4.7,94,128,4,1
2022-09-15,4.64,4.74,4.62,4.62,94,128,4,1
2022-09-16,4.6,4.68,4.16,4.46,94,128,4,1
2022-09-19,4.48,4.54,4.32,4.5,94,128,4,1
2022-09-20,4.54,5.95,4.5,5.7,94,128,4,1
2022-09-21,5.95,7.15,5.3,6.3,94,128,4,1
2022-09-22,6.05,6.4,5.75,5.75,94,128,4,1
2022-09-23,5.75,5.75,5.05,5.35,94,128,4,1
2022-09-26,5.1,5.25,4.88,4.96,94,128,4,1
2022-09-27,5.1,5.25,5.05,5.1,94,128,4,1
2022-09-28,5.1,6.95,5.1,6.95,94,128,4,1
2022-09-29,6.9,7.4,6.3,6.45,94,128,4,1
2022-09-30,6.5,7.15,6.1,6.2,94,128,4,1
2022-10-03,6.2,6.35,5.6,5.9,94,128,4,1
2022-10-04,6.0,6.15,5.75,5.8,94,128,4,1
2022-10-05,5.35,5.55,5.1,5.35,94,128,4,1
2022-10-06,5.5,5.85,5.35,5.35,94,128,4,1
2022-10-07,5.35,5.5,5.35,5.45,94,128,4,1
2022-10-10,5.35,5.45,5.15,5.2,94,128,4,1
2022-10-11,5.25,5.4,5.2,5.35,94,128,4,1
2022-10-12,5.35,5.45,5.3,5.35,94,128,4,1
2022-10-13,5.45,6.25,5.4,5.65,94,128,4,1
2022-10-14,5.55,5.75,5.45,5.6,94,128,4,1
2022-10-17,5.6,5.65,5.45,5.55,94,128,4,1
2022-10-18,5.6,5.6,5.3,5.5,94,128,4,1
2022-10-19,5.5,5.55,5.2,5.4,94,128,4,1
2022-10-20,5.4,5.4,5.2,5.2,94,128,4,1
2022-10-21,5.3,5.45,5.15,5.15,94,128,4,1
2022-10-24,5.25,5.35,5.1,5.25,94,128,4,1
2022-10-25,5.2,5.35,5.15,5.25,94,128,4,1
2022-10-26,5.3,5.7,5.2,5.35,94,128,4,1
2022-10-27,5.35,5.45,5.3,5.4,94,128,4,1
2022-10-28,5.4,5.55,5.3,5.45,94,128,4,1
2022-10-31,5.35,5.5,5.3,5.35,94,128,4,1
2022-11-02,5.4,5.45,5.3,5.3,94,128,4,1
2022-11-03,5.4,5.5,5.3,5.4,94,128,4,1
2022-11-04,5.45,5.55,5.4,5.45,94,128,4,1
2022-11-07,5.5,5.7,5.4,5.5,94,128,4,1
2022-11-08,5.5,5.55,5.4,5.45,94,128,4,1
2022-11-09,5.55,5.55,5.4,5.4,94,128,4,1
2022-11-10,5.4,5.45,5.25,5.4,94,128,4,1
2022-11-14,5.45,5.5,5.35,5.4,94,128,4,1
2022-11-15,5.35,5.45,5.3,5.4,94,128,4,1
2022-11-16,5.4,5.45,5.3,5.4,94,128,4,1
2022-11-17,5.3,5.4,5.3,5.35,94,128,4,1
