Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-11-22,44.45,44.45,42.2,44.15,19,25,4,1
2022-11-23,44.15,44.15,43.0,43.75,19,25,4,1
2022-11-24,44.0,44.0,42.6,43.5,19,25,4,1
2022-11-25,43.5,43.5,42.2,43.0,19,25,4,1
2022-11-28,43.0,43.0,42.15,42.7,19,25,4,1
2022-11-29,42.7,42.7,40.2,42.0,19,25,4,1
2022-11-30,42.0,42.0,40.7,41.0,19,25,4,1
2022-12-01,41.9,42.0,40.5,41.4,19,25,4,1
2022-12-02,41.95,41.95,40.85,41.0,19,25,4,1
2022-12-05,40.95,41.3,40.2,40.6,19,25,4,1
2022-12-06,40.95,40.95,40.2,40.5,19,25,4,1
2022-12-07,40.2,40.7,40.0,40.5,19,25,4,1
2022-12-08,41.85,41.85,39.5,40.9,19,25,4,1
2022-12-09,41.0,41.0,39.5,40.0,19,25,4,1
2022-12-12,40.0,40.55,39.25,40.0,19,25,4,1
2022-12-13,40.0,40.5,39.65,40.5,19,25,4,1
2022-12-14,40.0,40.5,38.5,39.85,19,25,4,1
2022-12-15,40.55,40.55,39.1,40.0,19,25,4,1
2022-12-16,40.0,40.65,39.5,39.7,19,25,4,1
2022-12-19,39.8,39.8,39.0,39.6,19,25,4,1
2022-12-20,39.05,39.75,39.05,39.2,19,25,4,1
2022-12-21,39.05,39.75,38.65,39.4,19,25,4,1
2022-12-22,39.7,39.7,39.0,39.45,19,25,4,1
2022-12-23,39.6,39.6,38.8,39.3,19,25,4,1
2022-12-27,39.2,39.4,38.0,38.7,19,25,4,1
2022-12-28,38.9,39.45,38.7,39.0,19,25,4,1
2022-12-29,39.6,39.6,39.0,39.0,19,25,4,1
2022-12-30,39.0,39.2,38.75,39.2,19,25,4,1
2023-01-02,39.25,39.65,38.9,39.45,19,25,4,1
2023-01-03,39.25,40.75,38.9,40.75,19,25,4,1
2023-01-04,40.75,41.7,40.55,41.45,19,25,4,1
2023-01-05,41.4,41.4,40.2,41.0,19,25,4,1
2023-01-09,41.0,41.3,39.0,40.95,19,25,4,1
2023-01-10,40.9,40.9,38.7,39.45,19,25,4,1
2023-01-11,40.4,40.4,39.5,39.5,19,25,4,1
2023-01-12,39.5,40.0,39.0,39.8,19,25,4,1
2023-01-13,39.95,40.0,39.2,39.55,19,25,4,1
2023-01-16,40.0,40.05,39.5,39.5,19,25,4,1
2023-01-17,40.45,40.45,39.3,39.6,19,25,4,1
2023-01-18,39.7,39.8,39.0,39.5,19,25,4,1
2023-01-19,39.5,39.65,39.1,39.5,19,25,4,1
2023-01-20,39.6,39.6,38.8,38.85,19,25,4,1
2023-01-23,39.05,39.5,39.0,39.25,19,25,4,1
2023-01-24,39.4,39.45,38.8,39.15,19,25,4,1
