Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-08-01,11.5,11.6,11.5,11.6,14,19,4,1
2023-08-02,11.6,11.6,11.4,11.4,14,19,4,1
2023-08-03,11.4,11.5,11.25,11.3,14,19,4,1
2023-08-04,11.45,11.5,11.3,11.5,14,19,4,1
2023-08-07,11.5,11.5,11.25,11.3,14,19,4,1
2023-08-08,11.4,11.4,11.1,11.35,14,19,4,1
2023-08-09,11.35,11.35,11.1,11.35,14,19,4,1
2023-08-10,11.3,11.3,11.3,11.3,14,19,4,1
2023-08-11,11.3,11.3,10.8,11.0,14,19,4,1
2023-08-14,11.15,11.15,10.9,11.0,14,19,4,1
2023-08-16,10.9,11.05,10.9,10.9,14,19,4,1
2023-08-17,10.95,10.95,10.4,10.55,14,19,4,1
2023-08-18,11.0,11.0,10.3,10.65,14,19,4,1
2023-08-21,10.65,10.65,10.6,10.65,14,19,4,1
2023-08-22,11.35,11.35,10.55,10.8,14,19,4,1
2023-08-23,10.8,10.8,10.75,10.8,14,19,4,1
2023-08-24,11.2,11.2,10.4,10.5,14,19,4,1
2023-08-25,10.5,10.5,10.45,10.5,14,19,4,1
2023-08-28,10.5,10.5,10.35,10.35,14,19,4,1
2023-08-29,10.5,10.5,10.45,10.5,14,19,4,1
2023-08-30,10.5,10.5,10.4,10.5,14,19,4,1
2023-08-31,10.5,10.5,10.4,10.4,14,19,4,1
