Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-11-07,4.39,4.4,4.02,4.4,13,17,4,1
2022-11-08,4.07,4.36,3.94,4.21,13,17,4,1
2022-11-09,4.2,4.2,3.82,3.86,13,17,4,1
2022-11-10,3.86,3.98,3.75,3.83,13,17,4,1
2022-11-14,3.84,4.08,3.83,4.04,13,17,4,1
2022-11-15,3.98,3.99,3.84,3.89,13,17,4,1
2022-11-16,3.85,3.86,3.85,3.86,13,17,4,1
2022-11-17,3.87,3.87,3.61,3.61,13,17,4,1
2022-11-18,3.7,3.98,3.6,3.96,13,17,4,1
2022-11-21,3.96,3.96,3.8,3.8,13,17,4,1
2022-11-22,3.9,3.9,3.9,3.9,13,17,4,1
2022-11-23,3.6,3.68,3.6,3.68,13,17,4,1
2022-11-24,3.61,3.8,3.61,3.75,13,17,4,1
2022-11-25,3.75,3.88,3.63,3.87,13,17,4,1
2022-11-28,3.76,3.85,3.65,3.85,13,17,4,1
2022-11-29,3.72,3.86,3.72,3.74,13,17,4,1
2022-11-30,3.72,3.98,3.6,3.82,13,17,4,1
2022-12-01,3.89,4.07,3.78,4.04,13,17,4,1
2022-12-02,3.77,4.03,3.77,4.0,13,17,4,1
2022-12-05,3.85,3.98,3.85,3.98,13,17,4,1
2022-12-06,3.99,3.99,3.81,3.84,13,17,4,1
2022-12-07,3.92,3.92,3.92,3.92,13,17,4,1
2022-12-08,3.81,3.94,3.81,3.81,13,17,4,1
2022-12-09,3.9,3.98,3.85,3.95,13,17,4,1
2022-12-12,3.83,3.96,3.83,3.96,13,17,4,1
2022-12-13,3.9,3.9,3.62,3.87,13,17,4,1
2022-12-14,3.87,3.87,3.7,3.7,13,17,4,1
2022-12-15,3.78,3.78,3.67,3.74,13,17,4,1
2022-12-16,3.69,3.7,3.67,3.68,13,17,4,1
2022-12-19,3.66,3.7,3.62,3.67,13,17,4,1
