Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-11-22,160.2,165.6,160.2,160.6,15,20,4,1
2022-11-23,162.6,164.4,160.8,162.0,15,20,4,1
2022-11-24,163.6,165.0,162.0,165.0,15,20,4,1
2022-11-25,167.4,167.4,163.6,164.0,15,20,4,1
2022-11-28,164.0,167.0,163.6,164.6,15,20,4,1
2022-11-29,166.8,166.8,163.6,164.4,15,20,4,1
2022-11-30,166.4,170.0,163.2,164.4,15,20,4,1
2022-12-01,169.0,169.6,165.0,168.2,15,20,4,1
2022-12-02,169.2,172.0,164.2,168.2,15,20,4,1
2022-12-05,168.0,169.2,166.4,166.4,15,20,4,1
2022-12-06,166.0,166.0,159.8,160.0,15,20,4,1
2022-12-07,160.8,160.8,158.0,158.2,15,20,4,1
2022-12-08,158.2,159.2,156.0,156.2,15,20,4,1
2022-12-09,156.6,157.0,154.4,156.0,15,20,4,1
2022-12-12,156.0,159.2,154.6,157.0,15,20,4,1
2022-12-13,158.0,160.8,155.0,159.8,15,20,4,1
2022-12-14,159.8,163.6,158.2,160.6,15,20,4,1
2022-12-15,162.8,162.8,153.4,155.2,15,20,4,1
2022-12-16,155.0,156.4,151.2,152.0,15,20,4,1
2022-12-19,152.0,155.8,151.0,153.0,15,20,4,1
2022-12-20,152.8,158.8,151.0,158.8,15,20,4,1
2022-12-21,160.2,163.0,159.0,162.0,15,20,4,1
2022-12-22,163.2,166.8,162.6,166.6,15,20,4,1
2022-12-23,167.4,167.4,165.0,166.0,15,20,4,1
2022-12-27,163.6,167.0,163.6,166.6,15,20,4,1
2022-12-28,165.8,169.0,165.2,166.8,15,20,4,1
2022-12-29,166.0,169.2,166.0,166.8,15,20,4,1
2022-12-30,165.0,166.4,164.4,164.8,15,20,4,1
2023-01-02,166.2,167.0,161.2,164.2,15,20,4,1
2023-01-03,165.0,171.6,163.0,170.6,15,20,4,1
2023-01-04,172.0,178.8,172.0,177.0,15,20,4,1
2023-01-05,179.0,188.8,178.0,178.4,15,20,4,1
2023-01-09,181.2,184.2,179.8,182.6,15,20,4,1
2023-01-10,181.4,182.6,180.2,181.0,15,20,4,1
