Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-09-21,62.5,62.5,59.25,60.6,23,31,4,1
2022-09-22,60.5,61.6,59.6,59.8,23,31,4,1
2022-09-23,60.0,61.4,59.4,59.8,23,31,4,1
2022-09-26,59.8,62.8,58.0,58.2,23,31,4,1
2022-09-27,58.25,60.7,58.0,58.4,23,31,4,1
2022-09-28,57.5,57.5,55.65,55.9,23,31,4,1
2022-09-29,56.4,57.35,53.0,53.0,23,31,4,1
2022-09-30,53.95,53.95,52.0,53.0,23,31,4,1
2022-10-03,52.25,53.0,50.0,51.1,23,31,4,1
2022-10-04,51.85,53.0,51.45,52.0,23,31,4,1
2022-10-05,53.0,53.35,51.15,51.15,23,31,4,1
2022-10-06,51.95,52.15,51.0,51.55,23,31,4,1
2022-10-07,51.8,51.85,51.3,51.3,23,31,4,1
2022-10-10,51.95,52.85,51.0,51.0,23,31,4,1
2022-10-11,51.5,54.0,51.1,52.3,23,31,4,1
2022-10-12,53.0,53.95,51.6,52.0,23,31,4,1
2022-10-13,52.8,52.95,52.0,52.8,23,31,4,1
2022-10-14,53.35,53.8,52.05,53.0,23,31,4,1
2022-10-17,53.0,53.0,49.24,49.24,23,31,4,1
2022-10-18,49.36,50.9,47.84,47.84,23,31,4,1
2022-10-19,48.0,48.0,45.62,46.9,23,31,4,1
2022-10-20,46.9,47.5,46.36,47.3,23,31,4,1
2022-10-21,46.86,47.48,46.42,46.8,23,31,4,1
2022-10-24,47.38,47.58,46.36,46.86,23,31,4,1
2022-10-25,46.58,47.6,46.58,47.0,23,31,4,1
2022-10-26,46.7,47.44,46.7,46.8,23,31,4,1
2022-10-27,47.06,48.08,46.72,47.78,23,31,4,1
2022-10-28,47.68,47.68,46.86,46.94,23,31,4,1
2022-10-31,47.4,49.88,46.8,47.8,23,31,4,1
2022-11-02,48.7,48.92,47.9,47.9,23,31,4,1
2022-11-03,48.0,49.6,46.8,48.3,23,31,4,1
2022-11-04,49.0,49.46,48.26,49.02,23,31,4,1
2022-11-07,49.48,49.8,48.16,48.7,23,31,4,1
2022-11-08,49.28,49.28,48.52,49.0,23,31,4,1
2022-11-09,49.36,49.38,48.02,48.5,23,31,4,1
2022-11-10,48.08,49.18,47.4,48.8,23,31,4,1
2022-11-14,50.0,52.45,49.28,51.8,23,31,4,1
2022-11-15,51.8,52.7,50.05,51.1,23,31,4,1
2022-11-16,50.0,50.95,49.04,50.95,23,31,4,1
2022-11-17,51.25,53.0,50.5,50.55,23,31,4,1
2022-11-18,51.5,52.0,49.52,50.6,23,31,4,1
2022-11-21,51.35,51.5,49.5,49.5,23,31,4,1
2022-11-22,49.7,50.7,49.46,50.35,23,31,4,1
2022-11-23,50.55,52.5,49.96,52.3,23,31,4,1
2022-11-24,53.2,59.05,53.2,57.65,23,31,4,1
2022-11-25,57.9,58.0,56.0,57.65,23,31,4,1
2022-11-28,57.0,57.8,56.0,56.6,23,31,4,1
2022-11-29,56.2,57.1,52.9,53.9,23,31,4,1
2022-11-30,53.95,59.45,53.0,57.75,23,31,4,1
2022-12-01,58.4,59.7,57.9,58.9,23,31,4,1
2022-12-02,58.9,60.8,56.9,57.8,23,31,4,1
2022-12-05,58.0,59.9,57.45,58.5,23,31,4,1
2022-12-06,58.0,58.9,58.0,58.0,23,31,4,1
2022-12-07,58.1,58.3,57.1,57.5,23,31,4,1
