Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-10-17,22.75,22.95,21.85,22.2,12,16,4,1
2022-10-18,22.2,22.55,21.05,21.55,12,16,4,1
2022-10-19,21.5,21.5,20.8,20.8,12,16,4,1
2022-10-20,20.9,20.9,19.98,19.98,12,16,4,1
2022-10-21,19.9,20.25,19.2,19.5,12,16,4,1
2022-10-24,19.18,19.94,19.08,19.66,12,16,4,1
2022-10-25,19.88,19.96,19.46,19.5,12,16,4,1
2022-10-26,19.82,21.1,19.62,20.95,12,16,4,1
2022-10-27,20.95,21.0,20.15,20.6,12,16,4,1
2022-10-28,20.75,21.0,20.1,20.8,12,16,4,1
2022-10-31,19.9,20.4,18.5,19.44,12,16,4,1
2022-11-02,19.72,20.5,18.9,19.38,12,16,4,1
2022-11-03,19.36,20.4,19.16,19.68,12,16,4,1
2022-11-04,19.78,20.1,19.54,19.76,12,16,4,1
2022-11-07,19.88,19.94,19.0,19.34,12,16,4,1
2022-11-08,19.64,19.64,18.76,19.2,12,16,4,1
2022-11-09,19.52,20.8,19.4,20.8,12,16,4,1
2022-11-10,21.7,22.1,20.1,20.45,12,16,4,1
2022-11-14,21.5,24.45,21.15,24.15,12,16,4,1
2022-11-15,24.3,24.3,22.8,24.0,12,16,4,1
2022-11-16,22.8,23.4,22.75,23.1,12,16,4,1
2022-11-17,22.85,23.1,21.85,21.9,12,16,4,1
2022-11-18,21.9,22.95,21.8,22.05,12,16,4,1
2022-11-21,22.0,22.4,21.7,21.9,12,16,4,1
2022-11-22,22.1,22.55,21.85,21.85,12,16,4,1
2022-11-23,21.85,22.2,20.45,20.55,12,16,4,1
2022-11-24,20.7,20.95,20.35,20.75,12,16,4,1
2022-11-25,20.75,21.05,20.5,20.9,12,16,4,1
