Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-09-06,47.5,48.08,44.4,44.5,19,26,4,1
2022-09-07,44.5,44.96,41.84,42.78,19,26,4,1
2022-09-08,43.12,43.66,40.56,41.78,19,26,4,1
2022-09-09,42.3,43.44,41.4,43.0,19,26,4,1
2022-09-12,43.2,44.1,42.0,43.4,19,26,4,1
2022-09-13,42.8,43.36,41.24,41.3,19,26,4,1
2022-09-14,40.78,42.1,39.5,41.4,19,26,4,1
2022-09-15,40.82,41.5,38.52,38.88,19,26,4,1
2022-09-16,38.1,39.0,37.38,38.88,19,26,4,1
2022-09-19,38.38,38.78,37.16,38.36,19,26,4,1
2022-09-20,38.68,39.48,37.34,37.36,19,26,4,1
2022-09-21,37.0,38.34,35.6,38.0,19,26,4,1
2022-09-22,37.98,40.5,37.4,39.94,19,26,4,1
2022-09-23,39.8,39.8,37.08,37.5,19,26,4,1
2022-09-26,36.0,36.36,33.64,34.56,19,26,4,1
2022-09-27,34.56,35.2,33.4,34.24,19,26,4,1
2022-09-28,33.4,33.96,32.2,32.5,19,26,4,1
2022-09-29,33.0,33.8,31.0,31.04,19,26,4,1
2022-09-30,31.0,32.58,31.0,32.38,19,26,4,1
2022-10-03,32.58,33.68,31.5,33.66,19,26,4,1
2022-10-04,34.6,34.98,32.8,33.98,19,26,4,1
2022-10-05,34.0,34.12,33.2,33.54,19,26,4,1
2022-10-06,33.96,34.24,32.84,33.9,19,26,4,1
2022-10-07,33.08,34.08,33.08,33.8,19,26,4,1
2022-10-10,33.6,33.8,31.52,31.52,19,26,4,1
2022-10-11,31.54,33.52,31.14,33.3,19,26,4,1
2022-10-12,33.2,33.42,32.02,32.86,19,26,4,1
2022-10-13,32.9,33.3,31.62,32.9,19,26,4,1
2022-10-14,33.4,33.88,32.52,32.54,19,26,4,1
2022-10-17,32.6,33.52,32.44,33.0,19,26,4,1
2022-10-18,32.88,32.98,30.1,30.52,19,26,4,1
2022-10-19,30.66,32.08,29.96,31.12,19,26,4,1
2022-10-20,31.34,31.34,30.2,30.86,19,26,4,1
2022-10-21,30.9,31.1,30.08,30.24,19,26,4,1
2022-10-24,30.26,30.88,29.68,29.96,19,26,4,1
2022-10-25,30.5,30.8,29.62,29.76,19,26,4,1
2022-10-26,29.98,31.72,29.88,31.48,19,26,4,1
2022-10-27,31.6,32.82,30.9,32.22,19,26,4,1
2022-10-28,32.34,33.0,31.54,32.7,19,26,4,1
2022-10-31,33.36,34.68,33.0,33.5,19,26,4,1
2022-11-02,33.9,34.72,33.48,33.8,19,26,4,1
2022-11-03,33.48,34.88,33.0,34.8,19,26,4,1
2022-11-04,35.4,37.82,35.4,37.4,19,26,4,1
2022-11-07,37.1,39.96,35.32,35.6,19,26,4,1
2022-11-08,35.98,37.76,35.14,37.28,19,26,4,1
