Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-09-21,2.92,2.97,2.92,2.97,15,20,4,1
2022-09-22,2.96,2.96,2.96,2.96,15,20,4,1
2022-09-23,2.91,2.91,2.86,2.9,15,20,4,1
2022-09-26,2.86,2.86,2.84,2.84,15,20,4,1
2022-09-27,2.84,2.84,2.84,2.84,15,20,4,1
2022-09-28,2.82,2.84,2.71,2.83,15,20,4,1
2022-09-29,2.83,2.83,2.74,2.74,15,20,4,1
2022-09-30,2.82,2.83,2.76,2.82,15,20,4,1
2022-10-03,2.77,2.83,2.72,2.82,15,20,4,1
2022-10-04,2.81,2.89,2.8,2.8,15,20,4,1
2022-10-05,2.89,2.89,2.73,2.73,15,20,4,1
2022-10-06,2.75,2.75,2.7,2.74,15,20,4,1
2022-10-07,2.7,2.78,2.7,2.78,15,20,4,1
2022-10-10,2.75,2.75,2.65,2.65,15,20,4,1
2022-10-11,2.75,2.75,2.74,2.74,15,20,4,1
2022-10-12,2.74,2.74,2.7,2.7,15,20,4,1
2022-10-13,2.73,2.83,2.7,2.83,15,20,4,1
2022-10-14,2.68,2.78,2.67,2.78,15,20,4,1
2022-10-17,2.77,2.77,2.7,2.7,15,20,4,1
2022-10-18,2.75,2.78,2.66,2.7,15,20,4,1
2022-10-19,2.66,2.79,2.66,2.79,15,20,4,1
2022-10-20,2.77,2.77,2.77,2.77,15,20,4,1
2022-10-21,2.77,2.8,2.77,2.79,15,20,4,1
2022-10-24,2.8,2.84,2.8,2.83,15,20,4,1
2022-10-25,2.84,3.08,2.84,3.0,15,20,4,1
2022-10-26,2.9,3.12,2.9,3.12,15,20,4,1
2022-10-27,3.12,3.12,3.05,3.12,15,20,4,1
2022-10-28,3.11,3.11,3.11,3.11,15,20,4,1
2022-10-31,3.1,3.11,3.03,3.11,15,20,4,1
2022-11-02,3.09,3.09,3.03,3.06,15,20,4,1
2022-11-03,3.09,3.35,3.09,3.2,15,20,4,1
2022-11-04,3.19,3.19,3.05,3.17,15,20,4,1
2022-11-07,3.16,3.36,3.1,3.36,15,20,4,1
2022-11-08,3.33,3.33,3.1,3.27,15,20,4,1
2022-11-09,3.18,3.18,3.18,3.18,15,20,4,1
