Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-08-16,13.75,14.0,13.6,14.0,23,30,4,1
2022-08-17,13.95,14.0,13.55,13.95,23,30,4,1
2022-08-18,13.5,13.85,13.5,13.85,23,30,4,1
2022-08-19,13.6,14.0,13.6,13.8,23,30,4,1
2022-08-22,13.6,13.6,13.6,13.6,23,30,4,1
2022-08-23,13.6,13.75,13.25,13.75,23,30,4,1
2022-08-24,13.75,13.75,13.0,13.0,23,30,4,1
2022-08-25,13.2,13.2,13.1,13.2,23,30,4,1
2022-08-26,13.2,13.2,13.15,13.15,23,30,4,1
2022-08-29,13.0,13.0,12.85,12.9,23,30,4,1
2022-08-30,12.9,13.05,12.9,13.05,23,30,4,1
2022-08-31,13.15,13.15,12.85,12.9,23,30,4,1
2022-09-01,12.7,12.7,12.25,12.6,23,30,4,1
2022-09-02,12.65,12.9,12.65,12.9,23,30,4,1
2022-09-05,12.7,12.85,12.6,12.85,23,30,4,1
2022-09-06,12.65,12.85,12.6,12.65,23,30,4,1
2022-09-07,12.65,12.65,12.45,12.45,23,30,4,1
2022-09-08,12.0,12.25,12.0,12.1,23,30,4,1
2022-09-09,12.05,12.25,11.75,11.85,23,30,4,1
2022-09-12,11.9,12.25,11.3,12.0,23,30,4,1
2022-09-13,12.0,12.0,11.9,12.0,23,30,4,1
2022-09-14,12.0,12.0,11.9,12.0,23,30,4,1
2022-09-15,12.0,12.0,12.0,12.0,23,30,4,1
2022-09-16,12.0,12.0,11.95,11.95,23,30,4,1
2022-09-19,11.9,11.9,11.8,11.9,23,30,4,1
2022-09-20,11.95,11.95,11.8,11.8,23,30,4,1
2022-09-21,11.9,11.9,11.8,11.8,23,30,4,1
2022-09-22,11.75,12.0,11.6,12.0,23,30,4,1
2022-09-23,11.9,11.9,11.15,11.5,23,30,4,1
2022-09-26,11.5,11.5,11.0,11.45,23,30,4,1
2022-09-27,11.45,11.45,11.45,11.45,23,30,4,1
2022-09-28,11.25,11.35,11.1,11.3,23,30,4,1
2022-09-29,11.05,11.05,10.05,10.5,23,30,4,1
2022-09-30,10.2,10.85,9.62,10.0,23,30,4,1
2022-10-03,10.0,10.5,10.0,10.4,23,30,4,1
2022-10-04,10.0,10.25,10.0,10.15,23,30,4,1
2022-10-05,10.0,10.4,10.0,10.1,23,30,4,1
2022-10-06,10.2,10.4,10.2,10.4,23,30,4,1
2022-10-07,10.35,10.4,10.2,10.2,23,30,4,1
2022-10-10,10.2,10.4,10.2,10.3,23,30,4,1
2022-10-11,10.4,10.4,10.1,10.1,23,30,4,1
2022-10-12,10.15,10.4,10.1,10.3,23,30,4,1
2022-10-13,10.3,10.4,10.0,10.05,23,30,4,1
2022-10-14,10.2,10.5,10.2,10.5,23,30,4,1
2022-10-17,10.5,10.5,10.2,10.2,23,30,4,1
2022-10-18,10.4,10.5,10.25,10.5,23,30,4,1
2022-10-19,10.5,10.5,10.15,10.15,23,30,4,1
2022-10-20,10.45,10.45,10.45,10.45,23,30,4,1
2022-10-21,10.45,10.45,10.45,10.45,23,30,4,1
2022-10-24,10.25,10.4,10.05,10.4,23,30,4,1
2022-10-25,10.45,10.45,10.2,10.45,23,30,4,1
2022-10-26,10.45,10.45,10.45,10.45,23,30,4,1
2022-10-27,10.45,10.45,10.3,10.3,23,30,4,1
2022-10-28,10.35,10.4,10.25,10.4,23,30,4,1
