Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-06-19,6.85,7.02,6.73,6.99,24,34,4,1
2023-06-20,6.99,7.2,6.92,7.02,24,34,4,1
2023-06-21,7.05,7.13,6.91,6.96,24,34,4,1
2023-06-22,6.96,7.03,6.93,7.02,24,34,4,1
2023-06-23,7.02,7.08,6.95,6.99,24,34,4,1
2023-06-26,6.93,7.1,6.93,7.06,24,34,4,1
2023-06-27,6.97,7.05,6.96,7.05,24,34,4,1
2023-06-28,7.02,7.03,6.92,6.97,24,34,4,1
2023-06-29,6.94,7.0,6.93,6.99,24,34,4,1
2023-06-30,6.95,7.04,6.92,7.03,24,34,4,1
2023-07-03,6.92,7.02,6.91,7.02,24,34,4,1
2023-07-04,7.0,7.02,6.86,6.98,24,34,4,1
2023-07-05,6.99,7.0,6.88,6.98,24,34,4,1
2023-07-06,6.9,6.98,6.87,6.9,24,34,4,1
2023-07-07,6.9,6.98,6.89,6.96,24,34,4,1
2023-07-10,6.97,6.97,6.85,6.94,24,34,4,1
2023-07-11,6.91,6.94,6.86,6.94,24,34,4,1
2023-07-12,6.9,6.94,6.86,6.91,24,34,4,1
2023-07-13,6.86,6.88,6.74,6.85,24,34,4,1
2023-07-14,6.76,6.84,6.45,6.62,24,34,4,1
2023-07-17,6.6,6.6,6.45,6.48,24,34,4,1
2023-07-18,6.5,6.5,6.41,6.45,24,34,4,1
2023-07-19,6.43,6.59,6.43,6.54,24,34,4,1
2023-07-20,6.55,6.69,6.53,6.58,24,34,4,1
2023-07-21,6.58,6.58,6.5,6.53,24,34,4,1
2023-07-24,6.51,6.58,6.51,6.52,24,34,4,1
2023-07-25,6.55,6.6,6.55,6.55,24,34,4,1
2023-07-26,6.55,6.59,6.55,6.58,24,34,4,1
2023-07-27,6.59,6.75,6.54,6.66,24,34,4,1
2023-07-28,6.63,6.74,6.55,6.7,24,34,4,1
2023-07-31,6.73,6.74,6.56,6.56,24,34,4,1
2023-08-01,6.55,6.64,6.55,6.58,24,34,4,1
2023-08-02,6.56,6.57,6.45,6.57,24,34,4,1
2023-08-03,6.57,6.57,6.43,6.54,24,34,4,1
2023-08-04,6.47,6.54,6.46,6.51,24,34,4,1
2023-08-07,6.48,6.5,6.23,6.28,24,34,4,1
2023-08-08,6.26,6.27,6.06,6.14,24,34,4,1
2023-08-09,6.14,6.2,6.11,6.11,24,34,4,1
2023-08-10,6.12,6.2,6.08,6.2,24,34,4,1
2023-08-11,6.22,6.25,6.16,6.18,24,34,4,1
2023-08-14,6.14,6.29,6.13,6.22,24,34,4,1
2023-08-16,6.13,6.48,6.12,6.25,24,34,4,1
2023-08-17,6.26,6.26,6.1,6.15,24,34,4,1
2023-08-18,6.06,6.12,5.96,5.99,24,34,4,1
2023-08-21,5.99,6.09,5.98,6.0,24,34,4,1
2023-08-22,6.06,6.06,5.69,5.83,24,34,4,1
2023-08-23,5.71,6.0,5.53,5.99,24,34,4,1
2023-08-24,6.06,6.46,6.06,6.16,24,34,4,1
2023-08-25,6.15,6.3,6.1,6.25,24,34,4,1
2023-08-28,6.12,6.27,6.12,6.17,24,34,4,1
2023-08-29,6.15,6.25,6.11,6.18,24,34,4,1
2023-08-30,6.2,6.25,6.18,6.25,24,34,4,1
2023-08-31,6.26,6.26,6.15,6.2,24,34,4,1
