Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-04-12,76.0,77.75,75.9,77.3,61,83,4,1
2023-04-13,77.9,79.65,76.9,77.95,61,83,4,1
2023-04-14,78.2,79.85,78.1,79.1,61,83,4,1
2023-04-17,79.45,82.3,79.3,81.95,61,83,4,1
2023-04-18,82.0,84.0,80.9,83.45,61,83,4,1
2023-04-19,83.95,84.25,81.8,83.5,61,83,4,1
2023-04-20,84.2,85.3,83.7,84.4,61,83,4,1
2023-04-21,84.05,84.7,82.9,83.05,61,83,4,1
2023-04-24,83.05,83.9,82.25,83.3,61,83,4,1
2023-04-25,83.3,84.05,82.65,82.65,61,83,4,1
2023-04-26,83.6,84.3,82.5,83.35,61,83,4,1
2023-04-27,83.35,85.45,83.3,85.1,61,83,4,1
2023-04-28,85.2,85.95,84.2,84.4,61,83,4,1
2023-05-02,84.35,87.3,84.35,86.35,61,83,4,1
2023-05-04,86.35,88.2,86.0,87.3,61,83,4,1
2023-05-05,87.35,87.4,85.95,85.95,61,83,4,1
2023-05-08,86.0,87.5,85.55,86.8,61,83,4,1
2023-05-09,86.85,88.2,86.65,87.8,61,83,4,1
2023-05-10,88.35,90.45,87.8,89.95,61,83,4,1
2023-05-11,90.35,90.95,88.1,88.15,61,83,4,1
2023-05-12,88.8,89.4,88.15,88.85,61,83,4,1
2023-05-15,88.55,88.8,86.35,87.3,61,83,4,1
2023-05-16,87.95,88.95,87.4,87.75,61,83,4,1
2023-05-17,87.6,89.2,86.9,87.75,61,83,4,1
2023-05-18,89.5,90.95,87.9,87.95,61,83,4,1
2023-05-19,88.05,89.95,87.65,89.35,61,83,4,1
2023-05-22,89.35,91.45,88.95,91.0,61,83,4,1
2023-05-23,90.05,91.85,90.0,91.85,61,83,4,1
2023-05-24,91.5,91.5,89.15,90.05,61,83,4,1
2023-05-25,90.9,90.9,86.55,87.1,61,83,4,1
2023-05-26,86.8,87.15,83.55,84.9,61,83,4,1
2023-05-29,84.9,85.8,83.95,84.15,61,83,4,1
2023-05-30,84.15,84.55,81.7,82.3,61,83,4,1
2023-05-31,82.4,83.65,81.7,82.35,61,83,4,1
2023-06-01,83.05,84.45,82.7,83.6,61,83,4,1
2023-06-02,83.8,84.5,83.1,83.8,61,83,4,1
2023-06-05,84.2,86.15,83.95,85.0,61,83,4,1
2023-06-06,85.5,85.95,83.85,85.45,61,83,4,1
2023-06-07,85.65,85.65,83.75,83.95,61,83,4,1
2023-06-09,85.0,85.0,83.8,84.35,61,83,4,1
2023-06-12,84.5,84.8,83.2,83.2,61,83,4,1
2023-06-13,84.0,84.65,82.7,82.85,61,83,4,1
2023-06-14,83.4,84.6,82.3,83.85,61,83,4,1
2023-06-15,84.1,84.65,83.05,84.0,61,83,4,1
2023-06-16,80.6,84.2,80.6,81.65,61,83,4,1
2023-06-19,81.65,83.75,81.3,81.9,61,83,4,1
2023-06-20,81.55,82.3,81.1,81.1,61,83,4,1
2023-06-21,81.0,83.15,80.9,82.05,61,83,4,1
2023-06-22,82.95,82.95,81.1,81.55,61,83,4,1
2023-06-23,81.2,82.0,80.15,80.15,61,83,4,1
2023-06-26,80.1,80.65,79.3,80.1,61,83,4,1
2023-06-27,80.1,80.75,77.7,78.0,61,83,4,1
2023-06-28,78.5,78.6,77.6,78.4,61,83,4,1
2023-06-29,78.5,79.1,77.9,78.45,61,83,4,1
2023-06-30,79.05,81.1,78.6,80.25,61,83,4,1
2023-07-03,80.0,81.25,79.35,80.95,61,83,4,1
2023-07-04,81.45,81.6,79.35,79.6,61,83,4,1
2023-07-05,79.6,80.35,78.65,78.65,61,83,4,1
2023-07-06,78.35,79.4,78.1,78.5,61,83,4,1
2023-07-07,78.9,79.65,78.5,79.15,61,83,4,1
2023-07-10,79.85,79.85,78.2,79.45,61,83,4,1
2023-07-11,79.9,80.05,78.45,79.1,61,83,4,1
2023-07-12,79.85,80.1,78.8,79.65,61,83,4,1
2023-07-13,80.2,80.5,79.15,79.95,61,83,4,1
2023-07-14,80.0,81.6,79.95,80.95,61,83,4,1
2023-07-17,81.0,82.0,81.0,81.4,61,83,4,1
2023-07-18,81.45,81.5,80.75,81.1,61,83,4,1
2023-07-19,81.6,82.0,81.0,81.5,61,83,4,1
2023-07-20,82.0,82.0,80.1,80.8,61,83,4,1
2023-07-21,80.7,80.8,79.85,80.1,61,83,4,1
2023-07-24,80.5,81.2,80.0,80.0,61,83,4,1
2023-07-25,80.05,81.0,79.5,80.6,61,83,4,1
2023-07-26,80.6,80.85,78.9,79.2,61,83,4,1
2023-07-27,79.3,80.7,79.1,80.0,61,83,4,1
2023-07-28,79.8,80.5,79.2,79.55,61,83,4,1
2023-07-31,79.3,80.45,78.9,79.85,61,83,4,1
2023-08-01,79.85,80.7,79.75,80.35,61,83,4,1
2023-08-02,80.4,80.4,79.4,79.4,61,83,4,1
2023-08-03,80.1,80.1,78.1,78.65,61,83,4,1
2023-08-04,78.75,78.9,77.65,78.0,61,83,4,1
2023-08-07,78.0,78.9,78.0,78.75,61,83,4,1
2023-08-08,78.65,78.65,76.35,76.45,61,83,4,1
2023-08-09,77.0,78.35,76.2,76.45,61,83,4,1
2023-08-10,76.9,78.95,76.7,78.6,61,83,4,1
2023-08-11,78.5,78.65,77.45,78.2,61,83,4,1
2023-08-14,76.35,78.8,76.35,77.15,61,83,4,1
2023-08-16,77.0,77.25,75.25,75.3,61,83,4,1
2023-08-17,76.1,76.5,73.9,74.75,61,83,4,1
2023-08-18,75.0,75.75,74.55,75.65,61,83,4,1
2023-08-21,75.75,76.05,74.55,75.15,61,83,4,1
2023-08-22,75.05,76.6,74.7,76.05,61,83,4,1
2023-08-23,75.9,76.6,74.6,76.6,61,83,4,1
2023-08-24,76.6,77.0,74.2,74.4,61,83,4,1
2023-08-25,74.2,74.35,72.4,72.45,61,83,4,1
2023-08-28,72.5,73.5,72.0,73.25,61,83,4,1
2023-08-29,73.2,74.7,73.0,73.6,61,83,4,1
2023-08-30,74.6,74.75,73.6,74.45,61,83,4,1
2023-08-31,74.9,76.0,72.9,73.3,61,83,4,1
