Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-07-04,16.96,17.0,16.54,16.58,29,39,4,1
2023-07-05,16.58,16.58,15.8,15.8,29,39,4,1
2023-07-06,15.8,16.34,15.62,15.96,29,39,4,1
2023-07-07,16.04,16.28,15.86,16.16,29,39,4,1
2023-07-10,16.2,16.42,16.16,16.3,29,39,4,1
2023-07-11,16.34,16.34,16.06,16.08,29,39,4,1
2023-07-12,16.1,17.12,16.06,17.02,29,39,4,1
2023-07-13,17.26,17.28,16.78,16.8,29,39,4,1
2023-07-14,16.8,16.98,16.62,16.62,29,39,4,1
2023-07-17,16.58,17.1,16.52,16.86,29,39,4,1
2023-07-18,16.9,17.0,16.54,16.54,29,39,4,1
2023-07-19,16.58,16.94,16.56,16.88,29,39,4,1
2023-07-20,16.74,16.9,16.64,16.64,29,39,4,1
2023-07-21,16.66,16.76,16.54,16.62,29,39,4,1
2023-07-24,16.66,17.08,16.58,17.0,29,39,4,1
2023-07-25,17.06,17.24,16.8,17.02,29,39,4,1
2023-07-26,17.02,17.14,16.9,16.94,29,39,4,1
2023-07-27,17.04,17.2,16.86,17.14,29,39,4,1
2023-07-28,16.96,17.08,16.6,16.6,29,39,4,1
2023-07-31,16.7,16.96,16.66,16.86,29,39,4,1
2023-08-01,16.82,16.9,16.52,16.52,29,39,4,1
2023-08-02,16.52,16.72,16.2,16.5,29,39,4,1
2023-08-03,16.3,16.34,15.96,15.98,29,39,4,1
2023-08-04,16.04,16.16,15.86,15.92,29,39,4,1
2023-08-07,15.9,16.1,15.42,15.42,29,39,4,1
2023-08-08,15.4,15.42,14.92,15.06,29,39,4,1
2023-08-09,15.1,15.44,15.1,15.44,29,39,4,1
2023-08-10,15.5,15.7,15.28,15.6,29,39,4,1
2023-08-11,15.38,15.6,15.28,15.5,29,39,4,1
2023-08-14,15.58,15.68,15.26,15.68,29,39,4,1
2023-08-16,15.66,15.66,14.96,15.02,29,39,4,1
2023-08-17,15.1,15.34,15.02,15.06,29,39,4,1
2023-08-18,15.08,15.36,14.92,15.36,29,39,4,1
2023-08-21,15.38,15.64,15.08,15.64,29,39,4,1
2023-08-22,15.7,15.7,15.22,15.28,29,39,4,1
2023-08-23,15.46,15.54,15.16,15.54,29,39,4,1
2023-08-24,15.7,15.86,15.44,15.58,29,39,4,1
2023-08-25,15.56,15.56,15.2,15.22,29,39,4,1
2023-08-28,15.12,15.48,15.12,15.46,29,39,4,1
2023-08-29,15.48,15.48,15.18,15.18,29,39,4,1
2023-08-30,15.22,15.36,15.02,15.02,29,39,4,1
2023-08-31,15.08,15.22,15.02,15.02,29,39,4,1
