Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-03-23,18.48,18.5,18.42,18.5,45,61,4,1
2023-03-24,18.5,18.5,18.4,18.46,45,61,4,1
2023-03-27,18.45,18.5,18.41,18.49,45,61,4,1
2023-03-28,18.48,18.55,18.45,18.54,45,61,4,1
2023-03-29,18.54,18.54,18.45,18.48,45,61,4,1
2023-03-30,18.48,18.5,18.43,18.45,45,61,4,1
2023-03-31,18.44,18.48,18.41,18.45,45,61,4,1
2023-04-03,18.45,18.49,18.45,18.46,45,61,4,1
2023-04-04,18.45,18.49,18.45,18.48,45,61,4,1
2023-04-05,18.47,18.54,18.45,18.5,45,61,4,1
2023-04-06,18.5,18.58,18.46,18.54,45,61,4,1
2023-04-11,18.48,18.7,18.46,18.46,45,61,4,1
2023-04-12,18.48,18.59,18.47,18.5,45,61,4,1
2023-04-13,18.5,18.53,18.47,18.5,45,61,4,1
2023-04-14,18.5,18.59,18.48,18.5,45,61,4,1
2023-04-17,18.48,18.52,18.46,18.49,45,61,4,1
2023-04-18,18.5,18.5,18.45,18.47,45,61,4,1
2023-04-19,18.46,18.48,18.36,18.38,45,61,4,1
2023-04-20,18.4,18.42,18.28,18.4,45,61,4,1
2023-04-21,18.34,18.4,18.22,18.26,45,61,4,1
2023-04-24,18.28,18.46,18.25,18.29,45,61,4,1
2023-04-25,18.3,18.3,18.21,18.28,45,61,4,1
2023-04-26,18.28,18.34,18.11,18.18,45,61,4,1
2023-04-27,18.25,18.34,18.2,18.2,45,61,4,1
2023-04-28,18.25,18.3,17.98,18.12,45,61,4,1
2023-05-02,18.02,18.25,17.99,18.16,45,61,4,1
2023-05-04,18.25,18.3,17.91,18.19,45,61,4,1
2023-05-05,18.2,18.49,18.1,18.16,45,61,4,1
2023-05-08,18.22,18.49,18.2,18.2,45,61,4,1
2023-05-09,18.3,18.44,18.12,18.15,45,61,4,1
2023-05-10,18.08,18.42,18.08,18.28,45,61,4,1
2023-05-11,18.15,18.43,17.24,17.24,45,61,4,1
2023-05-12,17.5,17.67,16.52,17.31,45,61,4,1
2023-05-15,17.5,17.9,17.4,17.4,45,61,4,1
2023-05-16,17.2,17.29,15.52,15.8,45,61,4,1
2023-05-17,15.8,15.86,15.52,15.69,45,61,4,1
2023-05-18,15.6,15.8,15.3,15.6,45,61,4,1
2023-05-19,15.49,15.59,15.34,15.43,45,61,4,1
2023-05-22,15.4,15.44,15.01,15.01,45,61,4,1
2023-05-23,15.02,15.41,15.02,15.4,45,61,4,1
2023-05-24,15.3,15.41,15.3,15.3,45,61,4,1
2023-05-25,15.5,15.56,15.22,15.22,45,61,4,1
2023-05-26,15.5,16.25,15.31,16.1,45,61,4,1
2023-05-29,16.0,16.28,15.82,15.84,45,61,4,1
2023-05-30,15.89,16.26,15.83,16.06,45,61,4,1
2023-05-31,16.06,16.49,15.95,16.3,45,61,4,1
2023-06-01,16.5,16.5,15.95,15.96,45,61,4,1
2023-06-02,15.99,16.45,15.99,16.45,45,61,4,1
2023-06-05,16.3,16.3,16.12,16.13,45,61,4,1
2023-06-06,16.15,16.21,16.0,16.15,45,61,4,1
2023-06-07,16.16,16.16,15.84,16.15,45,61,4,1
2023-06-09,16.19,16.2,16.01,16.15,45,61,4,1
2023-06-12,16.14,16.3,16.0,16.3,45,61,4,1
2023-06-13,16.15,16.39,16.1,16.13,45,61,4,1
2023-06-14,16.15,16.34,16.01,16.03,45,61,4,1
2023-06-15,16.1,16.1,15.7,15.73,45,61,4,1
2023-06-16,15.77,16.1,15.07,15.07,45,61,4,1
2023-06-19,15.38,15.58,15.05,15.15,45,61,4,1
2023-06-20,15.2,15.4,15.15,15.25,45,61,4,1
2023-06-21,15.25,15.37,15.16,15.2,45,61,4,1
2023-06-22,15.2,15.23,14.8,14.94,45,61,4,1
2023-06-23,14.88,14.99,14.82,14.86,45,61,4,1
2023-06-26,14.95,15.09,14.9,14.98,45,61,4,1
2023-06-27,15.0,15.0,14.81,14.81,45,61,4,1
2023-06-28,14.9,15.0,14.81,14.88,45,61,4,1
2023-06-29,14.9,14.95,14.62,14.74,45,61,4,1
2023-06-30,14.9,14.9,14.15,14.2,45,61,4,1
2023-07-03,14.31,14.57,14.24,14.25,45,61,4,1
2023-07-04,14.4,14.4,14.06,14.07,45,61,4,1
2023-07-05,14.2,14.3,14.07,14.09,45,61,4,1
2023-07-06,14.1,14.1,14.05,14.05,45,61,4,1
2023-07-07,14.09,14.4,14.03,14.06,45,61,4,1
2023-07-10,14.05,14.1,14.03,14.05,45,61,4,1
2023-07-11,14.02,14.2,13.39,13.5,45,61,4,1
2023-07-12,13.5,14.0,13.5,13.7,45,61,4,1
2023-07-13,13.78,14.0,13.78,13.92,45,61,4,1
2023-07-14,14.0,14.0,13.63,13.64,45,61,4,1
2023-07-17,13.75,13.96,13.66,13.66,45,61,4,1
2023-07-18,13.8,13.8,13.43,13.43,45,61,4,1
2023-07-19,13.5,13.63,12.34,12.6,45,61,4,1
2023-07-20,12.52,12.86,12.52,12.57,45,61,4,1
2023-07-21,12.55,12.9,12.55,12.78,45,61,4,1
2023-07-24,12.9,12.98,12.78,12.8,45,61,4,1
2023-07-25,12.9,12.96,12.72,12.77,45,61,4,1
2023-07-26,12.8,13.65,12.65,13.21,45,61,4,1
2023-07-27,13.67,13.68,13.5,13.6,45,61,4,1
2023-07-28,13.59,13.68,13.53,13.55,45,61,4,1
