Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-04-27,2.82,3.1,2.77,2.89,19,26,3,1
2023-04-28,2.94,2.94,2.71,2.72,19,26,3,1
2023-05-02,2.82,2.82,2.72,2.76,19,26,3,1
2023-05-04,2.8,2.8,2.75,2.79,19,26,3,1
2023-05-05,2.8,2.87,2.77,2.82,19,26,3,1
2023-05-08,3.05,3.2,2.96,3.0,19,26,3,1
2023-05-09,3.07,3.17,3.01,3.15,19,26,3,1
2023-05-10,3.17,3.18,3.06,3.18,19,26,3,1
2023-05-11,3.18,3.4,3.15,3.2,19,26,3,1
2023-05-12,3.2,3.21,3.03,3.05,19,26,3,1
2023-05-15,3.05,3.18,3.02,3.12,19,26,3,1
2023-05-16,3.12,3.18,3.08,3.16,19,26,3,1
2023-05-17,3.3,3.6,3.27,3.55,19,26,3,1
2023-05-18,3.55,3.62,3.4,3.55,19,26,3,1
2023-05-19,3.6,3.63,3.51,3.6,19,26,3,1
2023-05-22,3.6,3.69,3.53,3.67,19,26,3,1
2023-05-23,3.66,3.7,3.5,3.56,19,26,3,1
2023-05-24,3.58,3.58,3.4,3.45,19,26,3,1
2023-05-25,3.4,3.47,3.38,3.42,19,26,3,1
2023-05-26,3.44,3.44,3.34,3.42,19,26,3,1
2023-05-29,3.49,3.59,3.43,3.48,19,26,3,1
2023-05-30,3.59,3.59,3.52,3.56,19,26,3,1
2023-05-31,3.5,3.5,3.33,3.33,19,26,3,1
2023-06-01,3.35,3.45,3.34,3.44,19,26,3,1
2023-06-02,3.45,3.52,3.43,3.47,19,26,3,1
2023-06-05,3.47,3.6,3.41,3.48,19,26,3,1
2023-06-06,3.41,3.5,3.41,3.49,19,26,3,1
2023-06-07,3.43,3.43,3.36,3.38,19,26,3,1
2023-06-09,3.38,3.41,3.32,3.4,19,26,3,1
2023-06-12,3.39,3.39,3.3,3.38,19,26,3,1
2023-06-13,3.4,3.41,3.32,3.4,19,26,3,1
2023-06-14,3.34,3.36,3.31,3.35,19,26,3,1
2023-06-15,3.31,3.35,3.16,3.34,19,26,3,1
2023-06-16,3.33,3.33,3.2,3.3,19,26,3,1
2023-06-19,3.26,3.33,3.25,3.28,19,26,3,1
2023-06-20,3.28,3.33,3.18,3.19,19,26,3,1
2023-06-21,3.24,3.25,3.17,3.2,19,26,3,1
2023-06-22,3.23,3.24,3.15,3.15,19,26,3,1
2023-06-23,3.2,3.2,3.12,3.14,19,26,3,1
2023-06-26,3.17,3.28,3.15,3.2,19,26,3,1
2023-06-27,3.2,3.24,3.12,3.15,19,26,3,1
2023-06-28,3.12,3.15,3.06,3.09,19,26,3,1
2023-06-29,3.08,3.2,3.05,3.15,19,26,3,1
2023-06-30,3.11,3.21,3.09,3.17,19,26,3,1
2023-07-03,3.24,3.33,3.21,3.26,19,26,3,1
2023-07-04,3.32,3.32,3.18,3.26,19,26,3,1
2023-07-05,3.29,3.29,3.2,3.26,19,26,3,1
2023-07-06,3.2,3.25,3.14,3.15,19,26,3,1
