Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-02-06,8.12,8.14,8.0,8.04,48,64,3,1
2023-02-07,8.04,8.08,7.96,8.08,48,64,3,1
2023-02-08,8.1,8.14,8.04,8.14,48,64,3,1
2023-02-09,8.1,8.6,8.1,8.32,48,64,3,1
2023-02-10,8.3,8.36,8.1,8.26,48,64,3,1
2023-02-13,8.26,8.36,8.14,8.34,48,64,3,1
2023-02-14,8.26,8.5,8.16,8.4,48,64,3,1
2023-02-15,8.4,8.42,8.24,8.38,48,64,3,1
2023-02-16,8.36,8.42,8.24,8.36,48,64,3,1
2023-02-17,8.3,8.34,8.2,8.26,48,64,3,1
2023-02-20,8.26,8.36,8.26,8.34,48,64,3,1
2023-02-21,8.36,8.7,8.3,8.66,48,64,3,1
2023-02-22,8.78,8.8,8.44,8.7,48,64,3,1
2023-02-23,8.66,8.8,8.54,8.66,48,64,3,1
2023-02-24,8.76,8.86,8.6,8.68,48,64,3,1
2023-02-27,8.72,9.14,8.7,9.04,48,64,3,1
2023-02-28,9.02,9.28,9.02,9.1,48,64,3,1
2023-03-01,9.0,9.14,8.92,9.0,48,64,3,1
2023-03-02,9.04,9.12,8.72,9.0,48,64,3,1
2023-03-03,8.98,9.08,8.78,8.8,48,64,3,1
2023-03-06,8.8,9.08,8.8,8.98,48,64,3,1
2023-03-07,8.94,9.14,8.84,8.88,48,64,3,1
2023-03-08,8.88,9.06,8.82,9.0,48,64,3,1
2023-03-09,8.84,9.0,8.84,8.94,48,64,3,1
2023-03-10,8.96,8.98,8.76,8.94,48,64,3,1
2023-03-13,8.92,8.94,8.5,8.88,48,64,3,1
2023-03-14,8.9,9.0,8.64,9.0,48,64,3,1
2023-03-15,9.0,9.0,8.84,8.84,48,64,3,1
2023-03-16,8.84,8.98,8.62,8.84,48,64,3,1
2023-03-17,8.84,8.86,8.72,8.74,48,64,3,1
2023-03-20,8.82,8.82,8.56,8.8,48,64,3,1
2023-03-21,8.6,8.8,8.52,8.7,48,64,3,1
2023-03-22,8.74,8.8,8.74,8.78,48,64,3,1
2023-03-23,8.8,8.8,8.7,8.78,48,64,3,1
2023-03-24,8.78,8.88,8.72,8.82,48,64,3,1
2023-03-27,9.2,9.48,9.02,9.4,48,64,3,1
2023-03-28,9.3,9.8,9.3,9.8,48,64,3,1
2023-03-29,9.8,10.2,9.68,10.1,48,64,3,1
2023-03-30,10.65,10.65,9.82,9.96,48,64,3,1
2023-03-31,9.9,10.4,9.9,10.4,48,64,3,1
2023-04-03,10.4,11.2,10.4,10.8,48,64,3,1
2023-04-04,10.9,11.1,10.45,10.8,48,64,3,1
2023-04-05,10.8,10.8,10.25,10.25,48,64,3,1
2023-04-06,10.15,10.65,9.9,10.6,48,64,3,1
2023-04-11,10.55,10.55,10.2,10.3,48,64,3,1
2023-04-12,10.3,10.3,9.94,10.1,48,64,3,1
2023-04-13,10.1,10.1,9.92,10.0,48,64,3,1
2023-04-14,10.2,10.35,9.92,10.1,48,64,3,1
2023-04-17,10.1,10.3,9.92,10.0,48,64,3,1
2023-04-18,10.0,10.3,9.92,10.15,48,64,3,1
2023-04-19,10.1,10.75,9.94,10.6,48,64,3,1
2023-04-20,10.5,10.7,10.26,10.6,48,64,3,1
2023-04-21,10.6,10.8,10.42,10.72,48,64,3,1
2023-04-24,10.72,10.8,10.54,10.72,48,64,3,1
2023-04-25,10.7,10.78,10.5,10.62,48,64,3,1
2023-04-26,10.24,10.6,10.12,10.5,48,64,3,1
2023-04-27,10.5,10.58,10.46,10.5,48,64,3,1
2023-04-28,10.56,10.56,9.75,10.16,48,64,3,1
2023-05-02,10.2,10.3,10.0,10.24,48,64,3,1
2023-05-04,10.26,10.36,9.98,10.1,48,64,3,1
2023-05-05,10.1,10.2,10.1,10.12,48,64,3,1
2023-05-08,10.12,10.3,10.08,10.18,48,64,3,1
2023-05-09,10.16,10.9,10.1,10.58,48,64,3,1
2023-05-10,10.6,11.4,10.24,11.04,48,64,3,1
2023-05-11,11.22,11.4,10.84,11.16,48,64,3,1
2023-05-12,11.18,11.28,10.94,11.2,48,64,3,1
2023-05-15,11.24,11.36,11.12,11.34,48,64,3,1
2023-05-16,11.3,11.34,11.14,11.26,48,64,3,1
2023-05-17,11.24,11.24,11.12,11.18,48,64,3,1
