Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-06-05,73.4,74.5,73.0,73.6,33,44,3,1
2023-06-06,73.4,73.4,72.5,72.5,33,44,3,1
2023-06-07,72.5,72.9,71.3,72.9,33,44,3,1
2023-06-09,73.0,73.3,70.3,70.6,33,44,3,1
2023-06-12,70.7,72.2,68.3,71.6,33,44,3,1
2023-06-13,70.1,70.7,70.1,70.5,33,44,3,1
2023-06-14,71.5,71.5,69.0,69.1,33,44,3,1
2023-06-15,69.1,70.4,69.0,70.1,33,44,3,1
2023-06-16,69.5,70.9,69.2,70.9,33,44,3,1
2023-06-19,70.9,70.9,69.5,70.4,33,44,3,1
2023-06-20,70.4,70.9,69.2,69.9,33,44,3,1
2023-06-21,70.7,72.9,70.3,72.5,33,44,3,1
2023-06-22,72.7,73.8,71.9,73.3,33,44,3,1
2023-06-23,73.0,73.0,71.7,73.0,33,44,3,1
2023-06-26,72.1,73.8,72.0,72.1,33,44,3,1
2023-06-27,72.1,74.0,71.9,74.0,33,44,3,1
2023-06-28,74.0,81.0,73.3,77.8,33,44,3,1
2023-06-29,78.0,78.0,75.6,75.8,33,44,3,1
2023-06-30,75.6,76.5,75.0,75.5,33,44,3,1
2023-07-03,75.5,79.0,75.4,76.0,33,44,3,1
2023-07-04,77.0,78.5,72.4,73.2,33,44,3,1
2023-07-05,73.0,74.6,72.4,74.6,33,44,3,1
2023-07-06,74.6,76.9,74.0,75.2,33,44,3,1
2023-07-07,75.1,76.4,74.1,75.0,33,44,3,1
2023-07-10,75.9,77.9,73.8,77.9,33,44,3,1
2023-07-11,77.3,78.0,76.1,77.3,33,44,3,1
2023-07-12,77.0,78.5,76.1,78.5,33,44,3,1
2023-07-13,78.5,81.3,76.0,80.9,33,44,3,1
2023-07-14,80.5,80.5,78.0,80.0,33,44,3,1
2023-07-17,79.8,79.9,78.2,78.6,33,44,3,1
2023-07-18,78.6,78.6,76.2,77.8,33,44,3,1
2023-07-19,78.0,78.0,75.8,76.0,33,44,3,1
2023-07-20,76.0,77.0,74.8,75.0,33,44,3,1
2023-07-21,74.5,76.0,74.0,74.0,33,44,3,1
2023-07-24,75.0,75.5,74.0,74.5,33,44,3,1
2023-07-25,74.9,76.0,74.9,75.5,33,44,3,1
2023-07-26,75.8,75.8,74.2,74.3,33,44,3,1
2023-07-27,74.9,75.2,73.2,75.0,33,44,3,1
2023-07-28,74.9,76.1,74.1,76.0,33,44,3,1
2023-07-31,75.4,78.9,75.0,78.9,33,44,3,1
2023-08-01,78.9,79.2,78.0,79.0,33,44,3,1
2023-08-02,79.4,79.6,77.4,78.9,33,44,3,1
2023-08-03,78.7,78.7,77.6,78.5,33,44,3,1
2023-08-04,78.5,79.6,78.1,78.3,33,44,3,1
2023-08-07,78.0,79.4,78.0,79.4,33,44,3,1
2023-08-08,78.1,79.9,78.1,78.6,33,44,3,1
2023-08-09,78.2,80.0,78.2,80.0,33,44,3,1
2023-08-10,80.0,85.0,79.9,84.3,33,44,3,1
2023-08-11,84.4,85.7,82.0,84.3,33,44,3,1
2023-08-14,84.7,87.3,82.8,86.6,33,44,3,1
2023-08-16,85.5,85.5,82.3,83.9,33,44,3,1
2023-08-17,82.5,83.8,82.3,83.0,33,44,3,1
2023-08-18,82.3,82.9,79.3,80.3,33,44,3,1
2023-08-21,80.0,80.0,78.0,78.8,33,44,3,1
2023-08-22,78.4,80.0,78.2,80.0,33,44,3,1
2023-08-23,79.1,79.7,78.4,79.7,33,44,3,1
2023-08-24,79.7,79.7,75.5,76.6,33,44,3,1
2023-08-25,76.0,78.1,75.4,76.6,33,44,3,1
2023-08-28,76.0,77.9,75.5,77.9,33,44,3,1
2023-08-29,70.9,72.2,65.5,72.0,33,44,3,1
2023-08-30,72.0,73.2,71.0,72.0,33,44,3,1
2023-08-31,72.2,72.2,69.9,70.6,33,44,3,1
