Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-01-20,17.4,17.9,17.4,17.7,16,22,3,1
2023-01-23,17.8,17.85,17.65,17.7,16,22,3,1
2023-01-24,17.65,17.85,17.65,17.7,16,22,3,1
2023-01-25,17.6,17.95,17.55,17.75,16,22,3,1
2023-01-26,17.75,18.4,17.75,18.0,16,22,3,1
2023-01-27,17.95,18.7,17.95,18.55,16,22,3,1
2023-01-30,18.95,18.95,18.55,18.9,16,22,3,1
2023-01-31,19.0,19.0,18.65,18.85,16,22,3,1
2023-02-01,18.9,19.7,18.75,19.45,16,22,3,1
2023-02-02,19.6,20.2,19.6,20.1,16,22,3,1
2023-02-03,20.1,20.5,19.65,20.0,16,22,3,1
2023-02-06,20.1,20.5,20.1,20.1,16,22,3,1
2023-02-07,20.1,20.1,18.7,19.2,16,22,3,1
2023-02-08,19.0,20.8,18.8,20.8,16,22,3,1
2023-02-09,20.6,22.6,20.6,21.9,16,22,3,1
2023-02-10,21.9,21.9,20.3,20.8,16,22,3,1
2023-02-13,20.8,20.8,19.8,20.2,16,22,3,1
2023-02-14,20.5,21.5,20.4,21.2,16,22,3,1
2023-02-15,21.2,21.2,20.4,21.0,16,22,3,1
2023-02-16,20.8,21.4,20.8,21.2,16,22,3,1
2023-02-17,21.0,21.5,20.8,21.5,16,22,3,1
2023-02-20,21.3,22.6,21.3,22.4,16,22,3,1
2023-02-21,22.5,22.5,21.5,21.7,16,22,3,1
2023-02-22,21.4,21.4,20.6,21.0,16,22,3,1
2023-02-23,21.3,21.9,21.0,21.2,16,22,3,1
2023-02-24,21.4,21.4,20.7,21.0,16,22,3,1
2023-02-27,21.0,21.0,20.7,21.0,16,22,3,1
2023-02-28,21.0,21.7,20.7,21.5,16,22,3,1
2023-03-01,21.7,21.7,20.6,21.5,16,22,3,1
2023-03-02,21.5,21.5,20.5,20.5,16,22,3,1
2023-03-03,20.7,21.5,20.7,21.4,16,22,3,1
2023-03-06,21.4,22.0,21.1,21.7,16,22,3,1
2023-03-07,21.7,21.8,21.3,21.3,16,22,3,1
2023-03-08,21.3,21.5,20.9,21.1,16,22,3,1
2023-03-09,21.1,21.2,20.8,21.0,16,22,3,1
2023-03-10,20.7,20.9,19.35,19.95,16,22,3,1
2023-03-13,19.95,20.3,19.45,19.85,16,22,3,1
2023-03-14,19.6,20.3,19.55,20.3,16,22,3,1
2023-03-15,20.0,20.7,19.65,19.8,16,22,3,1
2023-03-16,20.2,20.2,19.4,19.7,16,22,3,1
2023-03-17,19.75,20.6,19.7,20.4,16,22,3,1
