Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-03-07,31.5,32.5,31.5,32.2,26,36,3,1
2023-03-08,32.2,33.0,31.2,33.0,26,36,3,1
2023-03-09,32.9,33.0,31.3,33.0,26,36,3,1
2023-03-10,32.0,32.3,30.3,32.0,26,36,3,1
2023-03-13,32.0,32.0,30.4,30.6,26,36,3,1
2023-03-14,30.5,30.5,30.1,30.4,26,36,3,1
2023-03-15,30.4,31.0,30.1,31.0,26,36,3,1
2023-03-16,30.5,31.0,30.5,30.7,26,36,3,1
2023-03-17,30.7,30.8,30.7,30.7,26,36,3,1
2023-03-20,30.6,30.6,30.0,30.2,26,36,3,1
2023-03-21,30.6,30.6,30.6,30.6,26,36,3,1
2023-03-22,31.0,31.0,30.7,30.7,26,36,3,1
2023-03-23,31.0,31.0,30.5,31.0,26,36,3,1
2023-03-24,31.0,31.8,30.5,31.8,26,36,3,1
2023-03-27,31.8,32.0,30.8,32.0,26,36,3,1
2023-03-28,31.7,33.0,31.7,32.0,26,36,3,1
2023-03-29,32.0,32.9,31.4,32.9,26,36,3,1
2023-03-30,32.5,33.5,32.0,33.5,26,36,3,1
2023-03-31,33.5,33.8,32.8,33.6,26,36,3,1
2023-04-03,33.6,34.8,33.6,34.6,26,36,3,1
2023-04-04,34.5,37.0,34.5,36.2,26,36,3,1
2023-04-05,36.0,39.4,36.0,38.5,26,36,3,1
2023-04-06,38.8,44.0,38.8,41.5,26,36,3,1
2023-04-11,41.0,44.9,41.0,43.9,26,36,3,1
2023-04-12,43.9,44.0,41.2,42.8,26,36,3,1
2023-04-13,40.4,41.1,38.0,38.6,26,36,3,1
2023-04-14,38.4,38.4,36.4,37.7,26,36,3,1
2023-04-17,36.7,38.9,36.7,38.9,26,36,3,1
2023-04-18,39.0,39.6,38.0,38.0,26,36,3,1
2023-04-19,38.9,40.0,38.8,39.7,26,36,3,1
2023-04-20,39.7,40.5,39.5,39.5,26,36,3,1
2023-04-21,38.0,40.0,38.0,39.9,26,36,3,1
2023-04-24,40.7,42.5,40.5,40.5,26,36,3,1
2023-04-25,41.8,41.8,39.1,40.5,26,36,3,1
2023-04-26,40.1,44.0,40.1,42.0,26,36,3,1
2023-04-27,42.0,45.0,42.0,42.1,26,36,3,1
2023-04-28,42.6,42.8,40.2,40.2,26,36,3,1
2023-05-02,39.0,39.0,35.3,35.3,26,36,3,1
2023-05-04,35.2,35.2,33.3,34.4,26,36,3,1
2023-05-05,33.2,34.2,32.0,32.0,26,36,3,1
2023-05-08,31.8,33.8,31.5,32.6,26,36,3,1
2023-05-09,33.0,34.9,32.1,34.8,26,36,3,1
2023-05-10,34.8,36.5,34.7,36.5,26,36,3,1
2023-05-11,35.6,36.0,35.0,36.0,26,36,3,1
2023-05-12,34.8,36.3,34.8,36.3,26,36,3,1
2023-05-15,36.3,37.2,35.5,36.0,26,36,3,1
2023-05-16,36.0,37.0,35.1,35.1,26,36,3,1
2023-05-17,35.0,35.9,34.9,34.9,26,36,3,1
2023-05-18,35.4,37.0,34.9,36.0,26,36,3,1
2023-05-19,35.0,36.4,35.0,35.2,26,36,3,1
2023-05-22,36.0,36.0,35.0,35.0,26,36,3,1
2023-05-23,35.2,35.2,34.6,35.1,26,36,3,1
2023-05-24,35.1,35.5,33.9,35.0,26,36,3,1
2023-05-25,35.0,36.0,34.2,34.4,26,36,3,1
2023-05-26,36.0,36.0,34.8,35.8,26,36,3,1
2023-05-29,35.7,35.7,35.0,35.0,26,36,3,1
2023-05-30,35.7,36.0,34.8,35.0,26,36,3,1
2023-05-31,36.0,36.0,34.8,34.8,26,36,3,1
2023-06-01,34.1,36.5,34.1,36.0,26,36,3,1
2023-06-02,34.6,36.1,34.6,35.4,26,36,3,1
2023-06-05,35.3,35.5,35.0,35.4,26,36,3,1
2023-06-06,36.2,38.0,36.0,36.0,26,36,3,1
