Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-01-09,91.0,94.5,91.0,93.8,18,24,3,1
2023-01-10,93.2,94.8,92.0,94.0,18,24,3,1
2023-01-11,94.1,94.8,92.0,93.0,18,24,3,1
2023-01-12,93.3,98.4,90.0,97.4,18,24,3,1
2023-01-13,97.6,101.0,97.0,98.6,18,24,3,1
2023-01-16,99.4,102.0,99.1,101.8,18,24,3,1
2023-01-17,102.0,102.2,99.4,100.8,18,24,3,1
2023-01-18,100.8,102.0,100.8,101.6,18,24,3,1
2023-01-19,101.0,101.6,99.4,101.6,18,24,3,1
2023-01-20,100.4,107.6,100.2,107.2,18,24,3,1
2023-01-23,107.4,109.4,105.4,109.4,18,24,3,1
2023-01-24,108.6,111.0,104.8,107.2,18,24,3,1
2023-01-25,108.4,110.4,106.6,109.0,18,24,3,1
2023-01-26,109.0,110.0,107.2,109.0,18,24,3,1
2023-01-27,109.0,111.8,107.6,110.8,18,24,3,1
2023-01-30,110.8,111.6,107.6,109.2,18,24,3,1
2023-01-31,109.4,114.8,106.4,114.6,18,24,3,1
2023-02-01,114.8,114.8,105.0,106.8,18,24,3,1
2023-02-02,108.6,109.4,103.6,106.8,18,24,3,1
2023-02-03,106.8,108.8,105.2,108.0,18,24,3,1
2023-02-06,108.2,110.8,104.0,107.0,18,24,3,1
2023-02-07,108.0,110.6,105.0,110.2,18,24,3,1
2023-02-08,110.6,111.8,109.4,109.6,18,24,3,1
2023-02-09,114.8,115.8,108.2,108.8,18,24,3,1
2023-02-10,108.0,110.8,105.6,106.0,18,24,3,1
2023-02-13,106.2,107.0,104.8,106.0,18,24,3,1
2023-02-14,107.0,107.8,104.8,105.6,18,24,3,1
2023-02-15,105.0,109.6,103.8,109.6,18,24,3,1
2023-02-16,109.8,110.0,106.4,108.2,18,24,3,1
2023-02-17,108.0,110.0,107.0,109.4,18,24,3,1
2023-02-20,109.4,110.0,108.0,109.0,18,24,3,1
2023-02-21,109.4,109.4,105.4,107.0,18,24,3,1
2023-02-22,107.0,108.0,105.4,108.0,18,24,3,1
2023-02-23,108.0,108.0,105.4,106.8,18,24,3,1
2023-02-24,106.8,107.4,105.8,106.2,18,24,3,1
2023-02-27,106.8,109.0,106.0,108.8,18,24,3,1
2023-02-28,108.6,114.0,107.8,113.6,18,24,3,1
2023-03-01,113.6,113.6,111.4,112.4,18,24,3,1
2023-03-02,111.8,112.0,108.0,109.4,18,24,3,1
2023-03-03,109.0,109.0,106.2,106.4,18,24,3,1
2023-03-06,106.8,108.4,106.0,106.4,18,24,3,1
