Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-11-22,2490.71,2492.75,2439.5,2446.22,39,52,3,1
2022-11-23,2471.66,2472.89,2435.35,2471.98,39,52,3,1
2022-11-24,2481.19,2481.53,2450.5,2459.5,39,52,3,1
2022-11-25,2465.35,2478.58,2420.76,2478.58,39,52,3,1
2022-11-28,2495.91,2498.75,2459.15,2486.0,39,52,3,1
2022-11-29,2507.05,2508.0,2460.66,2497.75,39,52,3,1
2022-11-30,2502.15,2519.34,2496.08,2511.56,39,52,3,1
2022-12-01,2532.71,2540.91,2499.33,2540.91,39,52,3,1
2022-12-02,2524.84,2547.96,2515.77,2538.65,39,52,3,1
2022-12-05,2558.06,2569.83,2534.55,2552.31,39,52,3,1
2022-12-06,2551.72,2551.72,2499.21,2522.17,39,52,3,1
2022-12-07,2514.7,2527.68,2499.09,2515.67,39,52,3,1
2022-12-08,2525.9,2530.84,2498.05,2528.11,39,52,3,1
2022-12-09,2520.87,2541.09,2518.58,2535.06,39,52,3,1
2022-12-12,2550.29,2568.23,2533.28,2554.2,39,52,3,1
2022-12-13,2551.4,2571.99,2537.39,2571.99,39,52,3,1
2022-12-14,2560.06,2583.88,2553.76,2575.68,39,52,3,1
2022-12-15,2583.16,2590.55,2558.04,2576.15,39,52,3,1
2022-12-16,2579.72,2580.19,2529.08,2570.94,39,52,3,1
2022-12-19,2592.92,2622.67,2585.27,2621.29,39,52,3,1
2022-12-20,2616.75,2626.58,2590.81,2626.58,39,52,3,1
2022-12-21,2643.31,2655.11,2636.33,2655.11,39,52,3,1
2022-12-22,2650.6,2657.26,2626.29,2650.93,39,52,3,1
2022-12-23,2654.11,2654.11,2628.74,2648.66,39,52,3,1
2022-12-27,2656.78,2663.92,2626.97,2650.72,39,52,3,1
2022-12-28,2646.47,2648.97,2598.66,2622.12,39,52,3,1
2022-12-29,2626.07,2636.67,2613.52,2632.46,39,52,3,1
2022-12-30,2633.64,2633.64,2605.99,2624.35,39,52,3,1
2023-01-02,2659.85,2682.33,2640.8,2658.03,39,52,3,1
2023-01-03,2675.09,2700.69,2671.02,2695.81,39,52,3,1
2023-01-04,2706.08,2728.71,2701.03,2713.77,39,52,3,1
2023-01-05,2730.63,2732.19,2701.19,2707.75,39,52,3,1
2023-01-09,2725.63,2752.28,2709.97,2749.62,39,52,3,1
2023-01-10,2748.69,2762.47,2703.28,2705.09,39,52,3,1
2023-01-11,2715.41,2733.24,2705.01,2708.31,39,52,3,1
2023-01-12,2709.42,2714.16,2696.12,2711.56,39,52,3,1
2023-01-13,2733.25,2733.86,2689.9,2713.06,39,52,3,1
2023-01-16,2719.9,2735.9,2691.07,2707.55,39,52,3,1
2023-01-17,2703.31,2706.46,2695.11,2697.84,39,52,3,1
2023-01-18,2710.48,2715.47,2673.44,2676.85,39,52,3,1
2023-01-19,2666.95,2675.81,2628.6,2652.96,39,52,3,1
2023-01-20,2667.51,2691.31,2642.81,2669.18,39,52,3,1
2023-01-23,2667.41,2692.16,2666.83,2675.59,39,52,3,1
2023-01-24,2673.06,2708.74,2673.04,2682.55,39,52,3,1
2023-01-25,2684.75,2706.26,2674.4,2687.59,39,52,3,1
2023-01-26,2707.72,2736.1,2696.08,2704.65,39,52,3,1
2023-01-27,2714.97,2729.24,2712.05,2726.35,39,52,3,1
2023-01-30,2727.8,2730.32,2692.01,2708.04,39,52,3,1
2023-01-31,2717.45,2733.4,2709.71,2726.64,39,52,3,1
2023-02-01,2742.1,2755.58,2733.02,2746.53,39,52,3,1
2023-02-02,2758.37,2771.2,2730.74,2756.9,39,52,3,1
2023-02-03,2754.09,2775.28,2741.72,2769.03,39,52,3,1
2023-02-06,2766.53,2771.54,2755.19,2757.5,39,52,3,1
2023-02-07,2767.17,2769.8,2747.33,2752.8,39,52,3,1
2023-02-08,2750.04,2768.26,2741.08,2762.5,39,52,3,1
2023-02-09,2757.1,2765.34,2745.02,2760.11,39,52,3,1
2023-02-10,2759.96,2776.5,2735.45,2776.5,39,52,3,1
2023-02-13,2788.55,2815.66,2758.03,2788.9,39,52,3,1
2023-02-14,2782.13,2796.51,2775.3,2784.15,39,52,3,1
2023-02-15,2774.07,2788.04,2760.44,2774.41,39,52,3,1
2023-02-16,2782.52,2792.08,2772.37,2773.52,39,52,3,1
2023-02-17,2777.46,2806.89,2771.14,2794.06,39,52,3,1
2023-02-20,2806.17,2857.09,2806.17,2851.6,39,52,3,1
2023-02-21,2869.88,2870.05,2821.49,2844.26,39,52,3,1
2023-02-22,2843.22,2843.22,2796.16,2818.18,39,52,3,1
2023-02-23,2834.33,2836.97,2821.79,2832.3,39,52,3,1
