Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-12-09,28.7,28.7,28.1,28.15,25,34,3,1
2022-12-12,28.2,28.6,28.2,28.55,25,34,3,1
2022-12-13,28.6,28.75,28.55,28.6,25,34,3,1
2022-12-14,28.75,29.2,28.7,29.05,25,34,3,1
2022-12-15,28.05,28.25,27.9,28.1,25,34,3,1
2022-12-16,28.25,28.25,27.25,27.8,25,34,3,1
2022-12-19,28.4,28.4,27.8,28.35,25,34,3,1
2022-12-20,28.4,28.4,27.9,28.25,25,34,3,1
2022-12-21,28.3,28.5,28.1,28.3,25,34,3,1
2022-12-22,28.5,28.75,28.4,28.55,25,34,3,1
2022-12-23,28.55,28.75,27.8,28.05,25,34,3,1
2022-12-27,28.05,28.35,27.8,27.8,25,34,3,1
2022-12-28,27.8,28.4,27.6,28.0,25,34,3,1
2022-12-29,28.1,28.5,28.1,28.4,25,34,3,1
2022-12-30,28.7,29.0,28.6,28.95,25,34,3,1
2023-01-02,29.0,29.0,28.2,28.5,25,34,3,1
2023-01-03,28.7,28.7,28.0,28.45,25,34,3,1
2023-01-04,28.55,28.7,28.1,28.35,25,34,3,1
2023-01-05,28.7,29.6,28.35,29.6,25,34,3,1
2023-01-09,29.85,31.5,29.85,31.5,25,34,3,1
2023-01-10,31.55,32.3,31.55,32.3,25,34,3,1
2023-01-11,32.4,32.75,29.45,30.75,25,34,3,1
2023-01-12,30.4,31.0,30.2,30.85,25,34,3,1
2023-01-13,31.2,31.5,30.9,31.5,25,34,3,1
2023-01-16,31.5,32.1,31.2,32.0,25,34,3,1
2023-01-17,32.1,32.45,30.95,31.4,25,34,3,1
2023-01-18,31.0,31.3,30.8,31.05,25,34,3,1
2023-01-19,30.9,31.3,30.3,30.7,25,34,3,1
2023-01-20,30.95,31.6,30.5,31.5,25,34,3,1
2023-01-23,32.5,32.5,31.9,32.45,25,34,3,1
2023-01-24,32.6,33.0,32.1,32.35,25,34,3,1
2023-01-25,32.5,32.75,32.25,32.6,25,34,3,1
2023-01-26,32.65,33.2,32.65,33.2,25,34,3,1
2023-01-27,33.3,33.35,32.85,33.1,25,34,3,1
2023-01-30,33.0,33.1,32.6,32.65,25,34,3,1
2023-01-31,32.65,33.9,32.65,33.85,25,34,3,1
2023-02-01,33.95,35.5,33.75,35.0,25,34,3,1
2023-02-02,36.95,36.95,35.0,36.1,25,34,3,1
2023-02-03,35.8,35.9,35.3,35.9,25,34,3,1
2023-02-06,35.95,36.1,35.3,36.1,25,34,3,1
2023-02-07,36.0,36.0,35.7,35.9,25,34,3,1
2023-02-08,36.05,36.45,35.9,36.4,25,34,3,1
2023-02-09,36.4,36.4,35.9,36.1,25,34,3,1
2023-02-10,36.0,36.05,35.5,35.8,25,34,3,1
2023-02-13,35.8,35.8,35.0,35.4,25,34,3,1
2023-02-14,35.2,35.55,34.85,35.2,25,34,3,1
2023-02-15,35.2,35.2,34.8,34.8,25,34,3,1
2023-02-16,34.8,35.05,34.7,35.0,25,34,3,1
2023-02-17,34.8,35.0,34.8,34.95,25,34,3,1
2023-02-20,34.8,35.5,34.8,35.5,25,34,3,1
2023-02-21,35.0,35.8,35.0,35.8,25,34,3,1
2023-02-22,35.3,35.55,34.2,35.0,25,34,3,1
2023-02-23,35.0,35.0,34.7,34.85,25,34,3,1
2023-02-24,34.85,35.8,34.75,35.0,25,34,3,1
2023-02-27,35.0,36.0,35.0,35.6,25,34,3,1
2023-02-28,35.5,36.2,35.4,35.8,25,34,3,1
2023-03-01,35.7,36.2,35.3,35.7,25,34,3,1
2023-03-02,35.65,35.85,33.95,34.75,25,34,3,1
2023-03-03,34.8,34.85,34.2,34.55,25,34,3,1
2023-03-06,34.7,34.7,32.7,32.95,25,34,3,1
2023-03-07,32.95,32.95,32.2,32.9,25,34,3,1
2023-03-08,33.0,33.45,32.65,32.8,25,34,3,1
2023-03-09,33.1,34.35,33.1,34.0,25,34,3,1
2023-03-10,33.9,34.35,33.6,34.0,25,34,3,1
