Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-01-02,125.32,125.32,124.46,124.46,18,24,3,1
2023-01-03,125.7,125.9,125.48,125.86,18,24,3,1
2023-01-04,126.58,126.84,126.0,126.84,18,24,3,1
2023-01-05,127.8,129.8,127.8,128.72,18,24,3,1
2023-01-09,130.4,130.94,128.72,130.94,18,24,3,1
2023-01-10,131.0,132.56,130.0,132.56,18,24,3,1
2023-01-11,132.92,133.16,131.52,131.52,18,24,3,1
2023-01-12,132.6,132.6,131.06,131.06,18,24,3,1
2023-01-13,131.98,131.98,131.0,131.18,18,24,3,1
2023-01-16,131.98,132.2,130.54,132.2,18,24,3,1
2023-01-17,131.5,132.2,131.36,131.5,18,24,3,1
2023-01-18,132.0,132.0,131.74,132.0,18,24,3,1
2023-01-19,131.52,131.52,129.7,131.26,18,24,3,1
2023-01-20,132.2,132.38,131.44,131.44,18,24,3,1
2023-01-23,132.6,133.56,132.2,133.56,18,24,3,1
2023-01-24,133.6,133.6,132.26,132.42,18,24,3,1
2023-01-25,132.12,132.12,130.6,130.82,18,24,3,1
2023-01-26,130.82,131.92,130.82,131.92,18,24,3,1
2023-01-27,132.0,132.3,131.6,131.6,18,24,3,1
2023-01-30,131.86,131.86,129.58,130.0,18,24,3,1
2023-01-31,130.0,131.56,130.0,131.56,18,24,3,1
2023-02-01,131.0,132.1,130.6,130.6,18,24,3,1
2023-02-02,132.22,133.04,131.56,132.44,18,24,3,1
2023-02-03,133.32,134.0,132.4,132.4,18,24,3,1
2023-02-06,133.28,133.28,130.5,130.56,18,24,3,1
2023-02-07,131.0,131.56,131.0,131.5,18,24,3,1
2023-02-08,132.34,133.7,132.34,133.08,18,24,3,1
2023-02-09,134.44,135.74,134.06,135.74,18,24,3,1
2023-02-10,135.28,135.5,132.1,133.32,18,24,3,1
2023-02-13,133.5,133.5,130.9,130.9,18,24,3,1
2023-02-14,132.04,133.02,131.7,132.72,18,24,3,1
2023-02-15,133.32,133.32,131.82,131.82,18,24,3,1
2023-02-16,133.76,135.06,133.76,135.06,18,24,3,1
2023-02-17,135.28,135.28,134.18,135.1,18,24,3,1
2023-02-20,135.0,135.14,135.0,135.14,18,24,3,1
2023-02-21,135.34,135.34,132.94,132.94,18,24,3,1
2023-02-22,133.4,133.4,132.0,132.7,18,24,3,1
2023-02-23,132.62,132.62,132.62,132.62,18,24,3,1
2023-02-24,132.96,133.54,132.96,132.96,18,24,3,1
2023-02-27,133.12,133.12,133.12,133.12,18,24,3,1
2023-02-28,133.06,134.5,133.0,133.5,18,24,3,1
2023-03-01,134.62,134.82,134.1,134.22,18,24,3,1
2023-03-02,134.0,134.0,132.04,133.02,18,24,3,1
2023-03-03,134.1,136.48,134.0,136.48,18,24,3,1
