Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-01-09,11.2,11.2,10.95,11.2,15,20,3,1
2023-01-10,11.5,11.6,11.2,11.25,15,20,3,1
2023-01-11,11.55,11.55,11.25,11.25,15,20,3,1
2023-01-12,11.45,11.45,11.3,11.4,15,20,3,1
2023-01-13,11.4,11.4,11.1,11.1,15,20,3,1
2023-01-16,11.5,11.7,11.35,11.4,15,20,3,1
2023-01-17,11.6,11.75,11.55,11.6,15,20,3,1
2023-01-18,11.65,11.8,11.45,11.45,15,20,3,1
2023-01-19,11.4,11.4,11.3,11.3,15,20,3,1
2023-01-20,11.4,11.4,11.35,11.35,15,20,3,1
2023-01-23,11.35,11.75,11.3,11.3,15,20,3,1
2023-01-24,11.3,11.6,11.3,11.4,15,20,3,1
2023-01-25,11.5,11.8,11.5,11.75,15,20,3,1
2023-01-26,11.8,12.0,11.6,11.75,15,20,3,1
2023-01-27,11.75,11.95,11.7,11.8,15,20,3,1
2023-01-30,11.9,11.9,11.2,11.35,15,20,3,1
2023-01-31,11.35,11.75,11.3,11.7,15,20,3,1
2023-02-01,11.7,11.7,11.7,11.7,15,20,3,1
2023-02-02,11.65,11.8,11.65,11.8,15,20,3,1
2023-02-03,11.8,11.95,11.8,11.9,15,20,3,1
2023-02-06,11.9,11.9,11.5,11.5,15,20,3,1
2023-02-07,11.5,11.85,11.5,11.65,15,20,3,1
2023-02-08,11.85,11.85,11.5,11.5,15,20,3,1
2023-02-09,11.6,11.7,11.5,11.5,15,20,3,1
2023-02-10,11.5,11.5,10.9,10.9,15,20,3,1
2023-02-13,10.9,11.05,10.85,10.9,15,20,3,1
2023-02-14,10.9,11.05,10.9,11.05,15,20,3,1
2023-02-15,10.9,11.05,10.5,10.75,15,20,3,1
2023-02-16,10.75,11.05,10.65,10.65,15,20,3,1
2023-02-17,11.0,11.0,10.6,11.0,15,20,3,1
2023-02-20,11.0,11.05,10.65,11.0,15,20,3,1
2023-02-21,11.0,11.0,10.5,10.9,15,20,3,1
2023-02-22,10.9,10.9,10.9,10.9,15,20,3,1
2023-02-23,10.9,11.0,10.9,11.0,15,20,3,1
2023-02-24,11.0,11.05,11.0,11.05,15,20,3,1
2023-02-27,11.0,11.25,11.0,11.2,15,20,3,1
