Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-10-10,602,615,601,610,45,60,3,1
2022-10-11,604,610,583,610,45,60,3,1
2022-10-12,613,625,600,616,45,60,3,1
2022-10-13,618,620,606,610,45,60,3,1
2022-10-14,617,623,610,617,45,60,3,1
2022-10-17,621,625,594,608,45,60,3,1
2022-10-18,614,635,613,632,45,60,3,1
2022-10-19,623,645,601,613,45,60,3,1
2022-10-20,622,622,585,607,45,60,3,1
2022-10-21,595,607,595,605,45,60,3,1
2022-10-24,608,620,594,606,45,60,3,1
2022-10-25,606,610,603,610,45,60,3,1
2022-10-26,603,610,560,590,45,60,3,1
2022-10-27,591,605,585,598,45,60,3,1
2022-10-28,600,610,598,609,45,60,3,1
2022-10-31,607,609,595,609,45,60,3,1
2022-11-02,600,620,596,620,45,60,3,1
2022-11-03,610,641,604,623,45,60,3,1
2022-11-04,625,650,625,645,45,60,3,1
2022-11-07,650,650,621,635,45,60,3,1
2022-11-08,629,638,610,617,45,60,3,1
2022-11-09,633,649,627,649,45,60,3,1
2022-11-10,645,645,602,643,45,60,3,1
2022-11-14,653,674,646,658,45,60,3,1
2022-11-15,660,662,642,655,45,60,3,1
2022-11-16,655,656,632,639,45,60,3,1
2022-11-17,628,645,620,636,45,60,3,1
2022-11-18,636,652,636,652,45,60,3,1
2022-11-21,649,660,633,660,45,60,3,1
2022-11-22,650,662,647,650,45,60,3,1
2022-11-23,648,664,647,660,45,60,3,1
2022-11-24,660,664,615,649,45,60,3,1
2022-11-25,650,655,644,650,45,60,3,1
2022-11-28,656,659,644,655,45,60,3,1
2022-11-29,658,658,643,655,45,60,3,1
2022-11-30,655,678,650,678,45,60,3,1
2022-12-01,690,710,683,708,45,60,3,1
2022-12-02,708,710,695,705,45,60,3,1
2022-12-05,708,734,705,715,45,60,3,1
2022-12-06,716,720,692,700,45,60,3,1
2022-12-07,699,700,690,699,45,60,3,1
2022-12-08,699,700,693,698,45,60,3,1
2022-12-09,700,707,691,702,45,60,3,1
2022-12-12,704,705,690,702,45,60,3,1
2022-12-13,700,729,694,722,45,60,3,1
2022-12-14,729,730,720,722,45,60,3,1
2022-12-15,715,726,700,700,45,60,3,1
2022-12-16,700,700,692,699,45,60,3,1
2022-12-19,698,698,680,696,45,60,3,1
2022-12-20,696,719,686,719,45,60,3,1
2022-12-21,705,719,701,704,45,60,3,1
2022-12-22,701,706,681,685,45,60,3,1
2022-12-23,686,697,685,690,45,60,3,1
2022-12-27,683,690,679,686,45,60,3,1
2022-12-28,685,690,679,686,45,60,3,1
2022-12-29,690,694,666,690,45,60,3,1
2022-12-30,681,700,681,700,45,60,3,1
2023-01-02,694,710,672,686,45,60,3,1
2023-01-03,686,698,686,698,45,60,3,1
2023-01-04,699,723,685,723,45,60,3,1
2023-01-05,713,718,704,715,45,60,3,1
2023-01-09,719,744,717,744,45,60,3,1
2023-01-10,744,791,725,790,45,60,3,1
2023-01-11,795,799,762,785,45,60,3,1
2023-01-12,785,800,776,780,45,60,3,1
2023-01-13,789,798,785,798,45,60,3,1
2023-01-16,799,802,790,795,45,60,3,1
2023-01-17,790,790,760,762,45,60,3,1
2023-01-18,765,774,744,774,45,60,3,1
2023-01-19,769,779,760,776,45,60,3,1
2023-01-20,778,810,771,804,45,60,3,1
2023-01-23,807,834,791,817,45,60,3,1
2023-01-24,803,810,776,785,45,60,3,1
2023-01-25,776,818,770,814,45,60,3,1
2023-01-26,816,816,793,800,45,60,3,1
2023-01-27,798,819,798,819,45,60,3,1
2023-01-30,824,839,822,835,45,60,3,1
2023-01-31,835,848,800,848,45,60,3,1
2023-02-01,845,845,811,814,45,60,3,1
2023-02-02,820,828,801,825,45,60,3,1
2023-02-03,824,834,820,827,45,60,3,1
2023-02-06,823,830,810,815,45,60,3,1
2023-02-07,811,814,792,798,45,60,3,1
2023-02-08,800,805,793,793,45,60,3,1
2023-02-09,800,806,791,800,45,60,3,1
2023-02-10,795,795,780,785,45,60,3,1
2023-02-13,783,794,747,761,45,60,3,1
2023-02-14,770,782,767,770,45,60,3,1
2023-02-15,771,788,771,786,45,60,3,1
2023-02-16,794,795,770,795,45,60,3,1
2023-02-17,798,799,787,799,45,60,3,1
2023-02-20,790,798,776,798,45,60,3,1
2023-02-21,790,796,780,795,45,60,3,1
2023-02-22,786,794,771,794,45,60,3,1
2023-02-23,790,794,782,794,45,60,3,1
2023-02-24,796,800,791,797,45,60,3,1
2023-02-27,799,819,788,810,45,60,3,1
2023-02-28,809,819,788,809,45,60,3,1
2023-03-01,811,812,801,810,45,60,3,1
2023-03-02,810,813,800,813,45,60,3,1
2023-03-03,814,816,800,808,45,60,3,1
2023-03-06,794,809,794,802,45,60,3,1
2023-03-07,802,818,802,810,45,60,3,1
2023-03-08,810,815,803,815,45,60,3,1
2023-03-09,817,844,810,835,45,60,3,1
2023-03-10,835,840,828,835,45,60,3,1
