Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-12-20,16.88,17.15,16.7,17.1,17,24,3,1
2022-12-21,17.2,17.29,17.03,17.22,17,24,3,1
2022-12-22,17.3,17.4,17.09,17.32,17,24,3,1
2022-12-23,17.38,17.54,17.17,17.53,17,24,3,1
2022-12-27,17.6,17.6,17.35,17.48,17,24,3,1
2022-12-28,17.45,17.45,17.15,17.16,17,24,3,1
2022-12-29,17.27,17.64,17.1,17.64,17,24,3,1
2022-12-30,17.55,17.69,17.4,17.61,17,24,3,1
2023-01-02,17.61,17.9,17.5,17.8,17,24,3,1
2023-01-03,17.9,18.05,17.7,17.7,17,24,3,1
2023-01-04,17.97,18.28,17.84,18.04,17,24,3,1
2023-01-05,18.3,18.84,18.17,18.54,17,24,3,1
2023-01-09,18.82,19.12,18.6,19.09,17,24,3,1
2023-01-10,19.09,19.27,18.73,19.07,17,24,3,1
2023-01-11,19.02,19.51,19.02,19.24,17,24,3,1
2023-01-12,19.43,19.62,19.09,19.1,17,24,3,1
2023-01-13,19.21,19.29,18.79,18.79,17,24,3,1
2023-01-16,18.81,18.95,18.42,18.65,17,24,3,1
2023-01-17,18.75,18.94,18.52,18.85,17,24,3,1
2023-01-18,18.97,19.2,18.76,18.85,17,24,3,1
2023-01-19,18.85,19.12,18.66,19.05,17,24,3,1
2023-01-20,19.2,19.24,18.9,19.13,17,24,3,1
2023-01-23,19.38,19.72,19.15,19.6,17,24,3,1
2023-01-24,19.72,19.98,19.19,19.23,17,24,3,1
2023-01-25,19.35,19.38,18.66,18.79,17,24,3,1
2023-01-26,19.04,19.28,18.72,19.14,17,24,3,1
2023-01-27,19.3,19.3,18.9,18.9,17,24,3,1
2023-01-30,18.9,19.0,18.26,18.37,17,24,3,1
2023-01-31,18.44,18.53,18.18,18.35,17,24,3,1
2023-02-01,18.3,18.64,18.13,18.2,17,24,3,1
2023-02-02,18.3,18.83,18.22,18.8,17,24,3,1
2023-02-03,18.85,18.88,18.52,18.6,17,24,3,1
2023-02-06,18.74,18.74,17.91,17.91,17,24,3,1
2023-02-07,18.0,18.15,17.82,17.91,17,24,3,1
2023-02-08,18.0,18.27,17.95,18.15,17,24,3,1
2023-02-09,18.25,18.32,17.93,17.97,17,24,3,1
2023-02-10,18.2,18.2,17.63,17.91,17,24,3,1
2023-02-13,18.07,18.15,17.41,17.52,17,24,3,1
2023-02-14,17.81,17.89,17.53,17.56,17,24,3,1
2023-02-15,17.7,17.72,17.47,17.61,17,24,3,1
2023-02-16,17.78,17.9,17.58,17.72,17,24,3,1
2023-02-17,17.85,18.2,17.53,18.15,17,24,3,1
2023-02-20,18.16,18.17,17.81,17.96,17,24,3,1
2023-02-21,18.14,18.14,17.53,17.57,17,24,3,1
