Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-10-14,15.99,15.99,15.61,15.64,48,64,3,1
2022-10-17,15.6,15.87,15.6,15.76,48,64,3,1
2022-10-18,15.9,16.3,15.83,16.02,48,64,3,1
2022-10-19,16.3,17.5,16.21,17.44,48,64,3,1
2022-10-20,17.8,18.8,17.69,18.35,48,64,3,1
2022-10-21,18.48,18.66,18.04,18.59,48,64,3,1
2022-10-24,19.2,20.28,19.02,19.75,48,64,3,1
2022-10-25,19.99,20.28,19.37,19.78,48,64,3,1
2022-10-26,19.78,20.28,19.4,19.77,48,64,3,1
2022-10-27,19.8,19.96,18.9,19.38,48,64,3,1
2022-10-28,19.4,19.89,19.14,19.89,48,64,3,1
2022-10-31,20.0,21.58,20.0,21.58,48,64,3,1
2022-11-02,21.8,22.0,21.0,21.3,48,64,3,1
2022-11-03,21.02,23.54,21.02,22.86,48,64,3,1
2022-11-04,23.28,23.56,22.52,22.9,48,64,3,1
2022-11-07,24.0,24.0,22.16,22.9,48,64,3,1
2022-11-08,22.94,23.42,22.7,23.0,48,64,3,1
2022-11-09,23.02,23.16,22.5,22.76,48,64,3,1
2022-11-10,22.4,22.9,21.8,22.64,48,64,3,1
2022-11-14,22.64,23.64,22.64,23.34,48,64,3,1
2022-11-15,23.38,23.44,22.8,23.18,48,64,3,1
2022-11-16,22.02,22.72,22.02,22.46,48,64,3,1
2022-11-17,22.26,22.46,21.8,22.36,48,64,3,1
2022-11-18,22.3,22.5,21.58,21.6,48,64,3,1
2022-11-21,21.6,22.06,21.3,21.64,48,64,3,1
2022-11-22,20.88,20.88,20.06,20.44,48,64,3,1
2022-11-23,20.2,21.74,20.2,21.04,48,64,3,1
2022-11-24,21.14,21.36,20.88,21.16,48,64,3,1
2022-11-25,21.2,21.8,21.0,21.58,48,64,3,1
2022-11-28,21.64,21.64,21.08,21.4,48,64,3,1
2022-11-29,21.6,22.7,21.22,22.36,48,64,3,1
2022-11-30,22.7,23.7,22.6,23.48,48,64,3,1
2022-12-01,23.68,24.06,23.22,23.36,48,64,3,1
2022-12-02,23.1,23.3,22.32,22.9,48,64,3,1
2022-12-05,23.08,23.56,22.98,23.52,48,64,3,1
2022-12-06,23.6,23.6,23.2,23.4,48,64,3,1
2022-12-07,23.3,25.62,23.14,25.34,48,64,3,1
2022-12-08,25.0,25.44,24.48,24.96,48,64,3,1
2022-12-09,24.9,25.3,24.68,24.98,48,64,3,1
2022-12-12,24.98,25.42,24.76,25.22,48,64,3,1
2022-12-13,25.22,25.96,24.96,25.7,48,64,3,1
2022-12-14,25.7,25.94,25.14,25.32,48,64,3,1
2022-12-15,25.16,25.28,24.5,24.78,48,64,3,1
2022-12-16,24.4,24.7,23.74,24.3,48,64,3,1
2022-12-19,24.2,25.0,24.2,24.88,48,64,3,1
2022-12-20,24.9,24.9,24.26,24.48,48,64,3,1
2022-12-21,24.32,24.46,23.8,24.04,48,64,3,1
2022-12-22,24.0,24.5,23.84,23.9,48,64,3,1
2022-12-23,23.76,23.98,23.5,23.84,48,64,3,1
2022-12-27,23.96,24.18,23.3,23.4,48,64,3,1
2022-12-28,23.24,23.4,23.02,23.18,48,64,3,1
2022-12-29,23.16,24.4,23.12,24.0,48,64,3,1
2022-12-30,24.3,24.3,23.7,23.7,48,64,3,1
2023-01-02,23.54,24.36,23.46,23.9,48,64,3,1
2023-01-03,23.8,24.38,23.7,24.1,48,64,3,1
2023-01-04,24.1,24.24,23.72,23.88,48,64,3,1
2023-01-05,24.0,24.1,23.6,23.7,48,64,3,1
2023-01-09,23.98,24.26,23.56,23.9,48,64,3,1
2023-01-10,24.04,24.22,23.72,24.2,48,64,3,1
2023-01-11,24.26,24.26,23.86,24.04,48,64,3,1
2023-01-12,23.8,25.0,23.8,24.7,48,64,3,1
2023-01-13,24.88,24.88,24.42,24.7,48,64,3,1
2023-01-16,24.88,25.24,24.7,25.2,48,64,3,1
2023-01-17,25.14,25.6,24.8,24.86,48,64,3,1
2023-01-18,24.92,25.0,24.26,24.26,48,64,3,1
2023-01-19,24.22,24.6,23.8,24.3,48,64,3,1
2023-01-20,24.3,24.42,23.88,23.96,48,64,3,1
2023-01-23,23.0,23.08,21.9,22.4,48,64,3,1
2023-01-24,22.4,22.78,22.1,22.64,48,64,3,1
2023-01-25,22.68,22.72,21.38,21.54,48,64,3,1
2023-01-26,21.52,22.34,21.52,21.88,48,64,3,1
2023-01-27,21.88,22.2,21.6,22.12,48,64,3,1
2023-01-30,21.84,21.9,21.2,21.26,48,64,3,1
2023-01-31,21.06,21.96,20.78,21.9,48,64,3,1
2023-02-01,22.14,22.4,21.7,21.74,48,64,3,1
2023-02-02,21.98,22.3,21.86,22.2,48,64,3,1
2023-02-03,22.1,22.18,21.78,22.0,48,64,3,1
2023-02-06,21.88,21.88,21.0,21.34,48,64,3,1
