Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-08-19,8.94,9.23,8.4,8.92,74,98,3,1
2022-08-22,9.18,9.18,8.7,9.18,74,98,3,1
2022-08-23,9.17,9.7,8.89,9.48,74,98,3,1
2022-08-24,9.44,9.65,9.24,9.48,74,98,3,1
2022-08-25,9.22,9.32,8.85,8.88,74,98,3,1
2022-08-26,8.8,9.0,8.6,8.8,74,98,3,1
2022-08-29,8.56,8.91,8.36,8.7,74,98,3,1
2022-08-30,8.89,8.89,8.34,8.82,74,98,3,1
2022-08-31,8.74,8.87,8.34,8.39,74,98,3,1
2022-09-01,8.4,8.73,7.91,7.91,74,98,3,1
2022-09-02,7.99,8.29,7.99,8.15,74,98,3,1
2022-09-05,8.0,8.29,8.0,8.28,74,98,3,1
2022-09-06,8.29,8.29,7.92,7.93,74,98,3,1
2022-09-07,8.12,8.29,7.9,7.92,74,98,3,1
2022-09-08,7.9,8.17,7.82,8.0,74,98,3,1
2022-09-09,8.09,8.17,7.91,8.0,74,98,3,1
2022-09-12,8.16,8.17,6.92,7.1,74,98,3,1
2022-09-13,7.29,7.29,6.71,6.98,74,98,3,1
2022-09-14,6.97,7.16,6.8,6.95,74,98,3,1
2022-09-15,6.75,7.14,6.75,6.98,74,98,3,1
2022-09-16,6.98,6.99,6.75,6.76,74,98,3,1
2022-09-19,6.89,6.95,6.75,6.76,74,98,3,1
2022-09-20,6.85,6.94,6.74,6.8,74,98,3,1
2022-09-21,6.8,8.0,6.8,7.43,74,98,3,1
2022-09-22,7.4,7.8,7.06,7.25,74,98,3,1
2022-09-23,7.55,7.59,7.2,7.2,74,98,3,1
2022-09-26,7.25,7.3,7.1,7.2,74,98,3,1
2022-09-27,7.3,7.3,7.0,7.2,74,98,3,1
2022-09-28,7.15,7.19,7.06,7.19,74,98,3,1
2022-09-29,7.19,7.19,6.9,6.9,74,98,3,1
2022-09-30,7.09,7.09,6.4,6.88,74,98,3,1
2022-10-03,14.0,14.0,11.0,11.0,74,98,3,1
2022-10-04,11.2,11.94,10.28,10.4,74,98,3,1
2022-10-05,10.66,12.88,9.96,12.18,74,98,3,1
2022-10-06,12.22,12.22,11.22,11.62,74,98,3,1
2022-10-07,11.82,12.2,10.7,11.08,74,98,3,1
2022-10-10,10.98,11.04,10.5,10.86,74,98,3,1
2022-10-11,10.78,11.4,10.52,11.06,74,98,3,1
2022-10-12,11.04,11.3,10.74,10.98,74,98,3,1
2022-10-13,11.08,11.12,10.16,10.5,74,98,3,1
2022-10-14,10.8,10.84,9.77,10.0,74,98,3,1
2022-10-17,10.3,14.0,10.1,14.0,74,98,3,1
2022-10-18,14.42,14.9,12.98,13.8,74,98,3,1
2022-10-19,13.86,14.2,12.64,13.16,74,98,3,1
2022-10-20,12.92,14.2,12.48,13.7,74,98,3,1
2022-10-21,13.62,14.06,13.0,13.58,74,98,3,1
2022-10-24,13.68,14.36,13.28,13.9,74,98,3,1
