Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-10-27,53.68,55.58,53.32,55.58,13,18,3,1
2022-10-28,55.0,56.3,54.24,55.54,13,18,3,1
2022-10-31,55.88,55.88,54.2,54.92,13,18,3,1
2022-11-02,55.88,58.58,55.5,58.04,13,18,3,1
2022-11-03,57.5,59.96,56.8,59.96,13,18,3,1
2022-11-04,60.82,63.0,60.82,63.0,13,18,3,1
2022-11-07,63.46,63.64,59.3,60.5,13,18,3,1
2022-11-08,60.4,62.3,59.6,62.04,13,18,3,1
2022-11-09,62.0,62.48,60.86,61.0,13,18,3,1
2022-11-10,60.5,62.88,59.44,62.6,13,18,3,1
2022-11-14,62.9,65.28,62.62,63.44,13,18,3,1
2022-11-15,63.78,65.48,62.78,64.9,13,18,3,1
2022-11-16,64.2,64.96,64.02,64.1,13,18,3,1
2022-11-17,64.3,65.14,63.1,64.1,13,18,3,1
2022-11-18,64.1,64.6,62.14,62.76,13,18,3,1
2022-11-21,62.78,63.32,61.24,61.5,13,18,3,1
2022-11-22,62.3,64.6,62.26,64.14,13,18,3,1
2022-11-23,64.66,65.4,63.22,63.6,13,18,3,1
2022-11-24,64.18,64.22,62.42,64.04,13,18,3,1
2022-11-25,64.0,64.42,63.14,64.26,13,18,3,1
2022-11-28,63.7,63.72,62.28,62.6,13,18,3,1
2022-11-29,64.0,65.22,62.88,64.8,13,18,3,1
2022-11-30,65.0,66.3,64.28,65.3,13,18,3,1
2022-12-01,65.8,68.24,64.52,68.24,13,18,3,1
2022-12-02,67.94,67.96,64.5,64.5,13,18,3,1
2022-12-05,64.82,66.36,64.3,65.82,13,18,3,1
2022-12-06,65.5,65.68,63.72,64.22,13,18,3,1
2022-12-07,64.0,64.82,63.86,64.62,13,18,3,1
2022-12-08,64.32,64.32,62.4,62.98,13,18,3,1
2022-12-09,63.02,63.26,61.32,62.2,13,18,3,1
2022-12-12,61.96,63.8,61.56,63.74,13,18,3,1
2022-12-13,63.68,65.02,62.7,63.94,13,18,3,1
2022-12-14,64.0,64.52,63.28,63.58,13,18,3,1
2022-12-15,63.2,63.68,62.6,63.48,13,18,3,1
