Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-12-20,26.1,26.3,26.1,26.1,13,18,3,1
2022-12-21,25.9,26.5,25.9,25.9,13,18,3,1
2022-12-22,25.4,26.1,25.0,25.2,13,18,3,1
2022-12-23,25.9,25.9,25.3,25.8,13,18,3,1
2022-12-27,26.7,26.8,25.9,26.5,13,18,3,1
2022-12-28,26.5,26.7,26.5,26.7,13,18,3,1
2022-12-29,26.8,27.0,26.2,26.8,13,18,3,1
2022-12-30,27.0,28.6,27.0,27.2,13,18,3,1
2023-01-02,28.7,28.7,27.5,27.6,13,18,3,1
2023-01-03,27.8,28.3,27.8,28.0,13,18,3,1
2023-01-04,28.0,30.0,28.0,30.0,13,18,3,1
2023-01-05,29.9,32.0,28.5,30.6,13,18,3,1
2023-01-09,30.6,30.6,29.0,30.0,13,18,3,1
2023-01-10,30.6,30.6,29.6,30.0,13,18,3,1
2023-01-11,30.5,30.5,29.6,30.2,13,18,3,1
2023-01-12,30.5,30.5,29.7,29.8,13,18,3,1
2023-01-13,29.9,30.0,29.5,30.0,13,18,3,1
2023-01-16,30.0,31.5,29.5,31.5,13,18,3,1
2023-01-17,31.5,31.5,30.4,31.0,13,18,3,1
2023-01-18,31.0,31.0,29.6,30.5,13,18,3,1
2023-01-19,30.5,30.6,29.1,30.0,13,18,3,1
2023-01-20,30.0,30.0,29.5,30.0,13,18,3,1
2023-01-23,30.0,30.0,29.3,29.4,13,18,3,1
2023-01-24,29.9,29.9,29.1,29.7,13,18,3,1
2023-01-25,29.8,29.9,29.4,29.7,13,18,3,1
2023-01-26,29.5,29.8,29.1,29.6,13,18,3,1
2023-01-27,29.6,29.6,27.6,28.0,13,18,3,1
2023-01-30,28.3,28.6,28.0,28.2,13,18,3,1
2023-01-31,28.4,28.4,28.0,28.0,13,18,3,1
2023-02-01,28.2,28.4,27.4,27.9,13,18,3,1
2023-02-02,28.0,28.4,27.9,28.1,13,18,3,1
2023-02-03,28.1,28.5,28.1,28.5,13,18,3,1
2023-02-06,28.5,29.2,28.5,28.7,13,18,3,1
2023-02-07,29.2,29.2,28.4,29.2,13,18,3,1
