Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-03-27,32.48,32.53,31.92,32.12,44,59,3,1
2023-03-28,32.3,32.65,31.93,32.23,44,59,3,1
2023-03-29,32.4,32.94,32.25,32.8,44,59,3,1
2023-03-30,33.56,35.07,33.52,35.02,44,59,3,1
2023-03-31,35.17,35.33,34.75,35.08,44,59,3,1
2023-04-03,35.2,35.76,34.94,35.2,44,59,3,1
2023-04-04,35.26,36.67,35.26,36.0,44,59,3,1
2023-04-05,36.0,36.2,35.61,36.02,44,59,3,1
2023-04-06,36.12,36.32,35.7,36.05,44,59,3,1
2023-04-11,36.3,36.81,36.01,36.48,44,59,3,1
2023-04-12,36.59,37.11,36.33,37.11,44,59,3,1
2023-04-13,37.0,37.37,36.81,37.06,44,59,3,1
2023-04-14,37.1,37.36,36.65,37.12,44,59,3,1
2023-04-17,37.09,37.4,36.9,37.17,44,59,3,1
2023-04-18,37.17,38.4,36.92,38.32,44,59,3,1
2023-04-19,38.32,38.68,37.96,38.5,44,59,3,1
2023-04-20,38.4,39.21,38.36,38.59,44,59,3,1
2023-04-21,38.45,39.08,38.16,38.47,44,59,3,1
2023-04-24,38.47,38.93,37.87,38.75,44,59,3,1
2023-04-25,38.75,38.75,38.0,38.31,44,59,3,1
2023-04-26,38.35,38.59,37.93,38.05,44,59,3,1
2023-04-27,38.2,38.75,37.84,38.68,44,59,3,1
2023-04-28,38.84,39.1,37.97,38.3,44,59,3,1
2023-05-02,38.29,39.11,38.25,38.57,44,59,3,1
2023-05-04,38.5,38.83,37.85,38.06,44,59,3,1
2023-05-05,38.4,39.4,38.4,39.33,44,59,3,1
2023-05-08,39.4,39.9,39.0,39.4,44,59,3,1
2023-05-09,39.2,39.48,38.96,39.45,44,59,3,1
2023-05-10,39.45,39.92,39.06,39.52,44,59,3,1
2023-05-11,39.8,39.8,38.46,38.79,44,59,3,1
2023-05-12,39.0,39.8,38.86,39.45,44,59,3,1
2023-05-15,39.65,39.66,38.9,39.23,44,59,3,1
2023-05-16,39.05,39.88,39.0,39.66,44,59,3,1
2023-05-17,39.6,39.94,39.12,39.65,44,59,3,1
2023-05-18,39.85,40.28,39.79,40.02,44,59,3,1
2023-05-19,40.06,40.59,39.85,40.54,44,59,3,1
2023-05-22,40.5,41.09,40.35,40.6,44,59,3,1
2023-05-23,40.6,41.3,40.54,40.96,44,59,3,1
2023-05-24,40.97,41.3,40.33,40.4,44,59,3,1
2023-05-25,40.49,40.87,39.9,40.37,44,59,3,1
2023-05-26,40.3,41.15,40.0,40.98,44,59,3,1
2023-05-29,40.88,41.05,40.4,40.48,44,59,3,1
2023-05-30,40.32,40.48,39.82,40.08,44,59,3,1
2023-05-31,39.6,39.71,38.41,38.58,44,59,3,1
2023-06-01,38.6,39.72,38.6,39.63,44,59,3,1
2023-06-02,39.9,40.48,39.5,40.48,44,59,3,1
2023-06-05,40.4,40.98,39.96,40.04,44,59,3,1
2023-06-06,39.9,41.14,39.9,41.14,44,59,3,1
2023-06-07,41.14,41.38,40.45,40.95,44,59,3,1
2023-06-09,41.23,41.26,40.39,40.96,44,59,3,1
2023-06-12,40.51,41.21,40.32,40.49,44,59,3,1
2023-06-13,40.49,40.84,40.09,40.3,44,59,3,1
2023-06-14,40.3,41.18,40.3,40.71,44,59,3,1
2023-06-15,40.52,40.88,40.3,40.82,44,59,3,1
2023-06-16,40.77,41.42,40.66,41.09,44,59,3,1
2023-06-19,40.9,41.43,40.67,40.67,44,59,3,1
2023-06-20,40.61,41.2,40.51,40.62,44,59,3,1
2023-06-21,40.52,41.42,40.4,41.04,44,59,3,1
2023-06-22,41.0,41.45,40.63,40.95,44,59,3,1
2023-06-23,40.71,41.08,39.96,40.14,44,59,3,1
2023-06-26,40.05,40.68,39.82,40.35,44,59,3,1
2023-06-27,40.35,40.67,39.3,39.77,44,59,3,1
2023-06-28,39.77,40.21,39.41,39.73,44,59,3,1
2023-06-29,40.0,40.24,39.7,39.93,44,59,3,1
2023-06-30,40.29,40.52,39.32,39.41,44,59,3,1
2023-07-03,39.41,39.91,39.41,39.73,44,59,3,1
2023-07-04,39.8,39.8,39.04,39.04,44,59,3,1
2023-07-05,39.08,39.08,38.0,38.36,44,59,3,1
2023-07-06,38.1,38.4,37.55,38.04,44,59,3,1
2023-07-07,38.18,38.62,38.08,38.51,44,59,3,1
2023-07-10,38.5,38.63,38.04,38.24,44,59,3,1
2023-07-11,38.5,38.74,37.86,38.01,44,59,3,1
2023-07-12,38.17,39.11,38.17,39.06,44,59,3,1
