Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-09-21,69.0,69.4,66.8,68.0,36,50,3,1
2022-09-22,69.4,69.6,66.0,67.4,36,50,3,1
2022-09-23,67.4,67.8,66.2,66.2,36,50,3,1
2022-09-26,66.2,66.8,64.4,65.6,36,50,3,1
2022-09-27,65.0,66.6,65.0,66.6,36,50,3,1
2022-09-28,66.4,71.6,66.4,71.6,36,50,3,1
2022-09-29,71.4,71.4,68.0,68.4,36,50,3,1
2022-09-30,68.2,70.8,67.2,70.8,36,50,3,1
2022-10-03,70.0,70.6,67.0,70.4,36,50,3,1
2022-10-04,70.2,71.0,67.2,69.6,36,50,3,1
2022-10-05,70.0,70.8,70.0,70.8,36,50,3,1
2022-10-06,71.0,73.0,71.0,72.8,36,50,3,1
2022-10-07,72.6,72.6,70.8,70.8,36,50,3,1
2022-10-10,72.8,72.8,70.8,70.8,36,50,3,1
2022-10-11,70.6,70.8,69.4,69.6,36,50,3,1
2022-10-12,69.6,72.6,69.4,72.6,36,50,3,1
2022-10-13,72.6,74.0,70.2,70.2,36,50,3,1
2022-10-14,73.0,73.0,71.2,73.0,36,50,3,1
2022-10-17,72.0,74.0,71.4,73.0,36,50,3,1
2022-10-18,72.4,73.0,72.4,73.0,36,50,3,1
2022-10-19,72.2,72.2,71.6,71.6,36,50,3,1
2022-10-20,72.4,72.4,70.0,70.6,36,50,3,1
2022-10-21,70.6,70.8,69.0,70.6,36,50,3,1
2022-10-24,69.6,72.0,69.6,71.0,36,50,3,1
2022-10-25,72.0,72.0,71.0,71.0,36,50,3,1
2022-10-26,72.0,73.8,71.0,73.0,36,50,3,1
2022-10-27,73.0,73.0,71.6,71.6,36,50,3,1
2022-10-28,71.4,73.0,71.0,73.0,36,50,3,1
2022-10-31,73.4,74.0,69.6,72.0,36,50,3,1
2022-11-02,72.2,73.6,72.2,72.2,36,50,3,1
2022-11-03,72.2,73.2,72.2,72.6,36,50,3,1
2022-11-04,73.2,73.4,72.4,73.2,36,50,3,1
2022-11-07,73.0,75.0,72.8,75.0,36,50,3,1
2022-11-08,75.0,75.0,73.2,74.0,36,50,3,1
2022-11-09,74.0,74.0,73.2,73.2,36,50,3,1
2022-11-10,73.8,74.0,72.0,73.4,36,50,3,1
2022-11-14,74.0,75.0,73.4,73.4,36,50,3,1
2022-11-15,74.0,74.0,73.6,73.6,36,50,3,1
2022-11-16,73.0,73.4,72.8,72.8,36,50,3,1
2022-11-17,72.8,72.8,72.0,72.6,36,50,3,1
2022-11-18,73.4,73.4,72.6,72.8,36,50,3,1
2022-11-21,74.0,74.0,70.6,72.0,36,50,3,1
2022-11-22,73.8,73.8,72.0,72.6,36,50,3,1
2022-11-23,73.8,73.8,72.4,73.4,36,50,3,1
2022-11-24,73.6,73.6,72.6,72.6,36,50,3,1
2022-11-25,72.8,73.8,72.8,72.8,36,50,3,1
2022-11-28,73.8,73.8,72.8,72.8,36,50,3,1
2022-11-29,72.8,73.2,72.0,72.0,36,50,3,1
2022-11-30,73.4,73.4,72.2,73.0,36,50,3,1
2022-12-01,73.0,74.8,73.0,74.0,36,50,3,1
2022-12-02,73.8,74.8,72.6,74.2,36,50,3,1
2022-12-05,74.2,74.8,73.0,73.4,36,50,3,1
2022-12-06,73.4,73.6,72.6,72.6,36,50,3,1
2022-12-07,73.0,74.2,72.6,74.2,36,50,3,1
2022-12-08,73.2,74.2,73.0,74.0,36,50,3,1
2022-12-09,74.0,74.2,73.2,73.2,36,50,3,1
2022-12-12,73.6,73.8,73.0,73.0,36,50,3,1
2022-12-13,73.0,73.2,71.8,73.0,36,50,3,1
2022-12-14,73.0,74.0,73.0,73.2,36,50,3,1
2022-12-15,74.0,74.0,72.6,72.6,36,50,3,1
2022-12-16,72.6,74.0,72.6,73.0,36,50,3,1
2022-12-19,73.8,73.8,73.0,73.0,36,50,3,1
2022-12-20,72.8,73.0,72.0,72.4,36,50,3,1
2022-12-21,73.4,74.4,73.4,73.4,36,50,3,1
2022-12-22,73.8,74.0,72.2,72.4,36,50,3,1
2022-12-23,72.8,73.0,71.6,72.2,36,50,3,1
2022-12-27,73.4,73.4,70.6,71.0,36,50,3,1
2022-12-28,70.2,72.4,69.8,71.0,36,50,3,1
2022-12-29,71.0,73.8,71.0,73.0,36,50,3,1
2022-12-30,72.4,74.2,72.2,72.4,36,50,3,1
2023-01-02,72.8,75.2,72.6,75.0,36,50,3,1
2023-01-03,76.2,81.0,76.2,78.8,36,50,3,1
2023-01-04,79.8,81.2,78.8,81.0,36,50,3,1
2023-01-05,81.0,84.0,81.0,82.6,36,50,3,1
2023-01-09,83.0,84.8,82.4,82.8,36,50,3,1
2023-01-10,82.8,84.4,82.8,84.4,36,50,3,1
2023-01-11,84.6,84.6,83.0,83.0,36,50,3,1
2023-01-12,84.0,84.0,83.0,83.4,36,50,3,1
2023-01-13,83.4,83.8,82.8,82.8,36,50,3,1
2023-01-16,82.0,82.8,81.0,81.2,36,50,3,1
2023-01-17,81.8,82.6,80.8,82.0,36,50,3,1
2023-01-18,82.0,83.0,82.0,82.4,36,50,3,1
2023-01-19,82.4,83.8,82.4,83.0,36,50,3,1
2023-01-20,83.0,83.6,82.4,82.8,36,50,3,1
2023-01-23,83.4,83.8,82.2,83.2,36,50,3,1
2023-01-24,82.4,84.2,82.4,83.6,36,50,3,1
2023-01-25,84.2,84.2,83.4,83.4,36,50,3,1
