Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-10-28,60.5,61.8,59.7,60.6,28,38,3,1
2022-10-31,60.6,62.3,60.0,61.8,28,38,3,1
2022-11-02,61.8,62.5,60.8,61.8,28,38,3,1
2022-11-03,61.5,61.5,60.5,61.4,28,38,3,1
2022-11-04,61.4,62.8,61.4,62.8,28,38,3,1
2022-11-07,62.8,64.0,62.2,63.5,28,38,3,1
2022-11-08,63.5,64.5,62.4,64.3,28,38,3,1
2022-11-09,64.0,64.9,63.7,64.6,28,38,3,1
2022-11-10,64.7,68.0,64.2,67.9,28,38,3,1
2022-11-14,68.5,70.0,65.0,66.0,28,38,3,1
2022-11-15,66.9,68.5,65.7,68.0,28,38,3,1
2022-11-16,67.0,69.2,66.1,69.0,28,38,3,1
2022-11-17,69.0,69.0,66.1,67.4,28,38,3,1
2022-11-18,67.0,69.5,66.3,68.9,28,38,3,1
2022-11-21,68.9,68.9,67.5,67.5,28,38,3,1
2022-11-22,68.0,70.3,67.4,69.9,28,38,3,1
2022-11-23,69.8,70.0,69.0,69.5,28,38,3,1
2022-11-24,69.9,70.5,69.2,70.2,28,38,3,1
2022-11-25,70.2,72.5,69.6,72.5,28,38,3,1
2022-11-28,72.5,72.8,71.2,72.3,28,38,3,1
2022-11-29,72.3,73.7,71.7,72.9,28,38,3,1
2022-11-30,72.4,73.8,71.4,73.8,28,38,3,1
2022-12-01,74.0,75.0,73.6,75.0,28,38,3,1
2022-12-02,74.5,75.0,73.1,75.0,28,38,3,1
2022-12-05,74.0,76.9,74.0,74.0,28,38,3,1
2022-12-06,74.2,74.7,71.5,71.5,28,38,3,1
2022-12-07,72.0,73.2,71.2,71.3,28,38,3,1
2022-12-08,71.3,71.8,69.5,69.8,28,38,3,1
2022-12-09,70.0,72.0,69.8,72.0,28,38,3,1
2022-12-12,71.8,71.9,70.7,71.2,28,38,3,1
2022-12-13,71.1,72.3,70.7,71.7,28,38,3,1
2022-12-14,72.0,72.5,71.7,72.1,28,38,3,1
2022-12-15,72.1,72.4,70.0,70.1,28,38,3,1
2022-12-16,71.0,73.6,70.0,73.0,28,38,3,1
2022-12-19,72.9,73.8,72.1,73.5,28,38,3,1
2022-12-20,73.6,76.0,72.8,75.8,28,38,3,1
2022-12-21,75.8,76.0,74.4,76.0,28,38,3,1
2022-12-22,76.2,76.4,75.0,75.4,28,38,3,1
2022-12-23,75.4,75.6,73.7,73.9,28,38,3,1
2022-12-27,73.5,74.9,73.5,74.0,28,38,3,1
2022-12-28,74.4,74.4,73.4,73.4,28,38,3,1
2022-12-29,74.0,74.1,73.1,74.0,28,38,3,1
2022-12-30,74.0,76.0,73.3,75.6,28,38,3,1
2023-01-02,76.5,77.8,74.7,76.6,28,38,3,1
2023-01-03,77.7,79.0,76.0,78.8,28,38,3,1
2023-01-04,78.8,81.0,78.8,80.3,28,38,3,1
2023-01-05,79.8,80.7,77.1,79.0,28,38,3,1
2023-01-09,79.5,80.3,79.0,79.8,28,38,3,1
2023-01-10,79.8,81.7,79.5,81.5,28,38,3,1
2023-01-11,81.5,81.5,79.1,79.1,28,38,3,1
2023-01-12,79.1,80.8,79.0,80.4,28,38,3,1
2023-01-13,80.5,80.6,78.8,79.1,28,38,3,1
2023-01-16,79.6,79.6,78.7,79.6,28,38,3,1
2023-01-17,79.6,79.6,76.7,76.7,28,38,3,1
2023-01-18,76.8,78.7,76.6,77.2,28,38,3,1
2023-01-19,77.2,78.0,75.6,77.2,28,38,3,1
2023-01-20,77.6,78.4,77.0,77.1,28,38,3,1
2023-01-23,77.2,78.9,77.2,78.5,28,38,3,1
2023-01-24,78.1,79.0,77.2,77.2,28,38,3,1
2023-01-25,77.0,77.0,74.1,74.3,28,38,3,1
2023-01-26,75.4,77.0,75.3,76.4,28,38,3,1
2023-01-27,76.4,77.7,76.2,77.6,28,38,3,1
2023-01-30,77.0,78.1,76.5,77.5,28,38,3,1
2023-01-31,78.0,82.3,77.7,81.0,28,38,3,1
2023-02-01,80.3,81.9,78.6,78.8,28,38,3,1
2023-02-02,80.1,80.3,79.1,80.1,28,38,3,1
2023-02-03,80.1,81.9,80.1,81.5,28,38,3,1
