Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-11-21,21.68,21.81,21.04,21.05,14,18,3,1
2022-11-22,21.02,21.58,21.02,21.16,14,18,3,1
2022-11-23,21.41,22.6,21.16,22.4,14,18,3,1
2022-11-24,22.77,22.77,22.12,22.45,14,18,3,1
2022-11-25,21.49,21.49,20.7,20.97,14,18,3,1
2022-11-28,21.0,21.85,21.0,21.66,14,18,3,1
2022-11-29,21.5,21.5,21.07,21.14,14,18,3,1
2022-11-30,21.34,21.6,21.14,21.5,14,18,3,1
2022-12-01,21.5,21.72,21.15,21.57,14,18,3,1
2022-12-02,21.5,22.2,21.5,22.04,14,18,3,1
2022-12-05,21.89,22.89,21.89,22.21,14,18,3,1
2022-12-06,22.47,24.0,22.05,23.46,14,18,3,1
2022-12-07,23.18,24.48,22.7,22.81,14,18,3,1
2022-12-08,23.0,23.79,22.56,23.03,14,18,3,1
2022-12-09,23.57,23.58,22.86,23.35,14,18,3,1
2022-12-12,23.4,23.4,22.78,23.09,14,18,3,1
2022-12-13,23.24,24.34,23.11,23.89,14,18,3,1
2022-12-14,23.86,24.42,23.5,23.5,14,18,3,1
2022-12-15,23.4,23.47,22.09,22.42,14,18,3,1
2022-12-16,22.0,22.12,21.35,21.38,14,18,3,1
2022-12-19,21.4,22.37,21.4,21.91,14,18,3,1
2022-12-20,21.72,21.97,21.5,21.69,14,18,3,1
2022-12-21,21.7,21.79,21.37,21.5,14,18,3,1
2022-12-22,21.3,21.38,20.42,20.51,14,18,3,1
2022-12-23,20.52,20.97,20.5,20.87,14,18,3,1
2022-12-27,20.9,20.98,20.11,20.23,14,18,3,1
2022-12-28,20.2,20.2,19.84,19.98,14,18,3,1
2022-12-29,19.85,21.37,19.85,21.1,14,18,3,1
2022-12-30,21.29,21.4,20.7,21.0,14,18,3,1
2023-01-02,21.06,21.46,20.95,21.32,14,18,3,1
