Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-05-08,0.61,0.61,0.61,0.61,33,44,3,1
2023-05-09,0.61,0.61,0.61,0.61,33,44,3,1
2023-05-10,0.61,0.61,0.61,0.61,33,44,3,1
2023-05-11,0.63,0.63,0.63,0.63,33,44,3,1
2023-05-12,0.61,0.63,0.58,0.598,33,44,3,1
2023-05-15,0.584,0.59,0.582,0.588,33,44,3,1
2023-05-16,0.588,0.62,0.588,0.59,33,44,3,1
2023-05-17,0.598,0.618,0.592,0.6,33,44,3,1
2023-05-18,0.6,0.6,0.592,0.6,33,44,3,1
2023-05-19,0.6,0.6,0.6,0.6,33,44,3,1
2023-05-22,0.6,0.6,0.6,0.6,33,44,3,1
2023-05-23,0.592,0.6,0.564,0.6,33,44,3,1
2023-05-24,0.6,0.6,0.6,0.6,33,44,3,1
2023-05-25,0.6,0.6,0.6,0.6,33,44,3,1
2023-05-26,0.608,0.608,0.574,0.574,33,44,3,1
2023-05-29,0.61,0.61,0.57,0.57,33,44,3,1
2023-05-30,0.6,0.6,0.6,0.6,33,44,3,1
2023-05-31,0.58,0.604,0.58,0.604,33,44,3,1
2023-06-01,0.58,0.58,0.58,0.58,33,44,3,1
2023-06-02,0.57,0.596,0.57,0.57,33,44,3,1
2023-06-05,0.588,0.588,0.574,0.574,33,44,3,1
2023-06-06,0.59,0.59,0.59,0.59,33,44,3,1
2023-06-07,0.57,0.6,0.57,0.6,33,44,3,1
2023-06-09,0.6,0.6,0.6,0.6,33,44,3,1
2023-06-12,0.596,0.6,0.596,0.6,33,44,3,1
2023-06-13,0.6,0.6,0.6,0.6,33,44,3,1
2023-06-14,0.58,0.59,0.57,0.59,33,44,3,1
2023-06-15,0.58,0.58,0.57,0.58,33,44,3,1
2023-06-16,0.59,0.7,0.59,0.664,33,44,3,1
2023-06-19,0.67,0.68,0.604,0.61,33,44,3,1
2023-06-20,0.61,0.624,0.588,0.624,33,44,3,1
2023-06-21,0.6,0.618,0.6,0.6,33,44,3,1
2023-06-22,0.6,0.6,0.6,0.6,33,44,3,1
2023-06-23,0.624,0.686,0.62,0.62,33,44,3,1
2023-06-26,0.64,0.64,0.622,0.63,33,44,3,1
2023-06-27,0.63,0.63,0.62,0.63,33,44,3,1
2023-06-28,0.63,0.66,0.62,0.658,33,44,3,1
2023-06-29,0.622,0.67,0.622,0.668,33,44,3,1
2023-06-30,0.674,0.674,0.64,0.64,33,44,3,1
2023-07-03,0.64,0.64,0.624,0.624,33,44,3,1
2023-07-04,0.63,0.63,0.622,0.622,33,44,3,1
2023-07-05,0.622,0.622,0.602,0.602,33,44,3,1
2023-07-06,0.604,0.604,0.6,0.6,33,44,3,1
2023-07-07,0.62,0.698,0.62,0.69,33,44,3,1
2023-07-10,0.69,0.69,0.68,0.68,33,44,3,1
2023-07-11,0.612,0.65,0.612,0.628,33,44,3,1
2023-07-12,0.622,0.646,0.622,0.642,33,44,3,1
2023-07-13,0.624,0.624,0.606,0.612,33,44,3,1
2023-07-14,0.616,0.63,0.616,0.63,33,44,3,1
2023-07-17,0.64,0.642,0.616,0.616,33,44,3,1
2023-07-18,0.616,0.616,0.596,0.598,33,44,3,1
2023-07-19,0.61,0.61,0.596,0.6,33,44,3,1
2023-07-20,0.6,0.6,0.6,0.6,33,44,3,1
2023-07-21,0.606,0.606,0.59,0.604,33,44,3,1
2023-07-24,0.604,0.604,0.58,0.596,33,44,3,1
2023-07-25,0.596,0.596,0.596,0.596,33,44,3,1
2023-07-26,0.584,0.6,0.584,0.6,33,44,3,1
2023-07-27,0.6,0.6,0.6,0.6,33,44,3,1
2023-07-28,0.584,0.6,0.582,0.6,33,44,3,1
2023-07-31,0.6,0.6,0.6,0.6,33,44,3,1
2023-08-01,0.58,0.594,0.58,0.594,33,44,3,1
2023-08-02,0.58,0.592,0.56,0.592,33,44,3,1
2023-08-03,0.588,0.602,0.588,0.6,33,44,3,1
2023-08-04,0.578,0.59,0.578,0.588,33,44,3,1
2023-08-07,0.608,0.608,0.578,0.602,33,44,3,1
2023-08-08,0.58,0.604,0.578,0.604,33,44,3,1
2023-08-09,0.582,0.582,0.582,0.582,33,44,3,1
2023-08-10,0.584,0.594,0.578,0.59,33,44,3,1
2023-08-11,0.58,0.59,0.58,0.582,33,44,3,1
2023-08-14,0.582,0.582,0.58,0.58,33,44,3,1
2023-08-16,0.588,0.59,0.576,0.59,33,44,3,1
2023-08-17,0.59,0.63,0.59,0.63,33,44,3,1
2023-08-18,0.63,0.63,0.592,0.592,33,44,3,1
2023-08-21,0.592,0.592,0.592,0.592,33,44,3,1
2023-08-22,0.584,0.598,0.584,0.598,33,44,3,1
2023-08-23,0.598,0.598,0.598,0.598,33,44,3,1
2023-08-24,0.598,0.598,0.598,0.598,33,44,3,1
2023-08-25,0.598,0.598,0.598,0.598,33,44,3,1
