Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-03-21,6.6,7.1,6.6,7.07,30,42,3,1
2023-03-22,7.1,7.35,6.66,6.66,30,42,3,1
2023-03-23,6.66,6.88,6.36,6.46,30,42,3,1
2023-03-24,6.47,6.66,5.99,6.66,30,42,3,1
2023-03-27,6.44,6.48,6.2,6.3,30,42,3,1
2023-03-28,6.3,6.4,5.95,5.96,30,42,3,1
2023-03-29,5.91,6.14,5.91,5.98,30,42,3,1
2023-03-30,5.92,6.07,5.85,6.07,30,42,3,1
2023-03-31,6.14,6.14,5.91,5.97,30,42,3,1
2023-04-03,6.0,6.08,5.97,5.97,30,42,3,1
2023-04-04,6.0,6.06,5.91,5.91,30,42,3,1
2023-04-05,5.9,5.99,5.83,5.92,30,42,3,1
2023-04-06,5.87,5.95,5.83,5.85,30,42,3,1
2023-04-11,5.85,6.25,5.83,6.15,30,42,3,1
2023-04-12,6.2,6.42,6.2,6.3,30,42,3,1
2023-04-13,6.32,6.42,6.3,6.39,30,42,3,1
2023-04-14,6.39,6.45,6.27,6.37,30,42,3,1
2023-04-17,6.37,6.66,6.37,6.57,30,42,3,1
2023-04-18,6.59,6.63,6.54,6.56,30,42,3,1
2023-04-19,6.85,7.3,6.76,7.18,30,42,3,1
2023-04-20,7.3,7.5,7.05,7.18,30,42,3,1
2023-04-21,7.2,7.37,7.06,7.37,30,42,3,1
2023-04-24,7.37,7.37,7.06,7.3,30,42,3,1
2023-04-25,7.3,7.47,7.18,7.46,30,42,3,1
2023-04-26,7.53,7.66,7.44,7.58,30,42,3,1
2023-04-27,7.68,7.68,7.46,7.59,30,42,3,1
2023-04-28,7.61,7.76,7.6,7.66,30,42,3,1
2023-05-02,7.66,7.7,7.46,7.5,30,42,3,1
2023-05-04,7.64,7.64,7.31,7.48,30,42,3,1
2023-05-05,7.62,7.62,7.23,7.27,30,42,3,1
2023-05-08,7.25,7.35,7.11,7.32,30,42,3,1
2023-05-09,7.38,7.7,7.31,7.56,30,42,3,1
2023-05-10,7.56,7.75,7.56,7.7,30,42,3,1
2023-05-11,7.7,7.75,7.61,7.73,30,42,3,1
2023-05-12,7.73,7.73,7.64,7.7,30,42,3,1
2023-05-15,7.7,7.74,7.65,7.68,30,42,3,1
2023-05-16,7.7,7.7,7.62,7.68,30,42,3,1
2023-05-17,7.68,7.7,7.52,7.65,30,42,3,1
2023-05-18,7.65,7.7,7.58,7.65,30,42,3,1
2023-05-19,7.73,7.95,7.62,7.62,30,42,3,1
2023-05-22,7.62,7.8,7.6,7.76,30,42,3,1
2023-05-23,7.8,7.95,7.76,7.89,30,42,3,1
2023-05-24,7.9,7.92,7.7,7.79,30,42,3,1
2023-05-25,7.78,7.78,7.59,7.68,30,42,3,1
2023-05-26,6.92,7.08,6.88,7.0,30,42,3,1
2023-05-29,7.0,7.29,7.0,7.21,30,42,3,1
2023-05-30,7.23,7.41,7.1,7.15,30,42,3,1
2023-05-31,7.1,7.15,7.06,7.15,30,42,3,1
2023-06-01,7.36,7.36,7.04,7.09,30,42,3,1
2023-06-02,7.18,7.18,6.74,6.96,30,42,3,1
2023-06-05,6.91,7.19,6.9,7.08,30,42,3,1
2023-06-06,7.07,7.1,6.93,7.02,30,42,3,1
2023-06-07,6.95,7.05,6.93,7.01,30,42,3,1
2023-06-09,7.02,7.04,6.91,7.03,30,42,3,1
2023-06-12,7.01,7.05,6.98,7.0,30,42,3,1
2023-06-13,7.04,7.04,6.9,7.01,30,42,3,1
2023-06-14,6.93,7.02,6.93,6.95,30,42,3,1
2023-06-15,6.95,7.0,6.92,6.94,30,42,3,1
2023-06-16,6.96,6.99,6.82,6.85,30,42,3,1
2023-06-19,6.85,7.02,6.73,6.99,30,42,3,1
2023-06-20,6.99,7.2,6.92,7.02,30,42,3,1
2023-06-21,7.05,7.13,6.91,6.96,30,42,3,1
2023-06-22,6.96,7.03,6.93,7.02,30,42,3,1
2023-06-23,7.02,7.08,6.95,6.99,30,42,3,1
2023-06-26,6.93,7.1,6.93,7.06,30,42,3,1
2023-06-27,6.97,7.05,6.96,7.05,30,42,3,1
2023-06-28,7.02,7.03,6.92,6.97,30,42,3,1
2023-06-29,6.94,7.0,6.93,6.99,30,42,3,1
2023-06-30,6.95,7.04,6.92,7.03,30,42,3,1
2023-07-03,6.92,7.02,6.91,7.02,30,42,3,1
2023-07-04,7.0,7.02,6.86,6.98,30,42,3,1
2023-07-05,6.99,7.0,6.88,6.98,30,42,3,1
2023-07-06,6.9,6.98,6.87,6.9,30,42,3,1
2023-07-07,6.9,6.98,6.89,6.96,30,42,3,1
2023-07-10,6.97,6.97,6.85,6.94,30,42,3,1
2023-07-11,6.91,6.94,6.86,6.94,30,42,3,1
