Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-06-19,4.07,4.14,4.07,4.11,24,32,3,1
2023-06-20,4.075,4.11,4.055,4.09,24,32,3,1
2023-06-21,4.09,4.09,4.055,4.07,24,32,3,1
2023-06-22,4.09,4.15,4.065,4.09,24,32,3,1
2023-06-23,4.09,4.15,4.055,4.055,24,32,3,1
2023-06-26,4.055,4.135,3.94,3.94,24,32,3,1
2023-06-27,3.98,4.1,3.92,4.08,24,32,3,1
2023-06-28,4.2,4.26,4.185,4.205,24,32,3,1
2023-06-29,4.21,4.245,4.17,4.23,24,32,3,1
2023-06-30,4.23,4.28,4.12,4.26,24,32,3,1
2023-07-03,4.3,4.495,4.3,4.495,24,32,3,1
2023-07-04,4.5,4.83,4.495,4.75,24,32,3,1
2023-07-05,4.78,4.93,4.61,4.68,24,32,3,1
2023-07-06,4.68,4.74,4.55,4.71,24,32,3,1
2023-07-07,4.71,4.8,4.62,4.795,24,32,3,1
2023-07-10,4.8,4.895,4.77,4.85,24,32,3,1
2023-07-11,4.87,4.915,4.8,4.915,24,32,3,1
2023-07-12,4.9,4.915,4.835,4.85,24,32,3,1
2023-07-13,4.565,4.565,4.39,4.44,24,32,3,1
2023-07-14,4.44,4.795,4.43,4.68,24,32,3,1
2023-07-17,4.67,5.0,4.67,4.825,24,32,3,1
2023-07-18,4.83,4.9,4.83,4.875,24,32,3,1
2023-07-19,4.85,4.875,4.75,4.785,24,32,3,1
2023-07-20,4.79,4.79,4.61,4.7,24,32,3,1
2023-07-21,4.7,4.815,4.625,4.81,24,32,3,1
2023-07-24,4.9,4.95,4.46,4.565,24,32,3,1
2023-07-25,4.62,4.62,4.52,4.59,24,32,3,1
2023-07-26,4.64,4.64,4.46,4.46,24,32,3,1
2023-07-27,4.46,4.7,4.46,4.69,24,32,3,1
2023-07-28,4.72,4.72,4.62,4.695,24,32,3,1
2023-07-31,4.695,4.9,4.69,4.895,24,32,3,1
2023-08-01,4.9,4.94,4.83,4.9,24,32,3,1
2023-08-02,4.87,4.87,4.71,4.71,24,32,3,1
2023-08-03,4.7,4.74,4.635,4.635,24,32,3,1
2023-08-04,4.635,4.7,4.63,4.68,24,32,3,1
2023-08-07,4.65,4.65,4.55,4.61,24,32,3,1
2023-08-08,4.55,4.635,4.55,4.585,24,32,3,1
2023-08-09,4.57,4.685,4.56,4.605,24,32,3,1
2023-08-10,4.635,4.67,4.57,4.66,24,32,3,1
2023-08-11,4.66,4.87,4.59,4.87,24,32,3,1
2023-08-14,4.805,4.85,4.675,4.675,24,32,3,1
2023-08-16,4.685,4.79,4.61,4.64,24,32,3,1
2023-08-17,4.61,4.7,4.61,4.63,24,32,3,1
2023-08-18,4.65,4.79,4.615,4.735,24,32,3,1
2023-08-21,4.7,4.8,4.65,4.75,24,32,3,1
2023-08-22,4.75,4.75,4.63,4.68,24,32,3,1
2023-08-23,4.68,4.7,4.57,4.605,24,32,3,1
2023-08-24,4.6,4.69,4.6,4.65,24,32,3,1
2023-08-25,4.66,4.69,4.61,4.67,24,32,3,1
2023-08-28,4.64,4.67,4.64,4.67,24,32,3,1
2023-08-29,4.665,4.73,4.625,4.67,24,32,3,1
2023-08-30,4.65,4.7,4.65,4.67,24,32,3,1
2023-08-31,4.68,4.73,4.645,4.73,24,32,3,1
