Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-10-31,20.9,21.4,20.9,21.0,54,73,3,1
2022-11-02,21.0,21.9,21.0,21.6,54,73,3,1
2022-11-03,21.6,23.8,21.5,23.8,54,73,3,1
2022-11-04,23.9,25.6,23.2,24.8,54,73,3,1
2022-11-07,25.2,26.3,24.0,25.0,54,73,3,1
2022-11-08,25.0,27.1,24.1,26.1,54,73,3,1
2022-11-09,26.1,26.8,26.1,26.3,54,73,3,1
2022-11-10,26.1,26.5,25.2,26.5,54,73,3,1
2022-11-14,26.5,26.6,25.5,25.9,54,73,3,1
2022-11-15,25.9,25.9,25.5,25.9,54,73,3,1
2022-11-16,25.4,25.6,24.8,25.5,54,73,3,1
2022-11-17,25.6,25.9,25.1,25.5,54,73,3,1
2022-11-18,25.6,26.2,25.6,25.9,54,73,3,1
2022-11-21,25.9,25.9,25.2,25.7,54,73,3,1
2022-11-22,25.3,25.7,24.7,25.4,54,73,3,1
2022-11-23,25.5,25.5,23.4,24.4,54,73,3,1
2022-11-24,24.4,24.7,24.0,24.6,54,73,3,1
2022-11-25,24.7,24.7,23.6,24.0,54,73,3,1
2022-11-28,24.0,25.2,24.0,25.2,54,73,3,1
2022-11-29,25.2,25.3,24.7,25.3,54,73,3,1
2022-11-30,24.7,25.2,24.0,24.5,54,73,3,1
2022-12-01,24.6,24.6,23.8,24.0,54,73,3,1
2022-12-02,24.0,24.5,23.3,24.1,54,73,3,1
2022-12-05,24.0,24.0,22.7,23.5,54,73,3,1
2022-12-06,23.5,23.9,23.2,23.7,54,73,3,1
2022-12-07,23.4,23.9,23.4,23.7,54,73,3,1
2022-12-08,23.7,23.7,23.7,23.7,54,73,3,1
2022-12-09,23.7,23.7,21.5,22.5,54,73,3,1
2022-12-12,22.5,23.4,22.2,22.8,54,73,3,1
2022-12-13,23.2,23.4,22.2,23.0,54,73,3,1
2022-12-14,23.0,24.0,22.7,24.0,54,73,3,1
2022-12-15,23.8,24.0,23.2,23.8,54,73,3,1
2022-12-16,23.8,23.9,23.0,23.0,54,73,3,1
2022-12-19,23.1,23.9,23.1,23.5,54,73,3,1
