Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-03-17,3.28,3.31,3.25,3.27,18,26,3,1
2023-03-20,3.29,3.29,3.14,3.2,18,26,3,1
2023-03-21,3.2,3.24,3.2,3.225,18,26,3,1
2023-03-22,3.24,3.345,3.18,3.345,18,26,3,1
2023-03-23,3.3,3.345,3.25,3.265,18,26,3,1
2023-03-24,3.265,3.35,3.265,3.35,18,26,3,1
2023-03-27,3.34,3.35,3.15,3.315,18,26,3,1
2023-03-28,3.315,3.41,3.305,3.4,18,26,3,1
2023-03-29,3.29,3.35,3.28,3.345,18,26,3,1
2023-03-30,3.345,3.495,3.345,3.41,18,26,3,1
2023-03-31,3.46,3.525,3.45,3.45,18,26,3,1
2023-04-03,3.5,3.6,3.42,3.59,18,26,3,1
2023-04-04,3.61,3.75,3.52,3.74,18,26,3,1
2023-04-05,3.73,3.8,3.6,3.76,18,26,3,1
2023-04-06,3.765,3.8,3.705,3.71,18,26,3,1
2023-04-11,3.71,3.905,3.65,3.905,18,26,3,1
2023-04-12,3.805,3.95,3.8,3.8,18,26,3,1
2023-04-13,3.8,3.94,3.75,3.85,18,26,3,1
2023-04-14,3.9,3.95,3.84,3.9,18,26,3,1
2023-04-17,3.95,3.96,3.93,3.96,18,26,3,1
2023-04-18,3.96,3.96,3.755,3.85,18,26,3,1
2023-04-19,3.96,4.0,3.76,3.98,18,26,3,1
2023-04-20,3.98,4.0,3.9,4.0,18,26,3,1
2023-04-21,4.0,4.0,3.92,3.99,18,26,3,1
2023-04-24,3.95,3.99,3.92,3.94,18,26,3,1
2023-04-25,3.95,4.0,3.92,3.97,18,26,3,1
2023-04-26,3.99,4.0,3.94,3.97,18,26,3,1
2023-04-27,3.94,3.98,3.92,3.92,18,26,3,1
2023-04-28,3.92,3.96,3.92,3.92,18,26,3,1
2023-05-02,3.93,3.96,3.92,3.94,18,26,3,1
2023-05-04,3.95,3.95,3.92,3.93,18,26,3,1
2023-05-05,3.93,3.95,3.92,3.95,18,26,3,1
2023-05-08,3.92,3.96,3.92,3.96,18,26,3,1
2023-05-09,3.92,3.97,3.92,3.97,18,26,3,1
2023-05-10,3.95,4.05,3.92,4.0,18,26,3,1
2023-05-11,4.0,4.02,4.0,4.0,18,26,3,1
2023-05-12,4.0,4.04,3.99,4.03,18,26,3,1
2023-05-15,4.05,4.05,3.9,3.93,18,26,3,1
2023-05-16,3.92,3.93,3.81,3.93,18,26,3,1
2023-05-17,3.93,3.94,3.88,3.94,18,26,3,1
2023-05-18,3.93,3.99,3.88,3.99,18,26,3,1
2023-05-19,3.95,4.0,3.95,3.97,18,26,3,1
2023-05-22,3.99,4.02,3.94,4.02,18,26,3,1
2023-05-23,4.02,4.02,4.0,4.01,18,26,3,1
2023-05-24,4.01,4.09,4.01,4.09,18,26,3,1
2023-05-25,4.05,4.09,4.03,4.06,18,26,3,1
2023-05-26,4.08,4.15,4.06,4.1,18,26,3,1
